Region ID,Gyrus,Description,Region Alias,Region Label
1,Prefrontal Cortex,SFG_L_7_1,"A8m, medial area 8",SFG_L_7_1
2,Prefrontal Cortex,SFG_R_7_1,"A8m, medial area 8",SFG_R_7_1
3,Prefrontal Cortex,SFG_L_7_2,"A8dl, dorsolateral area 8",SFG_L_7_2
4,Prefrontal Cortex,SFG_R_7_2,"A8dl, dorsolateral area 8",SFG_R_7_2
5,Prefrontal Cortex,SFG_L_7_3,"A9l, lateral area 9",SFG_L_7_3
6,Prefrontal Cortex,SFG_R_7_3,"A9l, lateral area 9",SFG_R_7_3
7,Prefrontal Cortex,SFG_L_7_4,"A6dl, dorsolateral area 6",SFG_L_7_4
8,Prefrontal Cortex,SFG_R_7_4,"A6dl, dorsolateral area 6",SFG_R_7_4
9,Prefrontal Cortex,SFG_L_7_5,"A6m, medial area 6",SFG_L_7_5
10,Prefrontal Cortex,SFG_R_7_5,"A6m, medial area 6",SFG_R_7_5
11,Prefrontal Cortex,SFG_L_7_6,"A9m,medial area 9",SFG_L_7_6
12,Prefrontal Cortex,SFG_R_7_6,"A9m,medial area 9",SFG_R_7_6
13,Prefrontal Cortex,SFG_L_7_7,"A10m, medial area 10",SFG_L_7_7
14,Prefrontal Cortex,SFG_R_7_7,"A10m, medial area 10",SFG_R_7_7
15,Prefrontal Cortex,MFG_L_7_1,"A9/46d, dorsal area 9/46",MFG_L_7_1
16,Prefrontal Cortex,MFG_R_7_1,"A9/46d, dorsal area 9/46",MFG_R_7_1
17,Prefrontal Cortex,MFG_L_7_2,"IFJ, inferior frontal junction",MFG_L_7_2
18,Prefrontal Cortex,MFG_R_7_2,"IFJ, inferior frontal junction",MFG_R_7_2
19,Prefrontal Cortex,MFG_L_7_3,"A46, area 46",MFG_L_7_3
20,Prefrontal Cortex,MFG_R_7_3,"A46, area 46",MFG_R_7_3
21,Prefrontal Cortex,MFG_L_7_4,"A9/46v, ventral area 9/46 ",MFG_L_7_4
22,Prefrontal Cortex,MFG_R_7_4,"A9/46v, ventral area 9/46 ",MFG_R_7_4
23,Prefrontal Cortex,MFG_L_7_5,"A8vl, ventrolateral area 8",MFG_L_7_5
24,Prefrontal Cortex,MFG_R_7_5,"A8vl, ventrolateral area 8",MFG_R_7_5
25,Prefrontal Cortex,MFG_L_7_6,"A6vl, ventrolateral area 6",MFG_L_7_6
26,Prefrontal Cortex,MFG_R_7_6,"A6vl, ventrolateral area 6",MFG_R_7_6
27,Prefrontal Cortex,MFG_L_7_7,"A10l, lateral area10",MFG_L_7_7
28,Prefrontal Cortex,MFG_R_7_7,"A10l, lateral area10",MFG_R_7_7
29,Prefrontal Cortex,IFG_L_6_1,"A44d,dorsal area 44",IFG_L_6_1
30,Prefrontal Cortex,IFG_R_6_1,"A44d,dorsal area 44",IFG_R_6_1
31,Prefrontal Cortex,IFG_L_6_2,"IFS, inferior frontal sulcus",IFG_L_6_2
32,Prefrontal Cortex,IFG_R_6_2,"IFS, inferior frontal sulcus",IFG_R_6_2
33,Prefrontal Cortex,IFG_L_6_3,"A45c, caudal area 45",IFG_L_6_3
34,Prefrontal Cortex,IFG_R_6_3,"A45c, caudal area 45",IFG_R_6_3
35,Prefrontal Cortex,IFG_L_6_4,"A45r, rostral area 45",IFG_L_6_4
36,Prefrontal Cortex,IFG_R_6_4,"A45r, rostral area 45",IFG_R_6_4
37,Prefrontal Cortex,IFG_L_6_5,"A44op, opercular area 44",IFG_L_6_5
38,Prefrontal Cortex,IFG_R_6_5,"A44op, opercular area 44",IFG_R_6_5
39,Prefrontal Cortex,IFG_L_6_6,"A44v, ventral area 44",IFG_L_6_6
40,Prefrontal Cortex,IFG_R_6_6,"A44v, ventral area 44",IFG_R_6_6
41,Prefrontal Cortex,OrG_L_6_1,"A14m, medial area 14",OrG_L_6_1
42,Prefrontal Cortex,OrG_R_6_1,"A14m, medial area 14",OrG_R_6_1
43,Prefrontal Cortex,OrG_L_6_2,"A12/47o, orbital area 12/47",OrG_L_6_2
44,Prefrontal Cortex,OrG_R_6_2,"A12/47o, orbital area 12/47",OrG_R_6_2
45,Prefrontal Cortex,OrG_L_6_3,"A11l, lateral area 11",OrG_L_6_3
46,Prefrontal Cortex,OrG_R_6_3,"A11l, lateral area 11",OrG_R_6_3
47,Prefrontal Cortex,OrG_L_6_4,"A11m, medial area 11",OrG_L_6_4
48,Prefrontal Cortex,OrG_R_6_4,"A11m, medial area 11",OrG_R_6_4
49,Prefrontal Cortex,OrG_L_6_5,"A13, area 13",OrG_L_6_5
50,Prefrontal Cortex,OrG_R_6_5,"A13, area 13",OrG_R_6_5
51,Prefrontal Cortex,OrG_L_6_6,"A12/47l, lateral area 12/47",OrG_L_6_6
52,Prefrontal Cortex,OrG_R_6_6,"A12/47l, lateral area 12/47",OrG_R_6_6
53,Precentral Gyrus,PrG_L_6_1,"A4hf, area 4(head and face region)",PrG_L_6_1
54,Precentral Gyrus,PrG_R_6_1,"A4hf, area 4(head and face region)",PrG_R_6_1
55,Precentral Gyrus,PrG_L_6_2,"A6cdl, caudal dorsolateral area 6",PrG_L_6_2
56,Precentral Gyrus,PrG_R_6_2,"A6cdl, caudal dorsolateral area 6",PrG_R_6_2
57,Precentral Gyrus,PrG_L_6_3,"A4ul, area 4(upper limb region)",PrG_L_6_3
58,Precentral Gyrus,PrG_R_6_3,"A4ul, area 4(upper limb region)",PrG_R_6_3
59,Precentral Gyrus,PrG_L_6_4,"A4t, area 4(trunk region)",PrG_L_6_4
