"Cohort","Variable","n","Mean_SD","Range"
"CMI-HBN","Age",760,"9.7 ± 1.8","7.0–14.0"
"CMI-HBN","FSIQ",760,"104.4 ± 13.4","80.0–145.0"
"CMI-HBN","Numerical_operations",760,"103.0 ± 16.0","59.0–160.0"
"CMI-HBN","Math_problem_solving",760,"101.5 ± 16.3","61.0–160.0"
"CMI-HBN","Word_reading",760,"104.4 ± 15.4","63.0–143.0"
"CMI-HBN","Reading_comprehension",760,"102.0 ± 13.4","67.0–160.0"
"Stanford","Age",231,"9.2 ± 1.6","7.1–13.8"
"Stanford","FSIQ",231,"113.1 ± 13.4","81.0–146.0"
"Stanford","Numerical_operations",231,"108.1 ± 19.1","61.0–160.0"
"Stanford","Math_reasoning",231,"111.8 ± 16.5","50.0–160.0"
"Stanford","Word_reading",231,"109.7 ± 11.4","71.0–145.0"
"Stanford","Reading_comprehension",231,"108.8 ± 11.1","67.0–130.0"
