"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"SFG_L_7_1",-0.0917162107328889,-0.0320187214728471,-0.00338030788100409,-0.499763338611601,-0.518668177612689,0.177263392912732
"SFG_R_7_1",-0.0900200363895646,-0.0563502078275648,-0.00931052280514988,-0.48034061664255,-0.553195473623413,0.164839656752897
"SFG_L_7_2",-0.0994543686265343,-0.0462343852926579,0.00250021020332301,-0.505974819879791,-0.52055397621684,0.194741037619806
"SFG_R_7_2",-0.0704080887444909,-0.0413568803190622,0.00142116724977431,-0.494487951432097,-0.530012590166828,0.195972772187092
"SFG_L_7_3",-0.0231715072687239,-0.0749220537728207,0.0711640687789897,-0.395799233325377,-0.599339312762392,0.289920496446138
"SFG_R_7_3",-0.0642124967849061,-0.0872903408793213,0.0821781062303576,-0.446445235997516,-0.584950785514462,0.28343045842551
"SFG_L_7_4",-0.0839612258735977,-0.0373136275612845,-0.0477760347882485,-0.504830982347835,-0.526481516654395,0.0802806354635247
"SFG_R_7_4",-0.0677172098379974,-0.0464799298663573,-0.0628500453986719,-0.47072648419173,-0.533076598205504,0.0500614822624763
"SFG_L_7_5",-0.111587406160429,-0.0490707302611617,-0.0547845097428759,-0.505547667228222,-0.572719285743509,0.0489611884314986
"SFG_R_7_5",-0.0872256711308943,-0.0541863220305478,-0.075927465489406,-0.481319120300063,-0.574215474970506,0.0152358750786569
"SFG_L_7_6",-0.098399459124661,-0.0544220212078497,0.0372039428936483,-0.462179789726275,-0.503541850763655,0.237171258828203
"SFG_R_7_6",-0.116119286765139,-0.0686000801973596,0.053499651415814,-0.451593827542093,-0.509567071673404,0.241783938411767
"SFG_L_7_7",-0.0251799357742157,-0.180633137996168,0.219798397707724,-0.313731907528958,-0.575976112855985,0.33159728108585
"SFG_R_7_7",0.00723618683537687,-0.158116837131458,0.140160462712161,-0.287109208590154,-0.586696807417672,0.289460539197377
"MFG_L_7_1",-0.085436573568374,-0.0355284077528845,0.153954134741193,-0.449676909420025,-0.465986496471228,0.32510423551274
"MFG_R_7_1",-0.123382594895114,-0.0478589841358852,0.100217660584102,-0.487815366143461,-0.481485439390388,0.284049999276061
"MFG_L_7_2",-0.0872176191331617,0.00998682785570042,-0.101828949422814,-0.468017811893685,-0.458173293786015,0.0739838411309599
"MFG_R_7_2",-0.0584615556301487,0.00615629692212953,-0.0814345024570328,-0.459365122543799,-0.453389747767199,0.0644211281714875
"MFG_L_7_3",0.00638501945472096,-0.0727196716166658,0.199083452688091,-0.333523444310758,-0.525041934635344,0.402797286981164
"MFG_R_7_3",-0.0830630550296256,-0.093928868870199,0.225613039520256,-0.425853236327439,-0.540302464599666,0.375521051265696
"MFG_L_7_4",-0.0389544332439933,-0.0190299607082452,0.150167864843825,-0.405041521445982,-0.486963115712583,0.293639256261663
"MFG_R_7_4",-0.08473721175307,-0.0384015365936049,0.153368761117121,-0.441930362275972,-0.525194083945993,0.287655054803883
"MFG_L_7_5",-0.145866909797424,-0.0102454852268169,-0.072413399931336,-0.526469361903684,-0.462674658020844,0.118190576234452
"MFG_R_7_5",-0.0728030356870367,-0.0316288757004656,-0.0228043811348049,-0.452613531244408,-0.49670825398545,0.147358970758228
"MFG_L_7_6",-0.095223362307589,0.00016239262562261,-0.104481588131977,-0.506836968286546,-0.455634044788459,0.0245775477082714
"MFG_R_7_6",-0.0764210775560586,-0.00291512839633435,-0.0870835311528678,-0.490328112047228,-0.464019465603078,0.0450900159192712
"MFG_L_7_7",0.0527707290048478,-0.0949863067905015,0.116149198037769,-0.218504633341606,-0.603442968157694,0.215472834020633
"MFG_R_7_7",0.0266568404800538,-0.159653448747028,0.148565321041995,-0.243653595011229,-0.633899073767016,0.223626815144815
"IFG_L_6_1",0.000204475219147343,0.0101962800176601,-0.0297594582091325,-0.359173077292641,-0.443779322232301,0.0881723800091166
"IFG_R_6_1",-0.0183524147446237,0.00823589582555479,-0.0292193470525995,-0.404199066635735,-0.454732437248483,0.0927634666414076
"IFG_L_6_2",0.00315371452153183,-0.00100808640774695,0.0534976863973991,-0.348393949341389,-0.458872113822785,0.258356123182902
"IFG_R_6_2",-0.0158391634933453,-0.00441715491018054,0.0512441173327847,-0.384723775807798,-0.476751269415834,0.254178710903127
"IFG_L_6_3",0.0277064716384235,-0.00895537119646538,0.0180753546603704,-0.246732108084018,-0.478123616990685,0.144396858919768
"IFG_R_6_3",0.00186040318096407,-0.0159505506277161,0.00840547127242299,-0.305408479127065,-0.517679873877792,0.100157513935779
"IFG_L_6_4",0.0151201329318256,0.00185318557157663,0.0902142391737589,-0.277012427678899,-0.456023627470905,0.283351031204586
"IFG_R_6_4",-0.0146832709396429,-0.00254241179236253,0.0851374790366193,-0.326780835369175,-0.484179384921299,0.232230950733439
"IFG_L_6_5",0.0156145418132545,-0.019611328678966,0.0478198594562304,-0.303845948228077,-0.547441713487096,0.191044363518056
"IFG_R_6_5",-0.00862315481781186,-0.0343042359585591,0.0580166461316825,-0.341205766871783,-0.571680396407635,0.173390974307845
"IFG_L_6_6",0.0349276592398355,-0.0152781910987681,0.00482077096739202,-0.211901667808868,-0.531228000095642,0.0881744268954178
"IFG_R_6_6",0.0291876982063401,-0.0120597668539113,-0.0040653162594868,-0.233000147358437,-0.534606326891179,0.0744849186981255
"OrG_L_6_1",0.0594290537220722,-0.124290648302851,-0.0670730881998907,-0.0984944664233984,-0.715573778018731,-0.0643156718091859
"OrG_R_6_1",0.0499831985252969,-0.174248664808784,-0.120846962061416,-0.140824066739237,-0.743930144410165,-0.0914226734121934
"OrG_L_6_2",0.00886120476116922,0.00158448758314858,0.0983294190546448,-0.289986431538446,-0.489126348262209,0.250813420702223
"OrG_R_6_2",-0.0251438692407233,-0.00710749444350557,0.10206914655875,-0.337141337128919,-0.505282325612251,0.253426841322106
"OrG_L_6_3",0.0118264487847179,-0.0575949686908073,0.0724277625107206,-0.259078307741274,-0.593071104153463,0.130641098606253
"OrG_R_6_3",-0.0372262415558215,-0.117182351414474,0.100642406848704,-0.274539238616104,-0.643604162279885,0.121760961058606
"OrG_L_6_4",0.086245478463119,-0.149540594719079,-0.145596623615148,-0.0256969404320283,-0.669565548081741,-0.190117361609283
"OrG_R_6_4",0.112292185914136,-0.153941477654661,-0.155852085096106,-0.0404323699724706,-0.654823854643864,-0.145988653746307
"OrG_L_6_5",0.069956842683303,-0.182233612800333,-0.0309339239854316,-0.138378285421487,-0.688653310249732,0.00798408724059477
"OrG_R_6_5",0.06097282394149,-0.171094283047924,-0.0384944664172401,-0.088052703306534,-0.700695615232801,-0.0441196574083312
"OrG_L_6_6",0.00625577134835644,-0.00151940993502555,0.0921497709269432,-0.305829489692885,-0.512769682003544,0.241076809474386
"OrG_R_6_6",-0.027857955938821,-0.00663247887870008,0.0872267633532164,-0.360308625005884,-0.523197308499141,0.230977750394608
"PrG_L_6_1",-0.0395436460245594,0.015421458956526,-0.0936812906634839,-0.404821105745588,-0.529513912119641,0.0186291442452617
"PrG_R_6_1",0.0166910817641046,-0.0168959522087227,-0.056332293611482,-0.317344665368038,-0.567970920380648,0.0104874560708948
"PrG_L_6_2",-0.122983180440948,0.0142990635654136,-0.0965744962555237,-0.538014718921831,-0.479532354307759,0.0110105192192345
"PrG_R_6_2",-0.128066719101246,-0.00803338535638101,-0.136825594684672,-0.503250239080315,-0.519230832123414,0.00274996242183738
"PrG_L_6_3",-0.0848239432812307,-0.0298000799337318,-0.0605552674157667,-0.457054892827411,-0.571251942435569,0.00265307982050982
"PrG_R_6_3",-0.0783765231860282,-0.0236741283570178,-0.067035074905623,-0.473605887455688,-0.563657271009295,0.00235567034544789
"PrG_L_6_4",-0.0565960655325678,-0.00280251566503871,-0.0321789679468207,-0.492062666649717,-0.448454889908177,-0.0182385063788287
"PrG_R_6_4",-0.070304789278069,-0.0279471870000784,-0.0574405377378935,-0.463389276741021,-0.551103499867722,-0.0556218550742341
"PrG_L_6_5",0.06246335724555,-0.0428196160990155,0.00672640814669325,-0.153413928876917,-0.622562809324063,0.0755941117871052
"PrG_R_6_5",0.0534794427770194,-0.0346752196281982,-0.00108450451973685,-0.178955927587614,-0.600611152061745,0.066666958917131
