"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"SFG_L_7_1",-0.0982303949331627,-0.0521377258652535,0.0132535266725527,-0.556778469499559,-0.569403112964934,-0.13535709538903
"SFG_R_7_1",-0.0995203155494581,-0.081695327678702,0.0147074419892926,-0.539839652163727,-0.603643920144686,-0.135499241130766
"SFG_L_7_2",-0.104257960449515,-0.0509456807040924,-0.00245872266617179,-0.558523439639202,-0.546582392948074,-0.164751542085516
"SFG_R_7_2",-0.0743586222181511,-0.0409291270908361,-0.00575526884387311,-0.547414189430751,-0.54883848880716,-0.172637282277543
"SFG_L_7_3",-0.0291708036229123,-0.0541986370728512,-0.0915541963609578,-0.448597409773672,-0.569612450885766,-0.310433468993242
"SFG_R_7_3",-0.0688396924781701,-0.0626627761598829,-0.108333690385126,-0.497285339404154,-0.560644069396102,-0.30124416434258
"SFG_L_7_4",-0.0861098410469048,-0.0507812328685759,0.0422017080325958,-0.557205275864414,-0.56656440931844,-0.0773993588376116
"SFG_R_7_4",-0.0698401668682405,-0.0588642242402028,0.0473543146973215,-0.522421310715537,-0.566794395441489,-0.0698764261373261
"SFG_L_7_5",-0.117587263148844,-0.076523430622868,0.0513727110243856,-0.563928588236649,-0.627449351083062,-0.0587224761763417
"SFG_R_7_5",-0.092803739327007,-0.0792275166818053,0.0638318368806497,-0.538849888948223,-0.623602894116409,-0.0401981800829402
"SFG_L_7_6",-0.105579544561165,-0.0691232434552721,-0.0374630757789068,-0.516236667952935,-0.542920524272295,-0.20225212289582
"SFG_R_7_6",-0.125781788810097,-0.0908342371577356,-0.0505565539173632,-0.505912742365914,-0.548638192118981,-0.206446943372663
"SFG_L_7_7",-0.0304425541382186,-0.113326010334812,-0.295664852175088,-0.361080051873916,-0.533545578679257,-0.381475783386488
"SFG_R_7_7",0.00904824470186706,-0.0945830061239689,-0.218734594607221,-0.330999973078492,-0.536626426731539,-0.359319344605591
"MFG_L_7_1",-0.0920157506336994,-0.00875755078588166,-0.125219390798732,-0.496504068882348,-0.465647736863604,-0.260001814707149
"MFG_R_7_1",-0.122738207019252,-0.0199557072124206,-0.0964122450064028,-0.534581100902216,-0.483926997130656,-0.24158430090957
"MFG_L_7_2",-0.0991706033625018,-0.0540170023333752,0.153224773466068,-0.526220727188709,-0.55526608851237,0.0124796899841069
"MFG_R_7_2",-0.0678225033558607,-0.0423697289050548,0.116687289985386,-0.517046729113985,-0.549514242796973,0.0192050261585299
"MFG_L_7_3",0.00330312747124763,-0.0118038080466518,-0.20563281428942,-0.377892594936271,-0.47254492689892,-0.384467679124766
"MFG_R_7_3",-0.0811597909950146,-0.0146081441064853,-0.247370603150785,-0.469979534770703,-0.487550414497421,-0.372525585697422
"MFG_L_7_4",-0.0478483711519604,-0.0151395167815112,-0.093637082767602,-0.45678196506617,-0.506781311089054,-0.215354100419742
"MFG_R_7_4",-0.0884327563376816,-0.0223341343400929,-0.122413169632964,-0.493437515883697,-0.529886627001973,-0.244429011585963
"MFG_L_7_5",-0.150139052782285,-0.0248821416168308,0.089221855019576,-0.576281838442918,-0.501197805767522,-0.0723273856526246
"MFG_R_7_5",-0.0808131474803673,-0.0445147419276385,0.0380419177120732,-0.506407982262685,-0.533244392264403,-0.104387576063914
"MFG_L_7_6",-0.0999342161978665,-0.0354174710485239,0.123617188864129,-0.55984352511668,-0.532856542382822,0.0275237199892758
"MFG_R_7_6",-0.0801840744674284,-0.0339551911999554,0.102310765960198,-0.543121809067266,-0.534511254630048,0.00169139813511398
"MFG_L_7_7",0.0485504027664132,-0.0166900786800694,-0.154026052659191,-0.261602109427984,-0.507385903971963,-0.298585006088119
"MFG_R_7_7",0.0245248857634015,-0.0509147137700928,-0.217965128666789,-0.286358407406896,-0.537119139847941,-0.322114322059253
"IFG_L_6_1",-0.00673716437910442,-0.033532525645881,0.0661726854504678,-0.420195786993286,-0.573823189133992,0.0230777634863936
"IFG_R_6_1",-0.0243642179393402,-0.0310528233341236,0.0622468163744385,-0.46504091011951,-0.570067540317153,0.00540224969407831
"IFG_L_6_2",-0.00277188266143726,-0.0173272449643934,-0.0169223954413581,-0.402359714036122,-0.516666543379364,-0.153856238007154
"IFG_R_6_2",-0.0187291665335566,-0.0142990419560675,-0.025976324253803,-0.43862652669584,-0.527522525450798,-0.172454529405438
"IFG_L_6_3",0.0213293364961643,-0.0415683148600327,0.0155653948791755,-0.304699531500976,-0.575361846374661,-0.0597013142231284
"IFG_R_6_3",-0.00622723807876746,-0.0526672760794992,0.0243033765953128,-0.36810489308907,-0.610413334845895,-0.0409898641958174
"IFG_L_6_4",0.00908753028665384,-0.0120970379492427,-0.0482009046351378,-0.327886425728956,-0.491297390085513,-0.194707823508704
"IFG_R_6_4",-0.0188787935848671,-0.0228886486844365,-0.0444234046248706,-0.379790152320285,-0.534375824739091,-0.167136515932522
"IFG_L_6_5",0.0095009559612798,-0.0529052281760742,-0.0104003747084786,-0.363536078110054,-0.621202649281215,-0.128972699224005
"IFG_R_6_5",-0.015683441529285,-0.0735327836809221,-0.0181298031047054,-0.40319884073345,-0.646399534474404,-0.124116530990812
"IFG_L_6_6",0.0287130697646972,-0.0523427921026032,0.0220815740760543,-0.274440126217684,-0.637905398285558,-0.0359101049407224
"IFG_R_6_6",0.0219045281046328,-0.0485637301359352,0.0300715856881302,-0.2977809623579,-0.641812235721683,-0.0197036094683171
"OrG_L_6_1",0.0561922014226577,-0.0860737919494973,-0.00634204597867795,-0.1479095716348,-0.643127774957582,-0.132969755918497
"OrG_R_6_1",0.046597924371753,-0.139812662954713,0.0261749080632251,-0.19504131678788,-0.702500162423344,-0.0942932109158122
"OrG_L_6_2",0.00244453944735324,-0.034359252469189,-0.0456478191185466,-0.344991181582478,-0.553331724788611,-0.171878164661474
"OrG_R_6_2",-0.031206803672362,-0.0272966258363211,-0.0613037824179125,-0.390846211918639,-0.544266179162225,-0.197265179824142
"OrG_L_6_3",-0.00495215159539985,-0.0796142560719843,-0.0441138786177561,-0.314885375286553,-0.594079925750869,-0.155144934124969
"OrG_R_6_3",-0.0541457826245469,-0.135275648844191,-0.0890550255895405,-0.332352108943137,-0.64727908551736,-0.169228338597784
"OrG_L_6_4",0.0805435488135156,-0.105409656468239,0.0496340379617752,-0.0695634068885745,-0.584777597079812,-0.0390093926756374
"OrG_R_6_4",0.111475358699828,-0.109586959242347,0.0569231710795559,-0.0826287486921955,-0.5829339660265,-0.0593793924828124
"OrG_L_6_5",0.0557214890641748,-0.207612031005826,-0.00993175146447981,-0.196959874373425,-0.699615594929456,-0.108375364060725
"OrG_R_6_5",0.0508292848537891,-0.167566265403356,-0.0201251001238897,-0.14284605161719,-0.679913972743774,-0.103552680093771
"OrG_L_6_6",-0.000501840174012335,-0.0351038069889446,-0.0396066143413161,-0.36292691709621,-0.573638190967489,-0.165006651506335
"OrG_R_6_6",-0.0342126308771071,-0.0384972917129672,-0.0395550859436862,-0.419382498594315,-0.59209386124982,-0.156572297940396
"PrG_L_6_1",-0.0518650958583192,-0.0680454953815226,0.146739617695609,-0.466849346149192,-0.621527210042238,0.0216075123923362
"PrG_R_6_1",0.0063192259785677,-0.0684521449982086,0.0833289073537246,-0.382122068061424,-0.663605359181702,0.021136894832101
"PrG_L_6_2",-0.12510501682782,-0.0279101880363523,0.117215037325571,-0.590068121260529,-0.542237107628064,0.00918566202419522
"PrG_R_6_2",-0.131447814017573,-0.0652562190315064,0.153822498332394,-0.55806202416469,-0.584312536352321,0.00438531637910307
"PrG_L_6_3",-0.0846444132908755,-0.0516457065860205,0.0550316936804101,-0.509465771643487,-0.608264062525224,-0.0452635358129469
"PrG_R_6_3",-0.0798878618083375,-0.0470078658558497,0.0642915518234702,-0.52860740789571,-0.604587399532866,-0.0325828416198552
"PrG_L_6_4",-0.0571641422104563,-0.0145420288145044,0.0338978287281061,-0.537243183178874,-0.49582244969137,0.00582063369733612
"PrG_R_6_4",-0.0724956411129224,-0.0445723650398383,0.0501424791710993,-0.518500029888717,-0.598396995051927,0.00906589509902727
"PrG_L_6_5",0.0524287849323722,-0.07806909217737,0.0123327829835593,-0.21861484623134,-0.690543781319778,-0.0751502278510381
"PrG_R_6_5",0.043402369143722,-0.0719110965732128,0.0222632226027798,-0.245409480145486,-0.68667418760217,-0.0462352362573507
"PrG_L_6_6",-0.00661406202596963,-0.0870428705254796,0.165468672170658,-0.42210349034856,-0.614789094136945,0.034104365933232
"PrG_R_6_6",0.0167529838835247,-0.0804397852574061,0.129016649629551,-0.393859971503039,-0.614910257821514,0.0140131731573645
"PCL_L_2_1",-0.0459833188608278,-0.045774799704258,0.000446061618872042,-0.466746365902087,-0.682144702816968,-0.0895587736622709
"PCL_R_2_1",-0.0309161076046569,-0.0743325162501113,0.00350873215589035,-0.400017862048224,-0.752126205423398,-0.0729026750270171
"PCL_L_2_2",-0.0867133371495494,-0.0710446983296581,0.0428256525326011,-0.501177115779765,-0.660857544392363,-0.0170036936956668
"PCL_R_2_2",-0.0966957069343021,-0.0977510827898897,0.0597072411047243,-0.485291938292226,-0.680128935573156,-0.00364854091417605
"STG_L_6_1",7.94143220288393e-05,-0.0304249402702329,-0.0437977189269883,-0.379688220267095,-0.415522680386778,-0.166726339838686
"STG_R_6_1",-0.0255258334409232,-0.0452478737878222,-0.0403720366166746,-0.408847627052087,-0.441116574199743,-0.157710047117495
"STG_L_6_2",0.0360005733303415,-0.0646068823790585,-0.0467598296390582,-0.235111313042164,-0.656258752841653,-0.214912452175931
"STG_R_6_2",0.0453496195737534,-0.060158953026027,-0.0338637917646552,-0.183041022706262,-0.694875922264561,-0.204093629352123
"STG_L_6_3",0.0956914175588785,-0.122629439074082,-0.0730053784293123,-0.196232257345865,-0.709875034078182,-0.197857065396419
"STG_R_6_3",0.0792971280999212,-0.128603615034834,-0.0505387530201361,-0.23673975100326,-0.713444755194354,-0.164417785007732
"STG_L_6_4",-0.0263123137669922,-0.02929477404255,-0.0284942686856782,-0.395874780808391,-0.584739253713682,-0.182121172396842
"STG_R_6_4",-0.00237187284953016,-0.0560676069935296,-0.0237186600809948,-0.352179829232579,-0.645050585716076,-0.156337359882979
"STG_L_6_5",-0.0237898995141097,-0.0363141193789296,-0.0259666801780534,-0.424368577516121,-0.485241426679197,-0.152616587076423
"STG_R_6_5",-0.0486656882292835,-0.0667384058283208,-0.019073931065915,-0.452781557545197,-0.523173497478488,-0.126655378387212
"STG_L_6_6",-0.00805672074356683,-0.0264779372548851,-0.0583941395996507,-0.382463591245848,-0.529599308768198,-0.215520205016469
"STG_R_6_6",0.00534360308721683,-0.0295448848732952,-0.0113328103664641,-0.341363412740316,-0.640448225674994,-0.165678159868957
"MTG_L_4_1",-0.0369724640534981,0.00219137496184876,-0.0474417542116025,-0.449163448644199,-0.525713405709911,-0.23918040554455
"MTG_R_4_1",-0.033515211008004,-0.0242185192696326,-0.0359632328203634,-0.414840397739334,-0.592340116721227,-0.186954051350777
"MTG_L_4_2",-0.0673656458884861,0.00324376822379513,-0.0849260022598512,-0.496489359400618,-0.428629169680516,-0.236563558633822
"MTG_R_4_2",-0.115988060089626,-0.0361703503236512,-0.100242436195631,-0.519994090231327,-0.453493092260491,-0.210614903295032
"MTG_L_4_3",-0.0648986670436339,0.0241222132962173,-0.0228600553257763,-0.456856455558246,-0.453930493978286,-0.166997796435996
"MTG_R_4_3",-0.0301939789717847,0.00339167416602314,-0.0229536580708966,-0.394868310823345,-0.511802114325563,-0.168632045922657
"MTG_L_4_4",-0.0312299922939613,-0.00260400959436795,-0.0878820129023529,-0.395614123056065,-0.523852072935828,-0.249621683080971
"MTG_R_4_4",-0.0138398125115939,-0.0899619424147275,-0.0959423241951291,-0.378523068111748,-0.614727431940207,-0.205081887963913
"ITG_L_7_1",-0.00434727926372982,-0.0150233236825274,-0.025136966837407,-0.362849781143666,-0.58065374651892,-0.210993326753118
"ITG_R_7_1",-0.00876840193470002,-0.0115903760098391,-0.0146084254916171,-0.429244444308586,-0.516019709414905,-0.199689680898858
"ITG_L_7_2",-0.0176893682532298,-0.00102266972932073,0.0066491563011807,-0.393310157534584,-0.480077837170556,-0.0876829931682226
"ITG_R_7_2",-0.00692710956926901,0.00614764257286225,0.00730117464333805,-0.355920621768108,-0.442016911532872,-0.0888694416911381
"ITG_L_7_3",-0.038936502518842,-0.00145451261596784,-0.0711286585681845,-0.474042247645267,-0.404615627195492,-0.259019230663333
"ITG_R_7_3",-0.0370967132609786,-0.021311198773166,-0.0534014863986777,-0.475991731173103,-0.429909132978181,-0.227789914850631
"ITG_L_7_4",-0.0336675687723609,0.00615951091542338,-0.066132906887777,-0.466544600624601,-0.449754157685063,-0.298004932538187
"ITG_R_7_4",-0.0507314979246732,-0.0221053650478762,-0.0476667221858072,-0.491653974954975,-0.480051016043541,-0.217136383468931
"ITG_L_7_5",-0.0377539669090657,0.00920540648896943,-0.0112696586774422,-0.437659409702489,-0.474941917310608,-0.147244644811302
"ITG_R_7_5",-0.00914122396833412,0.00111444669037458,-0.00887821302615706,-0.380009900179053,-0.486978974044243,-0.148906941524961
"ITG_L_7_6",-0.0264802203646912,-8.49277492795077e-05,-0.0297439844290963,-0.37013523635192,-0.510900328039289,-0.176515530741957
"ITG_R_7_6",-0.00759686205519028,-0.0090234234939641,-0.00426520128312742,-0.323249614415875,-0.538354423506441,-0.129338615708423
"ITG_L_7_7",-0.0293257564922432,-0.00655209891464995,-0.0619998401585557,-0.385225926755353,-0.530841453403702,-0.234477009917901
"ITG_R_7_7",0.0033893361499394,-0.0403214478615229,0.00652931057650815,-0.287781052980912,-0.598547664181573,-0.101332240179645
"FuG_L_3_1",-0.0133192468993564,-0.0874940613784802,-0.110667437516879,-0.404340419397552,-0.597835040732379,-0.23353951883248
"FuG_R_3_1",-0.0280429550875706,-0.128362320128698,-0.0778100083400227,-0.41104929360143,-0.608896737163289,-0.182722523398855
"FuG_L_3_2",-0.051078008098575,-0.065181296021499,0.0364360151726961,-0.415608266319467,-0.619476528723864,-0.0595699378285115
"FuG_R_3_2",-0.0408236699562562,-0.0293220719359017,0.0258627543727304,-0.379944753889465,-0.572274467344717,-0.0672645300249273
"FuG_L_3_3",-0.0197421112785996,-0.0404347014493522,0.0668669667208321,-0.33985489892345,-0.564964081897507,-0.0423322976194779
"FuG_R_3_3",0.0237203893837797,-0.0333711093551835,0.100067326118972,-0.297373950838392,-0.570558747309623,-0.0241752268363021
"PhG_L_6_1",0.00287636421243863,-0.0114943823704013,-0.0142281720931504,-0.346421406118816,-0.513001827602473,-0.215076724486866
"PhG_R_6_1",0.00127107948230774,-0.0150378889557965,-0.00448217825671616,-0.33235533574993,-0.536058555099265,-0.136921962002548
"PhG_L_6_2",-0.000116778306601097,-0.0186986281414294,0.00408687098926133,-0.226500755684347,-0.621808481561486,-0.047128353152218
