"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"SFG_L_7_1",-0.0981180649708117,-0.0414017100040875,0.0502558716951234,-0.00169414387060162,-0.00205000796144248,-0.554721362284028,-0.585068850280572,-0.0317002969438082,0.241145948170362,0.0403254979449007
"SFG_R_7_1",-0.0989705309485421,-0.0704932734829992,0.0532772287925239,-0.0034429552675229,-0.000416693753564164,-0.537644151744475,-0.62304008436535,-0.0430666215755947,0.23499677693951,0.0406498975966916
"SFG_L_7_2",-0.104624909083082,-0.0449816114578775,0.0239086120152838,0.00627933012160556,-0.0112770203306576,-0.557060252497603,-0.57129776124816,-0.0903422003827709,0.266188227359443,0.0471880479081425
"SFG_R_7_2",-0.0745022560729985,-0.0346570170424158,0.0299183668276543,0.0109930154634804,-0.0107112087629509,-0.545714281661006,-0.572221669687261,-0.0766744784444927,0.279652262715962,0.0484368432309053
"SFG_L_7_3",-0.0271236633826154,-0.0472278720492509,0.0139686526315462,0.0866471735359126,-0.0378453952189191,-0.445843993961568,-0.597444069868475,-0.110947916367634,0.394977377997173,0.00322575203984414
"SFG_R_7_3",-0.0693513120351088,-0.0498786305183689,0.0374658458971674,0.11032234429557,-0.0354344099316015,-0.49657358476346,-0.58182176515006,-0.0877198414083162,0.398857107836366,0.0238868152256886
"SFG_L_7_4",-0.0893118394250777,-0.0486302329203402,0.0237943131361502,-0.0360204284012152,0.0172178928356709,-0.557427070075805,-0.589227873748611,-0.0607271454614332,0.165755522858801,0.0683177801493916
"SFG_R_7_4",-0.0735008140075961,-0.0580898476724992,0.0243737963256104,-0.0457195764020236,0.0199930386821897,-0.522501140517834,-0.593084125414765,-0.0672686332692695,0.143955262685458,0.0722030149624571
"SFG_L_7_5",-0.119857013312595,-0.0701324961710516,0.039957881332195,-0.0478607077359481,0.0151020702868391,-0.563608008339265,-0.646632273058607,-0.0333184173619231,0.123628710760804,0.0364506167642865
"SFG_R_7_5",-0.0952485031339266,-0.0745439792812786,0.0376119046646745,-0.0596336767116572,0.0244919850610386,-0.538222606817497,-0.645944641599698,-0.0429017470648535,0.104230411484098,0.0545065698110981
"SFG_L_7_6",-0.10699268628542,-0.0424698403927051,0.112754385682775,0.0616787301782718,-0.0120001116099844,-0.515329424489848,-0.544119211893288,0.018738841284843,0.321641820776257,0.0369960830300463
"SFG_R_7_6",-0.127568330825448,-0.0557074150158546,0.145586917552801,0.0963888179741433,0.00697146204918603,-0.5052324420843,-0.551255956803747,0.0125234436874559,0.337895893016261,0.0563177892772524
"SFG_L_7_7",-0.0331481645314331,-0.0949304116596671,0.0395119674653564,0.280696346948292,-0.0768774734336799,-0.360352650809916,-0.546284460362722,-0.0623934991172781,0.459412490589382,-0.000526520312208935
"SFG_R_7_7",0.00166418696929909,-0.086924353284992,0.00747139669369354,0.214151002534388,-0.0278256676154501,-0.332557953837948,-0.553715101965607,-0.0860448280397509,0.444418402226496,0.0361224840432305
"MFG_L_7_1",-0.0864702182497997,-0.00503805324763264,-0.0191697250163231,0.156233295761009,-0.0273421150871167,-0.493597824164572,-0.494948563131193,-0.136909990719927,0.403772378247564,0.0695988496164244
"MFG_R_7_1",-0.126543560041314,-0.0103497915983452,0.0427066698487435,0.130117147153905,-0.0103181478686362,-0.533952116078619,-0.504386159781975,-0.0860364917690985,0.384716960491355,0.0806078163215181
"MFG_L_7_2",-0.0953906500030455,-0.0467232597568292,0.0449840452500322,-0.0732847793805267,0.116417925327614,-0.523313307754718,-0.575408571349677,-0.0471959012971026,0.180949827441844,0.198094092421735
"MFG_R_7_2",-0.0645403476110371,-0.0367127513928257,0.0314589798617128,-0.057199999336765,0.091455706142322,-0.51394841393221,-0.570713223149209,-0.0506682491335464,0.171699184742596,0.200058424630631
"MFG_L_7_3",0.00762066951815115,-0.0177938073449685,-0.0665839795382664,0.214209625063977,-0.0474939093485524,-0.374456115468092,-0.507779157559452,-0.184021266753544,0.518222141317794,0.0520025904810966
"MFG_R_7_3",-0.0827345794896455,-0.0207961260019251,-0.0552469636010928,0.256386543093655,-0.0465696661995233,-0.468819688671502,-0.52165227584003,-0.168355696799225,0.503258447236514,0.0670669925968789
"MFG_L_7_4",-0.041921218498876,-0.0182135288808488,-0.036450561640709,0.171618703517298,0.050386959555171,-0.453228843978926,-0.539914531933471,-0.140311770997912,0.407344824447607,0.145471205255319
"MFG_R_7_4",-0.0886026032115968,-0.0243562972354845,-0.0182160843484353,0.18413119020381,0.0406267037904013,-0.491567271498547,-0.56124656793685,-0.127953928613546,0.418093518291573,0.135218543336588
"MFG_L_7_5",-0.149425088594016,-0.0250349009299388,0.0135088681529073,-0.0545226384978233,0.049718807322118,-0.57414275492,-0.529588081467722,-0.0999360873096169,0.208019827723419,0.122184213226995
"MFG_R_7_5",-0.0782076251162948,-0.0403134079330123,0.0318574282763512,0.00707154325278267,0.0457036644448539,-0.503304628829069,-0.559950627040256,-0.0787759211827734,0.25916792351937,0.130519963803161
"MFG_L_7_6",-0.100026624300495,-0.0359291942880296,0.0149955505276535,-0.0869051620495016,0.0741909844428512,-0.558383854939786,-0.558601000030542,-0.0717497697122837,0.119610133308685,0.165793827573615
"MFG_R_7_6",-0.080780930498096,-0.0384493342090129,-0.0004346222984905,-0.0806328524371616,0.0566280590462768,-0.541478083497028,-0.568113104908872,-0.101945747188666,0.122025781945917,0.140319798745178
"MFG_L_7_7",0.0576179681134433,-0.0511627524467539,-0.195690469534064,0.129597729697958,-0.0258413120770555,-0.255288623309623,-0.567584653850045,-0.2832142350184,0.367223787298025,0.0536392806915161
"MFG_R_7_7",0.0305445901932229,-0.101716825718377,-0.268479982759055,0.170584902616566,-0.0357276377677103,-0.282824059697627,-0.6012575605485,-0.303167811675191,0.381898487715908,0.063411457528338
