"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"SFG_L_7_1",-0.0899395845100895,0.0281427273941137,-0.0191166786737288,-0.475776476896984,-0.210556042611022,0.208785235820221
"SFG_R_7_1",-0.0868823315329189,0.0164992955460281,-0.0153780567544886,-0.454324457951717,-0.242805587017972,0.218433966631046
"SFG_L_7_2",-0.0969676839263818,0.000998647232856785,-0.00655182133715775,-0.482215438374732,-0.25525707569435,0.2526393385267
"SFG_R_7_2",-0.0682910383432633,0.0108156906228523,-0.00144338931987833,-0.470456116672096,-0.242704302278409,0.265155240405613
"SFG_L_7_3",-0.020736344647335,0.0147678245792065,0.0318284334592179,-0.370214319121415,-0.255807306434955,0.330807256465927
"SFG_R_7_3",-0.0615119121388431,0.0391972701150854,0.0453928914905569,-0.421669106945005,-0.228113504517379,0.340627216057397
"SFG_L_7_4",-0.0811042550813585,-0.017157074795353,-0.00477456246567268,-0.478684267934559,-0.279493061148507,0.221900407407016
"SFG_R_7_4",-0.0641554665174975,-0.0265707157673036,-0.00230464910895271,-0.44374815508685,-0.29972723833092,0.22556508894163
"SFG_L_7_5",-0.107887371750476,-0.013472430745739,-0.0211482172066548,-0.476116218526931,-0.293662457582883,0.172180878816636
"SFG_R_7_5",-0.0829843365773339,-0.0253446257422761,-0.0119783167253504,-0.451347463339689,-0.314929763687481,0.189258809318441
"SFG_L_7_6",-0.0966730761228416,0.101427620247734,-1.28602077763857e-05,-0.440677487789537,-0.121131703201977,0.238979119330193
"SFG_R_7_6",-0.114309323968193,0.135855995448672,0.0267914833148688,-0.430061628565989,-0.12592605642858,0.267435294153593
"SFG_L_7_7",-0.0207054610919264,0.0697961233702022,0.132082333153748,-0.290778498372491,-0.170919141307726,0.356865852095706
"SFG_R_7_7",0.0118970569510813,0.0161460132578261,0.149615897573659,-0.263127191595462,-0.21110968453473,0.401615306004637
"MFG_L_7_1",-0.0865241692587998,0.0362540364836272,0.0636322148315999,-0.431664796233812,-0.210335262516533,0.341663332786248
"MFG_R_7_1",-0.123188592872313,0.0710007444076907,0.0615838645541943,-0.468500734950945,-0.183169940976908,0.339260384778581
"MFG_L_7_2",-0.086285056806069,-0.00224641800388185,0.0265049562774733,-0.446086309982463,-0.241079638122868,0.294126831498873
"MFG_R_7_2",-0.0576362971461914,-0.0061704188503435,0.0243486461241575,-0.437504273926156,-0.246054459060386,0.292673891889271
"MFG_L_7_3",0.00622832494005522,0.000303236509308761,0.112071648326493,-0.314432161719837,-0.234318204720617,0.437721384812618
"MFG_R_7_3",-0.0827416256618389,0.0171934319666764,0.140491214890479,-0.405484757255714,-0.237301397559199,0.443486047271741
"MFG_L_7_4",-0.04131040732248,0.0252540565767414,0.12673710316264,-0.385943672519437,-0.234792506026785,0.410136378792872
"MFG_R_7_4",-0.0861974787889995,0.0378460442089373,0.129910038502818,-0.420827012991942,-0.23891144253562,0.422578993378716
"MFG_L_7_5",-0.144001531599518,-0.0244392606745466,0.00969826675706342,-0.504599009008205,-0.268964788933181,0.278650198022404
"MFG_R_7_5",-0.0711082325046183,0.0078880645387801,0.0383488100896556,-0.429978236873889,-0.247660823715806,0.316997276443201
"MFG_L_7_6",-0.0933800575048543,-0.0350586805833625,0.00546960474935714,-0.483670950821508,-0.28460381579502,0.253951466485439
"MFG_R_7_6",-0.0745753123257689,-0.0452706281219115,-0.00335377182975416,-0.466791390631619,-0.311537521751638,0.239839962883786
"MFG_L_7_7",0.0557433601691011,-0.170148021126095,0.137861406089174,-0.191712812757839,-0.436884078666071,0.454472145038452
"MFG_R_7_7",0.0325501915392437,-0.252619421943053,0.190522893669594,-0.215423013279655,-0.466642379750832,0.479917382669132
"IFG_L_6_1",-0.000115372095863717,0.00523450512853841,0.0273851530587064,-0.338578247393094,-0.225984039652359,0.314355341396536
"IFG_R_6_1",-0.0186076991426134,0.00218255643946995,0.0364056940826176,-0.38309712436926,-0.239491693855434,0.330068548932698
"IFG_L_6_2",0.00180826224975652,0.0185878554596568,0.0621524000292977,-0.330399511654747,-0.209991012681423,0.407214066920006
"IFG_R_6_2",-0.0168873600623387,0.0186497063032132,0.0537332044536945,-0.365687225254389,-0.210278527345229,0.404322252698456
"IFG_L_6_3",0.0272490252143303,0.0281558916251881,0.0558480103696034,-0.226067218461869,-0.182636804508272,0.368483554631598
"IFG_R_6_3",0.00195132735460248,0.0258918436572447,0.0556852872643535,-0.281634579237965,-0.217289701182523,0.348406445680079
"IFG_L_6_4",0.0128179967011017,0.0291629771014247,0.0859526593680227,-0.260004840550647,-0.195950094899131,0.444365579248335
"IFG_R_6_4",-0.01670301235919,0.0242761122389385,0.096956801345339,-0.307329090809737,-0.224747744840072,0.442460290539479
"IFG_L_6_5",0.0151549832154949,0.0389854109085415,0.0623935645736959,-0.279990121165939,-0.217228669279821,0.357809068499063
"IFG_R_6_5",-0.00864113374899057,0.0519883089461898,0.0759950855334697,-0.315680081068384,-0.220397500992325,0.34387985164425
"IFG_L_6_6",0.0351311993025086,0.0219983404681565,0.0409969445297546,-0.187126900763963,-0.221895260249508,0.318397078042527
"IFG_R_6_6",0.0294377096035153,0.00818423093741904,0.042755338206054,-0.207691063094309,-0.260120056107776,0.331241688503797
"OrG_L_6_1",0.0667117521566076,-0.0967564841248299,0.0670678695410449,-0.0613666254596093,-0.408468358580104,0.348972531929683
"OrG_R_6_1",0.0604412063056392,-0.0833902542960759,0.0786020656931525,-0.101926276768719,-0.372906185276351,0.337855788413456
"OrG_L_6_2",0.00644603760097512,0.0417803260451567,0.0780159867230814,-0.270217433372235,-0.201293183560992,0.373922762548263
"OrG_R_6_2",-0.0270753785534354,0.0144747724182454,0.0924437086020795,-0.316577717740316,-0.242962821009625,0.412585738532557
"OrG_L_6_3",0.0122066009668826,0.0781123194771562,0.125168048747836,-0.232203386026984,-0.230427302351708,0.385092076179801
"OrG_R_6_3",-0.034083844034028,0.058104544940403,0.128649151509811,-0.244579975482412,-0.260630407502313,0.361204309266808
"OrG_L_6_4",0.0962262222963249,-0.132385911103741,0.058013144449754,0.0114276895674122,-0.414526331208251,0.282157185114543
"OrG_R_6_4",0.122804143004422,-0.231900905814724,0.110734556596359,-0.00481777256389716,-0.484145293216102,0.352326704641578
"OrG_L_6_5",0.0784248345351573,0.167754719452331,0.0160892927672878,-0.104239368863662,-0.171379666657803,0.242366744047866
"OrG_R_6_5",0.069425286145626,0.109836948065602,0.00649806388730682,-0.0522959062780684,-0.198957609712989,0.225238052069874
"OrG_L_6_6",0.00401653588063781,0.0406712621005373,0.0887429179826679,-0.284799317802046,-0.211921023086191,0.395514355109489
"OrG_R_6_6",-0.02964138611054,0.0317625958517385,0.085736348046871,-0.33843050058328,-0.225504484021001,0.393800409284675
"PrG_L_6_1",-0.039079310388893,-0.053048686933317,0.0668245188785334,-0.378106306762028,-0.368569024023519,0.338166468256686
"PrG_R_6_1",0.0181209741686688,-0.0188290642814637,0.0456826837868583,-0.288804842448397,-0.342876974702298,0.334709660633578
"PrG_L_6_2",-0.122198731137979,-0.0393657599753029,0.0424019189911387,-0.513552621314389,-0.323798883768366,0.304843642519738
"PrG_R_6_2",-0.1254575727258,-0.0590752933041526,0.0465657088682211,-0.476490255481173,-0.33886185486593,0.289748944550741
"PrG_L_6_3",-0.0822663727741946,-0.0387258542897532,0.0260146999894621,-0.427529432224218,-0.348743182620927,0.273266558114629
"PrG_R_6_3",-0.0760765332093396,-0.0288987394104705,0.0228302635597358,-0.44455047630503,-0.34128947362791,0.281811327715303
"PrG_L_6_4",-0.0557604911442062,-0.011042136540539,-0.00921490462053503,-0.46775374580867,-0.270229643491031,0.12857999619432
"PrG_R_6_4",-0.0679556828961628,-0.00399626383683379,0.00531357079724942,-0.433861683859469,-0.283277254127661,0.203405506923998
"PrG_L_6_5",0.0640903191130573,0.0103872629377023,0.0381739111864913,-0.123145774033084,-0.291918729444403,0.276048043524804
"PrG_R_6_5",0.0549187763054561,0.00183274851210188,0.0323463848757639,-0.149483009738015,-0.304407958017805,0.266385481628214
"PrG_L_6_6",0.0094238904162652,-0.0341896016260406,0.0793405077512308,-0.335093952595214,-0.314981779874803,0.335480916986887
"PrG_R_6_6",0.0321112100949623,-0.0376167073338455,0.0911390167303818,-0.306764708602018,-0.338026270901331,0.361353396989787
"PCL_L_2_1",-0.0414293830557335,-0.00272088500316375,0.00851093014644665,-0.373453593595271,-0.308700693019578,0.211135414095374
"PCL_R_2_1",-0.0230102284469928,-0.0171222762089731,0.0213390421189815,-0.297435779901224,-0.370659976438905,0.255140823631551
"PCL_L_2_2",-0.0789820162972622,-0.023183022958067,0.00864983933430998,-0.410041011563448,-0.339866534614876,0.197061745125208
"PCL_R_2_2",-0.0856546964127121,-0.0220142544103089,0.023852321013436,-0.39098646878005,-0.336390036950723,0.227459360875067
"STG_L_6_1",0.00457413728994052,-0.0738579165421984,-0.0826320857437043,-0.320256791370143,-0.285999384433665,0.0345119450010133
"STG_R_6_1",-0.0117480227254171,-0.102450907748544,-0.0634222023367757,-0.342483202189783,-0.31839263067261,0.0661189343132744
"STG_L_6_2",0.0429957551297296,0.00796873018726546,-0.00845860513767783,-0.147836670410259,-0.28570957148207,0.251900579851628
"STG_R_6_2",0.0535077860281803,0.0194650215702489,-0.00286645110506725,-0.0890213355810621,-0.26920241357222,0.263251275864072
"STG_L_6_3",0.10931696520362,0.0221154470987042,-0.0064933901094485,-0.10071660303421,-0.297350917664065,0.187349393450565
"STG_R_6_3",0.0976952150240327,0.0406887237613288,-0.0203776282593056,-0.138792683577104,-0.262923530811394,0.149424342168761
"STG_L_6_4",-0.02149996612074,0.000960246761903885,0.00587756015099599,-0.315034191702574,-0.313060247641157,0.27818943817583
"STG_R_6_4",0.0055797881456555,0.0265788962419022,-0.0366508318160615,-0.263253349402095,-0.256413617624897,0.166576598830338
"STG_L_6_5",-0.0204323200921336,-0.00754538234954785,-0.0644671573680724,-0.356389056359919,-0.241826440851004,0.00533685354378131
"STG_R_6_5",-0.0363883280734049,-0.0157148101865773,-0.0902581909776681,-0.375612609419482,-0.258426453421111,-0.00704881650355554
"STG_L_6_6",-0.00345417531300093,0.0143449013030785,-0.0111894291408417,-0.308129111346391,-0.268378784386544,0.147367201683819
"STG_R_6_6",0.010484972689744,0.0138589414713074,0.000579954489599103,-0.251699380610476,-0.257636004814845,0.214200309709625
"MTG_L_4_1",-0.0354396102819904,0.00722928213910945,0.00615552000432458,-0.375157387129228,-0.313124614394269,0.273123308403915
"MTG_R_4_1",-0.0259405468222923,0.038511820201275,-0.00884550275047957,-0.330600877180993,-0.256961836106528,0.246765743184631
"MTG_L_4_2",-0.0651701573301441,0.00445648873047592,-0.0522053914149998,-0.434722448982434,-0.263595056272732,0.0904371028156894
"MTG_R_4_2",-0.0987344166244344,-0.0304969576482698,-0.0885713633386245,-0.45063201246408,-0.274174957082815,0.0622350328617203
"MTG_L_4_3",-0.0650372785919672,-0.0218893171953735,0.0748605150205045,-0.392545510393848,-0.346993909253197,0.411378533338563
"MTG_R_4_3",-0.0262529065871108,-0.0358366335540428,0.0543864702710043,-0.322263819198548,-0.382553870485633,0.356280667049365
"MTG_L_4_4",-0.027761868202239,0.0284932279366267,-0.00237274456754667,-0.322509358833573,-0.279160535969755,0.238451052957994
"MTG_R_4_4",0.00615102275930054,0.101120756700697,-0.0260390518209673,-0.291402608757563,-0.236328798285424,0.200527370803072
"ITG_L_7_1",-0.00204562743067862,-0.0171680097631855,-0.0147076506183503,-0.283842720574727,-0.367848409943968,0.149763547012659
"ITG_R_7_1",-0.00633538547551845,-0.0110048815478593,-0.00561023773957058,-0.354813462565774,-0.341241938986804,0.120988861940448
"ITG_L_7_2",-0.0143736713701351,-0.0222196773528784,0.0221728074300457,-0.323059650545958,-0.353502412414791,0.315301796115837
"ITG_R_7_2",-0.00563606117606975,-0.00038660361212678,0.00137089950065343,-0.290907948157969,-0.289966289926662,0.25744982649707
"ITG_L_7_3",-0.0369589921386866,-0.0215429506597139,-0.0257333225975988,-0.416172431745331,-0.280605245263157,0.120701227364433
"ITG_R_7_3",-0.0302465152403711,-0.0379989910818795,-0.0226043265206503,-0.411939016900912,-0.298345858953106,0.117537755234785
"ITG_L_7_4",-0.0336710276503035,0.00155132744873611,-0.0129894375332258,-0.40456436571653,-0.285168779420318,0.155484442442328
