"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"SFG_L_7_1",-0.0891319901214733,-0.00857272122383197,0.041401632447632,-0.495534950583919,-0.436027846932236,0.406560969794907
"SFG_R_7_1",-0.0853538523086671,-0.029539683021725,0.0535921491481282,-0.474791584075035,-0.471961884099579,0.411496398274919
"SFG_L_7_2",-0.0964862781948528,-0.0256526529490872,0.0340002953730521,-0.501908011857386,-0.456430391630864,0.401855178013927
"SFG_R_7_2",-0.0660871301152108,-0.0106752314024861,0.032060883854688,-0.489297420732558,-0.444124390090632,0.414136101150262
"SFG_L_7_3",-0.0217682144654418,-0.0134851770254123,0.0519742899299991,-0.392898947873265,-0.458281894923684,0.441248544165687
"SFG_R_7_3",-0.0623251228467071,-0.000160344241636457,0.0783873127802286,-0.445260313653804,-0.434255387013703,0.460085850499548
"SFG_L_7_4",-0.08553653822134,-0.036491943806066,0.0269345664887328,-0.505393649354849,-0.474322743992424,0.376081843367018
"SFG_R_7_4",-0.0648868926342829,-0.046316496157383,0.0272247643091475,-0.465869938341665,-0.486596395354326,0.365019918214232
"SFG_L_7_5",-0.111365853825747,-0.05144941792345,0.0329182190879236,-0.501800634874762,-0.51548339212029,0.359192579652298
"SFG_R_7_5",-0.0841565146791119,-0.0585028955490466,0.0341995186355381,-0.4743752501293,-0.525490941672769,0.358212590834538
"SFG_L_7_6",-0.0955845408180348,0.0316802754982148,0.0924149506931263,-0.458704972314983,-0.365479222254596,0.447631750227628
"SFG_R_7_6",-0.112053642502785,0.0431848796246733,0.140934440077227,-0.44877931003896,-0.371210400815275,0.467209622439594
"SFG_L_7_7",-0.0278899976567678,-0.00449163898240029,0.167431049466241,-0.315071964950166,-0.381612820066327,0.469339346850462
"SFG_R_7_7",0.00494683555599766,-0.0230316225019249,0.143590151413103,-0.289070698383434,-0.399473239711609,0.476554106875579
"MFG_L_7_1",-0.0828391582549,0.0132476892089612,0.0746245759661737,-0.448490090826665,-0.394428339218478,0.44070634999398
"MFG_R_7_1",-0.121034521856625,0.0325820967200699,0.0926252342574333,-0.486763385886926,-0.381351419285133,0.457031245001363
"MFG_L_7_2",-0.0896656654275929,-0.0438188982381846,0.0737970677675621,-0.469596446519369,-0.466701367021523,0.457131553119396
"MFG_R_7_2",-0.0597018226407266,-0.0351559025333901,0.0552362405324232,-0.459756353762149,-0.465863372311238,0.448860851378051
"MFG_L_7_3",0.00681638069761561,-0.00291720827727347,0.0738811045019606,-0.335172412757779,-0.399511449908094,0.4749474601809
"MFG_R_7_3",-0.0859803088834071,0.0023997175347597,0.10361670511759,-0.430377773408609,-0.411518594788203,0.488508461868649
"MFG_L_7_4",-0.0384320764871175,-0.00184812617298678,0.122023251307503,-0.405709883081979,-0.429762668384347,0.498066383027484
"MFG_R_7_4",-0.0879790592476741,-0.000819105671155707,0.129113039484796,-0.445318903221457,-0.443111734757875,0.508397029202354
"MFG_L_7_5",-0.143889456077396,-0.0370483414424594,0.0293541041971254,-0.524306912772092,-0.450957506659259,0.396312219376946
"MFG_R_7_5",-0.0705621340883363,-0.0241358339643875,0.0631132905579334,-0.44995267646467,-0.450959364445002,0.438733438789846
"MFG_L_7_6",-0.0969124679080558,-0.0500246225509154,0.0242470827800418,-0.507386397231647,-0.478379705658941,0.389848650061741
"MFG_R_7_6",-0.075303610594666,-0.0567849836741718,0.0114694151394512,-0.487653467934119,-0.499562110987437,0.367966401081121
"MFG_L_7_7",0.0550349215220729,-0.106732224732992,0.0136301991192171,-0.217219458901529,-0.520496447838344,0.386321945341984
"MFG_R_7_7",0.0211731195879905,-0.182932881417199,0.0163755435288775,-0.248134225599287,-0.562832936159214,0.397911553119918
"IFG_L_6_1",-0.00112980096259237,-0.0233879468390639,0.056064592348047,-0.361609032430987,-0.471090072528685,0.493380296057531
"IFG_R_6_1",-0.0192209643357712,-0.0258075369133519,0.0596606959829213,-0.405044217679399,-0.47944920180358,0.493508038004925
"IFG_L_6_2",0.00269523934551571,-0.00262567535207972,0.0701642999722671,-0.350363834845306,-0.420886615001459,0.51708074207443
"IFG_R_6_2",-0.0170814918194017,-0.00399158646062594,0.0619329381508431,-0.38863707871638,-0.431861837545182,0.517626355007515
"IFG_L_6_3",0.0250440257516081,-0.00865012656610322,0.085286461991182,-0.252152735360852,-0.428521561275669,0.530513046400755
"IFG_R_6_3",-0.00196238717013189,-0.0185657638709252,0.09259397458041,-0.312304864765145,-0.468809790523772,0.517060825209209
"IFG_L_6_4",0.013810204052448,0.00633928565807835,0.0896291824747228,-0.281315353324336,-0.391469809904605,0.528115137424826
"IFG_R_6_4",-0.0191644653112623,-0.0100124746479905,0.104492998431719,-0.334159947232422,-0.440088312271972,0.533600313944257
"IFG_L_6_5",0.0135278821486932,-0.00628379107841334,0.102805502594919,-0.305992102608777,-0.464443052976123,0.525154113240996
"IFG_R_6_5",-0.0145817108329483,-0.00995492229026658,0.131284592609448,-0.346279618917602,-0.478664544910276,0.523402041486718
"IFG_L_6_6",0.0334018601070901,-0.0157530835466982,0.0776425240232134,-0.212890464109979,-0.475570390194746,0.501880918167313
"IFG_R_6_6",0.0275375138610508,-0.0238357767085406,0.0691545363654461,-0.235006340908428,-0.505959928414622,0.493853365658123
"OrG_L_6_1",0.0620526202653987,-0.0849917557664153,0.0257048393992441,-0.0918831741581476,-0.540714656831065,0.354687378143393
"OrG_R_6_1",0.0527776915005818,-0.0928445809663183,0.0570814281566971,-0.133484398199495,-0.544518545985349,0.392051294823955
"OrG_L_6_2",0.00547847151915447,0.00258634186010256,0.110612269711031,-0.294132108770213,-0.419625072550132,0.513530624153947
"OrG_R_6_2",-0.0312184598474098,-0.0160820786205054,0.0988902496573422,-0.345825427902041,-0.448779170485438,0.50622306692084
"OrG_L_6_3",0.0134812550394406,0.0263142873448826,0.172238158609071,-0.255796520806296,-0.426272357887304,0.492923481898844
"OrG_R_6_3",-0.0438433513857236,-0.018363158907376,0.184183687231857,-0.274530415579662,-0.474834031182653,0.477568438280407
"OrG_L_6_4",0.0929468285196315,-0.106670570876596,0.00595851730411465,-0.015438425630904,-0.501766333794533,0.259617200551093
"OrG_R_6_4",0.116727054101804,-0.177457015151859,0.00485334071149132,-0.0332379092739044,-0.556382860168325,0.290573805087455
"OrG_L_6_5",0.0710086677251386,0.0441332965164643,0.169156613530844,-0.132524589443285,-0.417458600004313,0.431973659308149
"OrG_R_6_5",0.0634673999197318,0.0264408333919346,0.111070184408327,-0.0794921865521213,-0.412954645288318,0.378642767997527
"OrG_L_6_6",0.00263600884953066,0.000719908215554673,0.117828755637966,-0.31025576095286,-0.438242467412449,0.53458205220469
"OrG_R_6_6",-0.033965238557505,-0.0113235497518027,0.111121282793323,-0.368020031646935,-0.464662934140518,0.533813347803063
"PrG_L_6_1",-0.0445567780302904,-0.09227845365836,0.0919199233999509,-0.406820154772599,-0.580210694091295,0.455565417064748
"PrG_R_6_1",0.0144150349054669,-0.05303928196873,0.0725778227129797,-0.318771954009808,-0.571189669399867,0.47183271859697
"PrG_L_6_2",-0.127672832682864,-0.0561145068346857,0.0530647326973638,-0.540444302689575,-0.508643965638306,0.412698527266582
