"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"SFG_L_7_1",-0.0918288272153153,-0.0150912011940479,-0.0351004921177947,-0.504899369418823,-0.467868332272378,-0.296959327148893
"SFG_R_7_1",-0.0904343632047954,-0.0397180433553261,-0.0440758748010941,-0.485203625436036,-0.505956818214447,-0.297199743436469
"SFG_L_7_2",-0.0984130828670592,-0.0287557034766938,-0.021966690646263,-0.510386875515689,-0.483636988351838,-0.285247670389803
"SFG_R_7_2",-0.0695051297799307,-0.0140169382955157,-0.0238019934571515,-0.499004640576694,-0.473452956352043,-0.299526838394908
"SFG_L_7_3",-0.024263435999303,-0.0148710895673675,-0.0494253261834496,-0.400422351439338,-0.480857153443966,-0.330894284651347
"SFG_R_7_3",-0.0629118623914389,-0.00554983832867718,-0.0796123851400015,-0.449716556396381,-0.464400800187417,-0.356730879557161
"SFG_L_7_4",-0.0805289522186702,-0.0434032078997557,-0.0146832915155601,-0.506221792989561,-0.509794637088866,-0.259965213941584
"SFG_R_7_4",-0.0636488554741998,-0.0531005168030283,-0.0129135911641383,-0.471849596179538,-0.520931564392508,-0.248614628818281
"SFG_L_7_5",-0.109125973316048,-0.0602030440620633,-0.0212775987771905,-0.505917476274255,-0.549397066350588,-0.242526944390214
"SFG_R_7_5",-0.0843435387967751,-0.0676510347341375,-0.0189063589955394,-0.481750985712859,-0.559866819428419,-0.237816867846929
"SFG_L_7_6",-0.0970547357454298,0.0232961285346147,-0.0996649684758376,-0.4670883809809,-0.397327066627129,-0.358801536935264
"SFG_R_7_6",-0.11530006208302,0.0283638947159347,-0.152854570677386,-0.456963633157435,-0.406083903050356,-0.378586643886318
"SFG_L_7_7",-0.0220720721987718,-0.012314093333267,-0.171916545919276,-0.317109368695131,-0.411672493992745,-0.380701540563801
"SFG_R_7_7",0.0148301535021765,-0.0368633620176363,-0.142934483921195,-0.288023617101512,-0.439368061728941,-0.386102036581884
"MFG_L_7_1",-0.0918950766632341,0.0173910629926926,-0.0634312275154485,-0.458585463467357,-0.41587820309003,-0.331166519076885
"MFG_R_7_1",-0.120494787372088,0.0340633170585713,-0.0901384267463317,-0.494066675860179,-0.409204624201014,-0.357804682722565
"MFG_L_7_2",-0.093575553540929,-0.0572185780376104,-0.0521042954810348,-0.477886670976592,-0.508147817117069,-0.335137939359948
"MFG_R_7_2",-0.0636399156965467,-0.0466902287310969,-0.0415911141566636,-0.469307767285183,-0.506703519902144,-0.329668138968105
"MFG_L_7_3",0.00157307533861651,-0.000161666325724155,-0.0647729212652173,-0.342317999960794,-0.425861627342361,-0.366412287287176
"MFG_R_7_3",-0.0827155887230046,0.00598597757399197,-0.0983181702533743,-0.432629604805084,-0.44079095805028,-0.383556130681486
"MFG_L_7_4",-0.0490904717331498,-0.00840951477149576,-0.106315001820136,-0.416596856291715,-0.464659263885808,-0.38096089017065
"MFG_R_7_4",-0.0888637088550518,-0.00518175885037675,-0.122217695672093,-0.451125580521991,-0.478642897582949,-0.397667453068708
"MFG_L_7_5",-0.146740476483285,-0.0397823184808449,-0.0048748870337521,-0.532913850786185,-0.479896829807626,-0.275632623331143
"MFG_R_7_5",-0.0762657788587898,-0.0284270974812545,-0.0485394531924849,-0.460737613745341,-0.481679997288548,-0.323093757717538
"MFG_L_7_6",-0.0960370236961642,-0.0573320262339336,-0.0064598226518041,-0.512948560388705,-0.515614019924072,-0.269825077017983
"MFG_R_7_6",-0.0766504546889627,-0.0601947988850688,0.00650717443266841,-0.496404442738162,-0.529346762271845,-0.245235537423666
"MFG_L_7_7",0.0448165675960452,-0.109484108408987,0.0276227236245358,-0.224410546012238,-0.554027121961234,-0.243895551309368
"MFG_R_7_7",0.021817531057776,-0.184371723471091,0.0339244013777251,-0.247528724268332,-0.598779679270895,-0.258740901647338
"IFG_L_6_1",-0.00413159518869262,-0.0326716310351254,-0.0459487018066821,-0.371408851693792,-0.518464788498142,-0.371441538631974
"IFG_R_6_1",-0.0221506323676463,-0.0344089281197678,-0.049614172628033,-0.416898180622197,-0.524774402859797,-0.373808257415073
"IFG_L_6_2",-0.00252579263298204,-0.0103133747388269,-0.0645644234860145,-0.361255091944793,-0.463826153323451,-0.404847160535701
"IFG_R_6_2",-0.0185866586996017,-0.00788423560141966,-0.0581671606494823,-0.396404178085114,-0.471653718852375,-0.409741213407541
"IFG_L_6_3",0.0241751623104181,-0.0197812684894852,-0.0786812026523721,-0.256669129489374,-0.478812704497148,-0.419648130003644
"IFG_R_6_3",-0.0021895563861387,-0.0302086829259411,-0.0840474062929258,-0.316027671953424,-0.517669756291507,-0.401628357844784
"IFG_L_6_4",0.00807715365531161,-0.00278852507294532,-0.0872908883911696,-0.290183610252797,-0.434129595802046,-0.421463315216969
"IFG_R_6_4",-0.019264638238226,-0.019282858929008,-0.101921551288163,-0.338200934173624,-0.486541034803752,-0.430167634964698
"IFG_L_6_5",0.0133013269221234,-0.0190798192242694,-0.0988765548258496,-0.310864847944921,-0.512853581297269,-0.413413612069797
"IFG_R_6_5",-0.0100009880966232,-0.026385770511335,-0.12879075792659,-0.347508721183436,-0.528015645497268,-0.415182518730708
"IFG_L_6_6",0.0327842114837168,-0.0279648860753671,-0.0724196896998194,-0.219578996134969,-0.527805275025333,-0.391602871717845
"IFG_R_6_6",0.0254436743902325,-0.035788575924717,-0.0636336024836405,-0.243177304197027,-0.558368226880296,-0.380269913537005
"OrG_L_6_1",0.0629614008749804,-0.0955783366131856,-0.00104380177142841,-0.0930971717782912,-0.586657530628681,-0.231198515992377
"OrG_R_6_1",0.0593164685548749,-0.11335827464242,-0.0370174235017975,-0.133327238949607,-0.601305203363486,-0.279784061114567
"OrG_L_6_2",0.00349800844900453,-0.0121892113269536,-0.11237664688397,-0.299896964784766,-0.467754705362229,-0.411602456084146
"OrG_R_6_2",-0.0313517055377172,-0.0276830662904034,-0.0987066914043837,-0.347829044339076,-0.494537472571152,-0.402909658915995
"OrG_L_6_3",0.00118522686583242,-0.00374076930746032,-0.174842009775698,-0.264217782095067,-0.477253989970275,-0.385129382769207
"OrG_R_6_3",-0.0429814096519352,-0.0491591838559041,-0.192766324637478,-0.276428788311059,-0.525369766252861,-0.374512047603845
"OrG_L_6_4",0.0898518832486809,-0.118829706265204,0.0286087011004554,-0.0183129887530164,-0.541408036071362,-0.142605085663144
"OrG_R_6_4",0.118170047539517,-0.194561650815059,0.0456271023901489,-0.0350159378239316,-0.605017997884247,-0.162800901987469
"OrG_L_6_5",0.0793177077384322,0.0174615803728826,-0.196973966739475,-0.131338295377403,-0.46351636903658,-0.356027211444278
"OrG_R_6_5",0.0701594967360757,0.00828927091587268,-0.128933922120718,-0.0786921597065862,-0.455327589573826,-0.304439944036955
"OrG_L_6_6",0.000552586148540767,-0.0140291201238903,-0.116355102145974,-0.316055736509379,-0.486620481012594,-0.424867588537734
"OrG_R_6_6",-0.0327821405391752,-0.0241595983997963,-0.11163997556091,-0.370802719601298,-0.513354112654865,-0.428743303654344
"PrG_L_6_1",-0.0476809102743812,-0.11130093451629,-0.0714617731768187,-0.414897506745662,-0.624017350361691,-0.322788585192614
"PrG_R_6_1",0.0116820002494717,-0.0689106692476689,-0.0614738646589271,-0.32552096387957,-0.620882455188298,-0.343442115189065
"PrG_L_6_2",-0.123292975228091,-0.0681767956981166,-0.0380709641371472,-0.543902907332823,-0.549865734873153,-0.292901505506781
"PrG_R_6_2",-0.126166745326194,-0.105719066428107,-0.0482599528328322,-0.507621767090855,-0.576770000281173,-0.28783714645663
"PrG_L_6_3",-0.0803096898894514,-0.0680745856516653,-0.0301200954420032,-0.456375788174087,-0.580307113549582,-0.270564194817054
"PrG_R_6_3",-0.0756952710860495,-0.0583451550109027,-0.0300114869615225,-0.475783314627567,-0.575690889285194,-0.28084727606216
"PrG_L_6_4",-0.0553974358183597,-0.0209280805045679,0.000348020666573909,-0.491036124869539,-0.463314999585269,-0.169996238941401
"PrG_R_6_4",-0.0676924273055903,-0.0349756769279048,-0.0268929632518394,-0.463407406213717,-0.527132106500703,-0.253021437545591
"PrG_L_6_5",0.0590044723604417,-0.043522309136995,-0.0718181249415457,-0.157864045318971,-0.570887461144179,-0.325916782172601
"PrG_R_6_5",0.0493804490006894,-0.0476104216001328,-0.0607586700798945,-0.185182138119281,-0.586172203081552,-0.316402313327377
"PrG_L_6_6",-0.00094556221869277,-0.115276436709499,-0.101627887727317,-0.370765565779776,-0.595891654211106,-0.354111053281622
"PrG_R_6_6",0.0216577788500856,-0.104234191764562,-0.096092775638727,-0.343110894547486,-0.602470024984761,-0.350458486351407
"PCL_L_2_1",-0.041407856993803,-0.0302146081447143,-0.0253446951411264,-0.404104442084099,-0.575850706581685,-0.264418070916784
"PCL_R_2_1",-0.0238715341253903,-0.0542929262400176,-0.0339476209006775,-0.332008053457275,-0.651028287893538,-0.277071397642879
