"Cohort","Domain","n","p_X","p_Y","Mode","Canonical_r","CI_low","CI_high","permutation_p","FDR_corrected_permutation_p","Full_report"
"CMI-HBN","Math",751,17,3,1,0.500121077462352,0.468078801375976,0.56640412591595,0.0001999600079984,0.0002999400119976,"canonical r = 0.50, 95% CI [0.47, 0.57], permutation p = 2.00e-04, FDR-corrected permutation p = 3.00e-04"
"CMI-HBN","Math",751,17,3,2,0.256767597672497,0.240375151091014,0.357881222414504,0.0001999600079984,0.0002999400119976,"canonical r = 0.26, 95% CI [0.24, 0.36], permutation p = 2.00e-04, FDR-corrected permutation p = 3.00e-04"
"CMI-HBN","Math",751,17,3,3,0.148557652154382,0.140122805890126,0.255613651330329,0.0123975204959008,0.0123975204959008,"canonical r = 0.15, 95% CI [0.14, 0.26], permutation p = 0.012, FDR-corrected permutation p = 0.012"
"CMI-HBN","Reading",751,17,3,1,0.490653733341787,0.458860642537711,0.56087375864671,0.0001999600079984,0.0002999400119976,"canonical r = 0.49, 95% CI [0.46, 0.56], permutation p = 2.00e-04, FDR-corrected permutation p = 3.00e-04"
"CMI-HBN","Reading",751,17,3,2,0.223228641661148,0.213622119179779,0.327476764968497,0.0001999600079984,0.0002999400119976,"canonical r = 0.22, 95% CI [0.21, 0.33], permutation p = 2.00e-04, FDR-corrected permutation p = 3.00e-04"
"CMI-HBN","Reading",751,17,3,3,0.150915905505391,0.140057080487332,0.248310031028741,0.0123975204959008,0.0123975204959008,"canonical r = 0.15, 95% CI [0.14, 0.25], permutation p = 0.012, FDR-corrected permutation p = 0.012"
"CMI-HBN","Joint",751,17,5,1,0.500327161555281,0.470897679277147,0.570426497987084,0.0001999600079984,0.000499900019996001,"canonical r = 0.50, 95% CI [0.47, 0.57], permutation p = 2.00e-04, FDR-corrected permutation p = 5.00e-04"
"CMI-HBN","Joint",751,17,5,2,0.26220442790358,0.262287359766223,0.368394845052035,0.0001999600079984,0.000499900019996001,"canonical r = 0.26, 95% CI [0.26, 0.37], permutation p = 2.00e-04, FDR-corrected permutation p = 5.00e-04"
"CMI-HBN","Joint",751,17,5,3,0.187424081208479,0.202059858856491,0.294149556325475,0.0023995200959808,0.00349930013997201,"canonical r = 0.19, 95% CI [0.20, 0.29], permutation p = 0.002, FDR-corrected permutation p = 0.003"
"CMI-HBN","Joint",751,17,5,4,0.154854199674883,0.156800425994768,0.241856632130269,0.00359928014397121,0.00359928014397121,"canonical r = 0.15, 95% CI [0.16, 0.24], permutation p = 0.004, FDR-corrected permutation p = 0.004"
"CMI-HBN","Joint",751,17,5,5,0.130008812698815,0.106551991395814,0.19683112064844,0.0027994401119776,0.00349930013997201,"canonical r = 0.13, 95% CI [0.11, 0.20], permutation p = 0.003, FDR-corrected permutation p = 0.003"
"Stanford","Math",228,13,3,1,0.647393842582904,0.603332776953919,0.74602568595664,0.0001999600079984,0.0002999400119976,"canonical r = 0.65, 95% CI [0.60, 0.75], permutation p = 2.00e-04, FDR-corrected permutation p = 3.00e-04"
"Stanford","Math",228,13,3,2,0.350789835076786,0.313496467597925,0.51464773525328,0.0001999600079984,0.0002999400119976,"canonical r = 0.35, 95% CI [0.31, 0.51], permutation p = 2.00e-04, FDR-corrected permutation p = 3.00e-04"
"Stanford","Math",228,13,3,3,0.117287445378147,0.146494918721531,0.330480960017926,0.934413117376525,0.934413117376525,"canonical r = 0.12, 95% CI [0.15, 0.33], permutation p = 0.934, FDR-corrected permutation p = 0.934"
"Stanford","Reading",228,13,3,1,0.638920170625775,0.596030961937073,0.737008452184351,0.0001999600079984,0.000599880023995201,"canonical r = 0.64, 95% CI [0.60, 0.74], permutation p = 2.00e-04, FDR-corrected permutation p = 6.00e-04"
"Stanford","Reading",228,13,3,2,0.344370139248903,0.31764049261935,0.509512878438146,0.000799840031993601,0.0011997600479904,"canonical r = 0.34, 95% CI [0.32, 0.51], permutation p = 8.00e-04, FDR-corrected permutation p = 0.001"
"Stanford","Reading",228,13,3,3,0.207880951283756,0.184398293771705,0.382645265590656,0.0809838032393521,0.0809838032393521,"canonical r = 0.21, 95% CI [0.18, 0.38], permutation p = 0.081, FDR-corrected permutation p = 0.081"
"Stanford","Joint",228,13,5,1,0.655137516443995,0.620474338594319,0.753059275166696,0.0001999600079984,0.000999800039992002,"canonical r = 0.66, 95% CI [0.62, 0.75], permutation p = 2.00e-04, FDR-corrected permutation p = 1.00e-03"
"Stanford","Joint",228,13,5,2,0.369402060025927,0.365017079885351,0.54590164615351,0.000999800039992002,0.00249950009998,"canonical r = 0.37, 95% CI [0.37, 0.55], permutation p = 1.00e-03, FDR-corrected permutation p = 0.002"
"Stanford","Joint",228,13,5,3,0.244103083196868,0.274777671377977,0.430412247453096,0.223955208958208,0.27994401119776,"canonical r = 0.24, 95% CI [0.27, 0.43], permutation p = 0.224, FDR-corrected permutation p = 0.280"
"Stanford","Joint",228,13,5,4,0.220479527047558,0.198669550260453,0.350750864503741,0.0427914417116577,0.0713190695194295,"canonical r = 0.22, 95% CI [0.20, 0.35], permutation p = 0.043, FDR-corrected permutation p = 0.071"
"Stanford","Joint",228,13,5,5,0.0798643286521034,0.107281550851448,0.256053688748743,0.9500099980004,0.9500099980004,"canonical r = 0.08, 95% CI [0.11, 0.26], permutation p = 0.950, FDR-corrected permutation p = 0.950"
