"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"SFG_L_7_1",-0.0997372807789371,0.028149981133931,-0.00322544978530548,-0.695085977976555,-0.32877614077188,-0.0940315552842266
"SFG_R_7_1",-0.108045623418259,0.0419214966064524,0.0214672396601737,-0.68027282325717,-0.319000225767502,-0.0486446831546648
"SFG_L_7_2",-0.0819482882732123,0.00836177468110096,-0.020770246572109,-0.663165159150824,-0.385430940629837,-0.117608761535293
"SFG_R_7_2",-0.068703796935309,0.000838038205864181,-0.0214779804182242,-0.674180952649991,-0.395197687647116,-0.124156866177758
"SFG_L_7_3",-0.06531944383775,0.0419620525262927,-0.0227920765876754,-0.673508588987598,-0.272596992139593,-0.12725043407698
"SFG_R_7_3",-0.0737004009788486,0.0368380818886827,-0.0261083113026112,-0.660613183906885,-0.310653645122846,-0.115558232771602
"SFG_L_7_4",-0.0559832460154969,0.00477883940719164,0.0224431257297065,-0.612298874295154,-0.361444667863738,-0.0424635210079828
"SFG_R_7_4",-0.0673897487116741,0.0168087418513303,0.0277257980559727,-0.638762750934217,-0.332984735663604,-0.0217942897163207
"SFG_L_7_5",-0.0624183970107885,0.0178620828411452,0.0098606704600534,-0.592394726245565,-0.336820875641857,-0.0723104900957002
"SFG_R_7_5",-0.0583192824824669,0.0324284998530532,0.0265409844111799,-0.573723486414372,-0.304156137321057,-0.0292905210305488
"SFG_L_7_6",-0.170635132516527,0.0881963267855741,-0.0248444228494674,-0.763714235663791,-0.217530564514142,-0.128840154487151
"SFG_R_7_6",-0.212738510717358,0.0975154715609178,-0.0532865660374469,-0.740611442301127,-0.246975459988455,-0.143528417644373
"SFG_L_7_7",-0.217724763008727,0.166659144048383,-0.153295460118573,-0.701866880174317,-0.173956465477824,-0.215078486533893
"SFG_R_7_7",-0.197087445491849,0.174970991578637,-0.134217824301305,-0.679447512746814,-0.119617733386476,-0.208885339626905
"MFG_L_7_1",-0.0719513094736657,-0.0870242028458524,-0.17413632893747,-0.584952144930958,-0.474483374744736,-0.21764465216149
"MFG_R_7_1",-0.105805927668306,-0.0625847157486245,-0.0896264905285825,-0.631292953042961,-0.452697945622018,-0.165536606868443
"MFG_L_7_2",-0.07341403919987,-0.106514447974705,-0.00291689491398036,-0.588351611473675,-0.529482334143148,-0.0827436718748113
"MFG_R_7_2",-0.0619940488457509,-0.0673442526482407,0.00448384284536985,-0.599847089904083,-0.50011328203933,-0.0745558438528817
"MFG_L_7_3",-0.00719250793913262,-0.0592819527026231,-0.162902589640299,-0.524136796343808,-0.464247382034595,-0.239582930201083
"MFG_R_7_3",-0.0688867438444937,-0.054145640989975,-0.0772017580996283,-0.591733791027617,-0.446599249931439,-0.140631376252834
"MFG_L_7_4",0.00891419025426673,-0.148530187089281,-0.100410660658367,-0.493112524476194,-0.55485925069446,-0.158280507957776
"MFG_R_7_4",-0.0253596406630358,-0.138016680315522,0.0191822919442261,-0.522010676434116,-0.5514079068094,-0.0574463570454931
"MFG_L_7_5",-0.0896703827326772,-0.056511782505455,-0.0471907506354766,-0.614708830794645,-0.461166361826494,-0.138338403583025
"MFG_R_7_5",-0.0657025693943603,-0.0634422715378584,-0.0524665747580867,-0.601029647703243,-0.471720561844157,-0.145508885214323
"MFG_L_7_6",-0.0674102114895102,-0.0451538051109941,0.0220417372693808,-0.60994425842149,-0.464320945378116,-0.052522266393764
"MFG_R_7_6",-0.0651129324828981,-0.0258275528523769,-0.00393304339774655,-0.623395610086778,-0.436221883839109,-0.0914833153959899
"MFG_L_7_7",0.00148703726853015,-0.0429418937176504,-0.158734105169208,-0.486845366953618,-0.430202623083825,-0.232736765144328
"MFG_R_7_7",-0.0569782420969107,-0.0375336957236346,-0.0526976594259407,-0.541154034027892,-0.415189121315182,-0.124866455556294
"IFG_L_6_1",-0.0250858195530463,-0.0508933787986954,-0.00688229905025262,-0.552850538660535,-0.53618142394057,-0.0892261187243123
"IFG_R_6_1",-0.0408440414161835,-0.068643459270227,0.015187086323732,-0.574934817666287,-0.549365644757787,-0.0533394079762353
"IFG_L_6_2",-0.00237031388345799,-0.0618655959117985,-0.015969429989553,-0.490471191803427,-0.550719943474731,-0.109039745270783
"IFG_R_6_2",-0.0164149668428665,-0.0709331151797106,0.00589989348654371,-0.51862754556914,-0.59334127836882,-0.0729951810144143
"IFG_L_6_3",-0.00662149199447373,-0.0433418697744643,0.00485889526836915,-0.470386060025115,-0.512410541405938,-0.0659029064741915
"IFG_R_6_3",-0.0238907806295499,-0.0737314082368292,0.0274703643365776,-0.516347818570963,-0.571406968012843,-0.0274022559141912
"IFG_L_6_4",-0.00375258426563035,-0.080974627156627,-0.00674656810356372,-0.483852985843393,-0.582979625997375,-0.100612105486975
"IFG_R_6_4",-0.0264447580847751,-0.0827851250999404,0.0248505817625749,-0.515746376644276,-0.576803550912591,-0.0374740257040855
"IFG_L_6_5",-0.0143922164557106,-0.0511841283077508,-0.00130032103689737,-0.511067044955365,-0.502682562163208,-0.0901962074700434
"IFG_R_6_5",-0.0471879933214313,-0.0488962091807675,0.050182810437567,-0.550562470081112,-0.478309139538655,-0.00369332380056508
