"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"SFG_L_7_1",-0.0978935742987107,0.0222094882312327,0.0201952855524722,0.00363042962330792,-0.0170801013177858,-0.747381540700111,-0.387486193916643,-0.00886457342335087,-0.0900358969041309,-0.0720790184774779
"SFG_R_7_1",-0.108034100981076,0.0257645802082179,0.015821070800475,0.0351577283128125,-0.0253492899912928,-0.736391311104756,-0.393232314172875,-0.0230466590120854,-0.0452831966061953,-0.06736235817778
"SFG_L_7_2",-0.081555227041934,0.00313911573593334,0.00419587638470971,-0.0252811659372574,-0.0134046406775127,-0.718950610488724,-0.434737195672154,-0.0351418292926229,-0.14177278812822,-0.0441250030510071
"SFG_R_7_2",-0.0706706858891066,-0.0161858899068444,0.0155023089512196,-0.0147875078274362,-0.0214534656090495,-0.733870136229738,-0.472447646312284,-0.00311456168373657,-0.136741725719798,-0.0509915058392544
"SFG_L_7_3",-0.0633576448067575,0.0198985113203553,0.0199025119046099,-0.0109669900259917,-0.0360872473593156,-0.722147538537223,-0.363692061259867,0.00642171529949202,-0.116508510496318,-0.106396235259748
"SFG_R_7_3",-0.07311808902593,0.00709385364830392,0.0236081807893103,-0.0162293313569459,-0.0355435890576255,-0.714667883303891,-0.412214529445683,0.00813624077986585,-0.116350466993148,-0.0810002104136198
"SFG_L_7_4",-0.0541467491105722,0.00537094020958493,0.0343246654751403,0.00749898034903344,0.0394426585689118,-0.663366044698008,-0.407760077918636,0.0162456971806051,-0.0827028216225132,0.0360914347117097
"SFG_R_7_4",-0.0673461592771984,0.0118924186143257,0.0131406944686282,0.0237244657950989,0.0105496612055856,-0.69150897007269,-0.387609965553006,-0.0135813248038891,-0.0527664759612749,0.00405679583900048
"SFG_L_7_5",-0.0606511948892719,0.0102458486572979,0.0419801912400267,0.0162127988579228,0.00716362918985813,-0.645683129734707,-0.403639557416257,0.0110887192044352,-0.0577329920137427,-0.0540772268153344
"SFG_R_7_5",-0.0581415377161599,0.0156159145058234,0.0269358432569875,0.0372912839860593,-0.00607917350768172,-0.629227679946748,-0.38911914405722,-0.0134437111791826,-0.0139202472996495,-0.063591520051234
