"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"SFG_L_7_1",-0.100935523975591,0.00118899704312014,0.00548805234406527,-0.671711497464178,-0.25651995848661,-0.139420219800771
"SFG_R_7_1",-0.111137367203923,0.0172080612088767,0.0319975521036073,-0.659142122608614,-0.23320531302481,-0.106158009335469
"SFG_L_7_2",-0.081240975256375,-0.000407461319847955,-0.0289824106509748,-0.635202842797779,-0.276942170483296,-0.199506175607189
"SFG_R_7_2",-0.0676441870901209,-0.016769948266789,-0.0167216945647782,-0.64490236463895,-0.315951696688823,-0.193000114909101
"SFG_L_7_3",-0.0666148911344711,0.0100600515146275,-0.0118128075183461,-0.651685843526401,-0.232203960096246,-0.168983945013896
"SFG_R_7_3",-0.0743173004589951,0.0018750717762853,-0.0193926308335424,-0.636408876913206,-0.262675699301986,-0.174843530086947
"SFG_L_7_4",-0.0557588022226022,-0.0280007793663566,0.0120354674064601,-0.586906024398084,-0.301409037212495,-0.128109531556321
"SFG_R_7_4",-0.0688004741508498,0.00141084139693704,0.0214288334854097,-0.616535565924022,-0.250701121709291,-0.110091491774068
"SFG_L_7_5",-0.0630968263439489,-0.0257860773319999,0.0247064390313315,-0.56941626838141,-0.278706136795078,-0.0990472177139688
"SFG_R_7_5",-0.060771460570934,0.000284366456314831,0.0382727718436111,-0.554424694742209,-0.228629449650823,-0.0700622428670287
"SFG_L_7_6",-0.175311985221104,0.0114629060687901,0.0406767067730139,-0.745636345063857,-0.241706574213117,-0.104202998654057
"SFG_R_7_6",-0.21743258226381,-0.00164400445703772,0.0452046686787496,-0.720673658431564,-0.263381795821181,-0.109276831666994
"SFG_L_7_7",-0.221209582519747,-0.067594252656862,0.00703341241359565,-0.682195052890201,-0.308789794607248,-0.127261195823109
"SFG_R_7_7",-0.200821516687414,-0.0748023357182408,0.0118860819866701,-0.662610746333664,-0.301664161890474,-0.103247287752331
"MFG_L_7_1",-0.0609416993968136,-0.0435050517627075,-0.192609085425737,-0.548425444810059,-0.342921620497201,-0.298813674881207
"MFG_R_7_1",-0.0988151228364158,-0.0285988715993166,-0.116291872203988,-0.597624620814142,-0.323356933508542,-0.256980110710513
"MFG_L_7_2",-0.0671888287953075,-0.0186546768003857,-0.0637872036549634,-0.553683121787278,-0.312674504197338,-0.224837252015605
"MFG_R_7_2",-0.0578769446181122,-0.0356445318185564,-0.0244280419737119,-0.566368868040914,-0.33798913457828,-0.195898043967823
"MFG_L_7_3",0.00295481837544721,-0.0738664869824738,-0.166348624126419,-0.486255451492528,-0.386791037894318,-0.306957173415015
"MFG_R_7_3",-0.0624680925366715,-0.0408545209506535,-0.0965798346393641,-0.559042194926452,-0.33127451961455,-0.227573605945431
"MFG_L_7_4",0.0210979260484058,-0.0355548726568972,-0.177306634293929,-0.454436709811239,-0.33489436762195,-0.292856520103877
"MFG_R_7_4",-0.0178456346906985,0.00306511173857799,-0.0916898352260568,-0.487158701215903,-0.288751487429804,-0.23116476932888
"MFG_L_7_5",-0.0849425499041162,0.00114892430540225,-0.0844678634313325,-0.582585155415993,-0.287859692722344,-0.236449683112855
"MFG_R_7_5",-0.059438213352059,-0.00962635491151139,-0.112985218691634,-0.566691795625679,-0.30498585123058,-0.275827395810702
"MFG_L_7_6",-0.0645370807483471,-0.0456044149528356,-0.00136877419642357,-0.578563572255337,-0.347087478915684,-0.162001477448018
"MFG_R_7_6",-0.0629507403287615,-0.0354829402315381,-0.00697547196297783,-0.592491805147313,-0.345914098993707,-0.174526832590156
"MFG_L_7_7",0.0130822369244118,-0.1572607207402,-0.149420624779087,-0.449767242752189,-0.440429991885622,-0.267431543921574
"MFG_R_7_7",-0.0494380690492642,-0.171278639572055,-0.0281121001894252,-0.509626860495252,-0.410006807702731,-0.151876045961795
"IFG_L_6_1",-0.0216836675752502,-0.0255854733798814,-0.0274450836258507,-0.516878188448589,-0.350783191241472,-0.221202557844292
"IFG_R_6_1",-0.0372689675818436,-0.0438725670445894,0.000292948831076614,-0.539640908359061,-0.372888627820029,-0.169984678862392
"IFG_L_6_2",0.00152546591020042,-0.009957122102484,-0.0447544869871535,-0.454426245852826,-0.313009248532447,-0.241467517290664
"IFG_R_6_2",-0.0128399013074262,-0.0114669088485442,-0.0263116321886386,-0.481821251512145,-0.313232805716731,-0.224227339059936
"IFG_L_6_3",-0.00469132143001011,-0.00254437451434237,-0.0125992736087734,-0.438967243433791,-0.276956278925092,-0.176833741759068
"IFG_R_6_3",-0.0213426130052946,0.002671016515311,-0.00726784912662446,-0.483811445915242,-0.263550087140654,-0.166867036564016
"IFG_L_6_4",0.00119089408272049,-0.0259229771850151,-0.0429734373424811,-0.446033490029912,-0.34124520667684,-0.236864256354898
"IFG_R_6_4",-0.0233029215641679,0.00247450055667463,-0.0156965355790347,-0.482165032896964,-0.274176563650263,-0.18234136530168
"IFG_L_6_5",-0.0116337606982461,-0.00456395984381486,-0.0274341579729373,-0.478880146072328,-0.276958367363924,-0.208564943488563
"IFG_R_6_5",-0.0466074155155326,0.0176975445730335,0.0112378802014098,-0.523042799713583,-0.233400295340038,-0.139343171544341
"IFG_L_6_6",-0.00829810980462315,-0.0123174766030823,0.016576155578187,-0.447264259204516,-0.297849042055123,-0.117541459963921
"IFG_R_6_6",-0.0182341595360584,-0.0012232100572987,0.0183517857548017,-0.483174772904393,-0.264306026495838,-0.102548275921834
"OrG_L_6_1",-0.0175045057144544,-0.0772850776353292,0.0333365392111898,-0.404379950473293,-0.346232473897231,-0.0433139848330681
"OrG_R_6_1",-0.00966818971858072,-0.0923125958408774,0.145124759785991,-0.311810769917085,-0.286880234840228,0.087151449965122
"OrG_L_6_2",0.00036965828622777,-0.0372255926902817,-0.00372228833308955,-0.456832550963511,-0.349360870649271,-0.178471291512833
"OrG_R_6_2",-0.0149562514800842,-0.0117225295441009,-0.00461937668794128,-0.482244925416883,-0.299971519392521,-0.165789414389079
"OrG_L_6_3",0.110069765740066,-0.165346500550718,0.0294907046333017,-0.314467213383381,-0.42743166441062,-0.139444125534492
"OrG_R_6_3",0.0655724192660573,-0.1706937401764,0.13351987913258,-0.363924585450987,-0.412379939071812,-0.0606093821490216
"OrG_L_6_4",-0.00882147945594397,-0.109565682470015,0.0736165040305561,-0.342147410636375,-0.345567936043025,0.000723922940786793
"OrG_R_6_4",-0.0382903534266329,-0.179873766149847,0.137104442496316,-0.387609286935501,-0.396161532527343,0.0450082104569301
"OrG_L_6_5",-0.00865046315565118,0.0132544326247805,0.240216600155041,-0.387199096196625,-0.240054649312999,0.0545463797822352
"OrG_R_6_5",0.00186105641036828,0.0282397961294121,0.202411450116618,-0.342872596605456,-0.197640588108867,0.0970989553771169
"OrG_L_6_6",-0.00418634072504691,-0.0174416685596877,-0.0329927972164185,-0.466826477891329,-0.309009658839267,-0.21644117096402
"OrG_R_6_6",-0.0275669290298443,0.00252937125843546,-0.000679819096424969,-0.513915275090843,-0.275865253643816,-0.15982529925514
"PrG_L_6_1",-0.0636836343638532,-0.068908034209641,0.0186506147389116,-0.542058418635384,-0.348492899431786,-0.152134829163814
"PrG_R_6_1",-0.0478048851342097,-0.0339192970313356,0.0160054556975591,-0.566487207787707,-0.33785394802748,-0.152153490598702
"PrG_L_6_2",-0.0600376115759706,-0.0850596111057452,0.0238812124237555,-0.548637617750417,-0.375295528786512,-0.148626779155538
"PrG_R_6_2",-0.136153085502175,-0.118224890569121,0.0747786751706585,-0.623245439508522,-0.391721744727366,-0.123137441997545
"PrG_L_6_3",-0.0408058763072,-0.0590421290985195,0.0495270437553572,-0.506798467363911,-0.327049587326204,-0.0768675504139756
"PrG_R_6_3",-0.0962075021563362,-0.0405073576013643,0.0631299631651986,-0.649406474456713,-0.331161880791488,-0.077741515119445
"PrG_L_6_4",-0.0244699085487088,-0.0196539209020719,0.0245612433473796,-0.493761968884187,-0.25157585452407,-0.0495230426265912
"PrG_R_6_4",-0.0646206724913013,-0.00461753499025381,0.075160070915085,-0.573590901859673,-0.178701169845214,0.0391367965735967
"PrG_L_6_5",-0.0217509834240907,-0.00290820030276561,0.0459084602420033,-0.485749773201799,-0.247305561104691,-0.0669552246634845
"PrG_R_6_5",-0.0156843019046345,0.00641534257779599,0.024838955527357,-0.465574671628417,-0.219962367651404,-0.092632961149863
"PrG_L_6_6",-0.0422021334228203,-0.0798093643582783,-0.0250550436055943,-0.503815949119392,-0.359263631593835,-0.19202112879142
"PrG_R_6_6",-0.0664512903167938,-0.106241850605105,0.0296940694549814,-0.533308834762394,-0.387857480146481,-0.154800753582352
"PCL_L_2_1",-0.00686078047750788,0.0147341897173446,0.0225177197737873,-0.367141867708723,-0.0987684170975712,-0.0102404075174376
"PCL_R_2_1",0.0107369843005203,0.0132326974274924,0.0122275674407146,-0.279080842775524,-0.112138737427297,-0.0323941853482435
"PCL_L_2_2",-0.0153876196953887,-0.0143871955527606,0.0321260066049958,-0.396674081207011,-0.19872187554505,-0.0401731446816967
"PCL_R_2_2",-0.0337777888181345,-0.0105000334413306,0.0558888475955879,-0.426840168431861,-0.180026932993168,-0.0201143224141152
"STG_L_6_1",-0.145138883465635,-0.0240708399638681,0.0174398714581147,-0.680242653462332,-0.25286710569347,-0.133771676290166
"STG_R_6_1",-0.148879578419826,-0.0132555759492488,0.0166190156256204,-0.713695488504443,-0.248800197189232,-0.130114073093235
"STG_L_6_2",0.00690883924871219,0.0392034739950867,-0.029687624910476,-0.35105448493119,-0.111898670562593,-0.169037766730277
"STG_R_6_2",0.0139133795642708,0.0629892461993105,-0.0124605648440743,-0.269939051848203,0.0127154491744229,-0.119690245279893
"STG_L_6_3",-0.0111624763764924,0.0421299521127614,0.0608503164812512,-0.41952016221062,-0.161729905568549,-0.0584485982898405
"STG_R_6_3",-0.0533561012574581,0.0993243933734728,0.0352951655301095,-0.516304146108152,-0.0675875585658813,-0.0922207418403359
"STG_L_6_4",0.0221082260151983,-0.00358750152395202,-0.0472434387179339,-0.368283688022471,-0.248233509569554,-0.214502502521031
"STG_R_6_4",0.00694465826904358,0.085861355478464,-0.0563415052247325,-0.32616165063956,0.0148062377715396,-0.181074293190298
"STG_L_6_5",-0.0886478758629398,-0.00370137565967003,0.0509694021161598,-0.645647438453858,-0.234972586656296,-0.0776244932033316
"STG_R_6_5",-0.107859639629976,0.0362570677055673,0.0244594185756561,-0.668766795527048,-0.17186454902431,-0.117955817299356
"STG_L_6_6",-0.0611291189474301,0.0100795246051466,0.0363195203172369,-0.58037238241404,-0.212948101670086,-0.101222878482722
"STG_R_6_6",-0.00915463830739324,0.0325784458944162,-0.00394533661810458,-0.463976483730785,-0.0879137542590707,-0.132632198233869
"MTG_L_4_1",-0.028602808815636,-0.00487925970890838,-0.0202100644754851,-0.559007742118235,-0.255436482629635,-0.189917574886293
"MTG_R_4_1",-0.0128498413434489,0.024250680962896,-0.0482552572790969,-0.488294611648722,-0.19319940041834,-0.203003672984051
"MTG_L_4_2",-0.128988708156179,-0.000344881453782042,0.0284345962246577,-0.715032105893014,-0.242409464599329,-0.130502250089684
"MTG_R_4_2",-0.181390044524265,0.0504642404968052,0.0228428201424559,-0.745888059995653,-0.170997249356633,-0.135508149881789
"MTG_L_4_3",-0.00108656703423083,-0.0595586303651137,-0.0479982133302416,-0.468215906704738,-0.344694837583315,-0.22973259510611
"MTG_R_4_3",-0.0313934010619268,-0.03856465683908,-0.105356448517562,-0.519846567189861,-0.313327671282613,-0.287202138371946
"MTG_L_4_4",-0.065866365070036,-0.00680869358056474,0.012316452191084,-0.581522544907478,-0.25152011213551,-0.136527252799
"MTG_R_4_4",-0.0906419769068483,0.0743482585632758,0.0190555987742854,-0.560694195696767,-0.180693146149756,-0.125398073176851
"ITG_L_7_1",-0.00345444356696821,0.00268299488436652,-0.00735517570599876,-0.440943497039592,-0.1784186706114,-0.14849864164005
"ITG_R_7_1",-0.0111332169412739,0.0120050265261519,-0.00530293436537199,-0.547949325463362,-0.0560651707094836,-0.159958475255506
"ITG_L_7_2",-0.0202629578005081,-0.0197774493897806,-0.0285534660769155,-0.5450230457736,-0.280782296585157,-0.256978534383502
"ITG_R_7_2",-0.0249603322903111,-0.0122645496692999,-0.023178645932425,-0.58063284179372,-0.29216035936823,-0.267660566669232
"ITG_L_7_3",-0.0993546578616886,0.0056586485203359,-0.0162149154913941,-0.734142748880966,-0.228115134410108,-0.197886951901134
"ITG_R_7_3",-0.0838191131566403,0.0296755452308529,-0.0079641340263694,-0.722477215559548,-0.128436779272153,-0.166443943221452
"ITG_L_7_4",-0.0297349776377278,0.005266562111325,-0.0145133686494152,-0.561410238854653,-0.206435281334399,-0.182726644900552
