xcoef_std_m1_age_gmv,xcoef_std_m2_math_gmv,xloading_m1_age_gmv,xloading_m2_math_gmv
-0.0978402,-0.050477024,-0.557212728,-0.572368479
-0.098820273,-0.079490623,-0.540471613,-0.607003415
-0.104614789,-0.048786529,-0.559964915,-0.547698186
-0.074362757,-0.04018132,-0.548440795,-0.55191636
-0.026996996,-0.051874409,-0.448729243,-0.573690932
-0.068917432,-0.059997573,-0.499095623,-0.563224245
-0.089422877,-0.050988583,-0.560442321,-0.567922423
-0.07368615,-0.06007948,-0.525672709,-0.569711143
-0.119963079,-0.074840153,-0.566849124,-0.628161362
-0.095428438,-0.078362592,-0.541594925,-0.62496725
-0.105897715,-0.066520307,-0.516835129,-0.545587726
-0.126067175,-0.087403147,-0.506752445,-0.551922887
-0.032418583,-0.11035362,-0.362275632,-0.536122581
0.001965275,-0.093857326,-0.334750807,-0.538173993
-0.086190591,-0.006032094,-0.496059309,-0.46842351
-0.125736588,-0.022986563,-0.536002856,-0.487375571
-0.095251281,-0.05241874,-0.525866378,-0.558124785
-0.064468934,-0.040432235,-0.516540273,-0.5525325
0.007521021,-0.010976856,-0.377098985,-0.475529211
-0.082585474,-0.017428182,-0.471401123,-0.491557443
-0.041711117,-0.016206166,-0.455833518,-0.512121458
-0.088213174,-0.02623458,-0.494138992,-0.535757803
-0.149520909,-0.025053703,-0.577000771,-0.503055169
-0.078002942,-0.046098818,-0.505930379,-0.539099154
-0.10024098,-0.035106166,-0.561350007,-0.534339189
-0.08116968,-0.034626562,-0.544827996,-0.53749895
0.05579943,-0.014318629,-0.259756616,-0.508760647
0.027860742,-0.050077832,-0.287601479,-0.538028207
-0.004796195,-0.032342391,-0.419657488,-0.57625597
-0.023300445,-0.031645541,-0.464341183,-0.575418587
0.000334977,-0.01721479,-0.401519003,-0.522235286
-0.0184586,-0.016220141,-0.438863548,-0.534687366
0.022226905,-0.042442101,-0.305441526,-0.581436936
-0.005135088,-0.054867665,-0.36735606,-0.619160106
0.01266358,-0.012166139,-0.326515926,-0.498680892
-0.018902595,-0.024754821,-0.380689232,-0.540785465
0.008688257,-0.054478615,-0.36609047,-0.628365688
-0.018231172,-0.077144729,-0.406050125,-0.655152076
0.028482338,-0.052925652,-0.275696531,-0.643782698
0.02323694,-0.048326347,-0.297300352,-0.64820114
0.055206137,-0.087501271,-0.149580268,-0.645934774
0.041092792,-0.142885979,-0.198843876,-0.704821739
0.003244856,-0.033450475,-0.3459966,-0.558579312
-0.029598445,-0.026684553,-0.391386454,-0.549946004
0.004395086,-0.071907848,-0.31324511,-0.596821783
-0.049984482,-0.128852941,-0.333430522,-0.649953705
0.081461476,-0.107739381,-0.06961493,-0.588623346
0.10720612,-0.113764074,-0.085229127,-0.585359191
0.051699161,-0.207499411,-0.200506006,-0.705385051
0.0474763,-0.16968616,-0.146018545,-0.687245245
0.000484042,-0.035994257,-0.363821213,-0.58164797
-0.034105405,-0.039649531,-0.420672902,-0.599766562
-0.049630498,-0.066864771,-0.467470762,-0.627577125
0.008741648,-0.066421667,-0.382781272,-0.668348219
-0.12817656,-0.028460669,-0.592754949,-0.544601598
-0.137221955,-0.067139676,-0.561382148,-0.58697015
-0.090922395,-0.0530207,-0.515005723,-0.609714647
-0.084166267,-0.049114991,-0.532015108,-0.608837665
-0.058662961,-0.013991699,-0.540829248,-0.49467801
-0.075433523,-0.046197067,-0.521008173,-0.602074697
0.054309536,-0.07760417,-0.219189442,-0.699078359
0.045809271,-0.070814791,-0.245446481,-0.694073802
-0.002756289,-0.083114,-0.422342847,-0.617545564
0.021220043,-0.077934209,-0.393880781,-0.620151467
-0.048193819,-0.046178407,-0.470534354,-0.683469555
-0.033605691,-0.074914349,-0.403629772,-0.752690052
-0.089908805,-0.07004338,-0.50515757,-0.659904042
-0.100457358,-0.097419551,-0.488622943,-0.680502063
-0.000440782,-0.032648818,-0.381257941,-0.425303019
-0.01825726,-0.042237866,-0.406996638,-0.449483537
0.034699513,-0.065702539,-0.23840483,-0.663877311
0.046078661,-0.060417956,-0.18413144,-0.702005522
0.093699595,-0.12605071,-0.199350475,-0.721097463
0.081424499,-0.129130668,-0.238343975,-0.723330531
-0.025310316,-0.028556975,-0.396992305,-0.589275012
