"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"SFG_L_7_1",-0.0975201839615934,0.027442281307645,-0.00860024863418798,-0.752559930917272,-0.372917231700155,-0.105774602312389
"SFG_R_7_1",-0.105938451097627,0.0302462361787509,0.0111158203671462,-0.739266478742367,-0.381571367900262,-0.0669723017127737
"SFG_L_7_2",-0.0826374489109112,0.00391309878106999,-0.0249017027700449,-0.726992245269604,-0.426780043812889,-0.123095504733139
"SFG_R_7_2",-0.0714072699185057,-0.01118613781787,-0.0268526512001544,-0.74212790108756,-0.453508235032238,-0.134153399422006
"SFG_L_7_3",-0.0636337132284353,0.0245924730952382,-0.0323670651068203,-0.728444967135712,-0.346588971275197,-0.150028750130469
"SFG_R_7_3",-0.073761592115218,0.0133338839100105,-0.037332123902138,-0.72146004548869,-0.392418645703155,-0.137866411003426
"SFG_L_7_4",-0.0542971244369595,0.0156417522094605,0.0229048856347928,-0.669460912448065,-0.384620790727726,-0.0442844618777203
"SFG_R_7_4",-0.0662015960245543,0.0160008697370113,0.0234637102095054,-0.69541084172399,-0.373379174586547,-0.0319262103336363
"SFG_L_7_5",-0.0601626429423038,0.0225422901364099,0.00770442876927356,-0.64980398553527,-0.382219496356173,-0.0809372129474385
"SFG_R_7_5",-0.0563193162229454,0.02370424381913,0.0192412207053085,-0.630772042065464,-0.374584660507594,-0.0477944090595283
"SFG_L_7_6",-0.165111811650426,0.0663843479433947,-0.0423218528909236,-0.810715758157429,-0.278693893462883,-0.154581337475906
"SFG_R_7_6",-0.208812411622153,0.0618710124500958,-0.076191311815108,-0.792711093379346,-0.318291401998819,-0.169132185186863
"SFG_L_7_7",-0.206796341187375,0.12098765797414,-0.181686584463791,-0.744660128758332,-0.247566582894171,-0.243360960258564
"SFG_R_7_7",-0.183506021156425,0.13752577986847,-0.160515568979977,-0.715658720952228,-0.196861402432283,-0.241297455205813
"MFG_L_7_1",-0.089005596472439,-0.117950368919652,-0.175701141081695,-0.661464018789347,-0.529984020707677,-0.216332030454528
"MFG_R_7_1",-0.116776578446451,-0.0728516184394108,-0.0898789831750362,-0.703092218428929,-0.492828162015735,-0.16395291915977
"MFG_L_7_2",-0.0843237504441318,-0.0848504239351543,0.00822661449400575,-0.665620723110852,-0.546929063065636,-0.0697978797163885
"MFG_R_7_2",-0.0690144454291062,-0.0532447586429836,0.0109809347101902,-0.673954146510458,-0.520187071482778,-0.0649363793521296
"MFG_L_7_3",-0.0221898570364663,-0.104251460441225,-0.168535033765977,-0.603612352599475,-0.55066778259761,-0.245453679588206
"MFG_R_7_3",-0.080926978632643,-0.0805391050431698,-0.0817824467175314,-0.666363083570682,-0.51217889027422,-0.146136411952445
"MFG_L_7_4",-0.014784153436583,-0.178883371067932,-0.0966263170779323,-0.580122641958222,-0.619608824783912,-0.152513676627838
"MFG_R_7_4",-0.0436252695390327,-0.140955422203096,0.0263772398491871,-0.60606661318178,-0.598862827485096,-0.0501366525359973
"MFG_L_7_5",-0.0965490082055153,-0.0476598620450018,-0.0427030286545326,-0.684677874138541,-0.484729581862936,-0.131411983787343
"MFG_R_7_5",-0.0744845969972578,-0.0627433417974858,-0.0489675754497058,-0.673720168602962,-0.50486046777318,-0.140042511976278
"MFG_L_7_6",-0.0698677938561874,-0.0198924955104655,0.0297131084136957,-0.67738305428342,-0.470535133184137,-0.0421203501280728
"MFG_R_7_6",-0.0696237408315853,-0.028481778936411,-0.00504867383259577,-0.693170548226013,-0.477714658281588,-0.092841674209334
"MFG_L_7_7",-0.00642153518155901,-0.0575408881046197,-0.15641054192298,-0.557455012370912,-0.491344900352232,-0.232440333533287
"MFG_R_7_7",-0.0608573793249027,-0.0274801246366165,-0.0479236989188691,-0.607903420645917,-0.460587447388292,-0.125273404290941
"IFG_L_6_1",-0.0309659363586052,-0.0454106279010091,-0.00251939129506839,-0.633071857516012,-0.569330765867713,-0.0790753692652447
"IFG_R_6_1",-0.0473806310700853,-0.0522022073152423,0.0229186369720348,-0.653561737376092,-0.560790641122333,-0.0375135276408382
"IFG_L_6_2",-0.0120432244115299,-0.0729444365543074,-0.0147313742403686,-0.576330610397274,-0.61203811756999,-0.10358891582952
"IFG_R_6_2",-0.0246206999904774,-0.0648509452493693,0.0117917544158058,-0.603991874573303,-0.616184258077425,-0.0551934369116851
"IFG_L_6_3",-0.0142831110579406,-0.0562793398633971,0.00368221499984499,-0.553877327771565,-0.590870981126992,-0.0683637933290453
"IFG_R_6_3",-0.0328373104407403,-0.0695723993444932,0.032246722467637,-0.601086881341252,-0.607983259169823,-0.0160607080727616
"IFG_L_6_4",-0.0148581041691604,-0.0858701834665557,-0.00266727794789703,-0.572067123786792,-0.634114727921523,-0.0899764877135241
"IFG_R_6_4",-0.0372040692463192,-0.0825353681876106,0.0290727830942008,-0.60212060974735,-0.619263570649496,-0.027234590486798
"IFG_L_6_5",-0.0243676515658012,-0.0716653051424692,-0.00426782443341223,-0.592976361406367,-0.575749451352828,-0.0925462906672271
"IFG_R_6_5",-0.0566357160183206,-0.065647440082312,0.0458748459468954,-0.628960170884514,-0.546161126052361,-0.0094699296764701
"IFG_L_6_6",-0.0174580579571987,-0.0577524312988889,0.0134609281389773,-0.565650404518331,-0.620725912231626,-0.0465365817146376
"IFG_R_6_6",-0.0240937204685093,-0.0393889008985999,0.0337315514442016,-0.593830627354814,-0.580939037005946,0.0226886628785515
"OrG_L_6_1",-0.0173672637461789,0.0104733983622939,-0.0202821035193947,-0.483040723065916,-0.381459632430523,-0.121354751345192
"OrG_R_6_1",-0.00345051751017649,0.0251679684425495,0.0843695246228338,-0.375523666687896,-0.336905259221084,0.0249243129403249
"OrG_L_6_2",-0.0122727138634437,-0.0709146573512751,0.0102137907871749,-0.574041669066926,-0.589463956966486,-0.0710058609173948
"OrG_R_6_2",-0.025015682283716,-0.0586367407925058,0.0194336567569044,-0.595269155834101,-0.57422471975443,-0.0474047974991125
"OrG_L_6_3",0.0715541188381378,-0.221730908721134,-0.0130169202014284,-0.441109956654762,-0.651459850875817,-0.0844134119077386
"OrG_R_6_3",0.0338131285453383,-0.198908556745908,0.0746218059033946,-0.484179618442693,-0.62882839823099,-0.0174141948431232
"OrG_L_6_4",-0.00920640565742144,0.00374800884042319,0.0123696785256309,-0.418072905719557,-0.379286223756018,-0.0739924025308912
"OrG_R_6_4",-0.0348376784153361,0.0296039253862115,0.0362018031251665,-0.458062963063645,-0.341723402929185,-0.0576490688079539
"OrG_L_6_5",-0.0267970495690466,-0.167577782468961,0.117855423116468,-0.495783594974274,-0.612994231480786,0.0333116735897775
"OrG_R_6_5",-0.00796765254741189,-0.11152236115571,0.116936356300361,-0.44290130642512,-0.580993763682302,0.0777400188254439
"OrG_L_6_6",-0.0202206686471568,-0.0892831919461314,0.00578689490940841,-0.587398077657966,-0.609348818954291,-0.0782098836419229
"OrG_R_6_6",-0.0381839274869558,-0.0648469208487492,0.0236568092218624,-0.629105048909418,-0.591561044945919,-0.0334160514488222
"PrG_L_6_1",-0.0762338013963161,-0.065346752916443,0.0699352982875247,-0.650442447454617,-0.535155670882248,-0.00968721852300373
"PrG_R_6_1",-0.0563640012572477,-0.0472217035064362,0.0348777451030346,-0.677021874223367,-0.54845523933395,-0.0279127432507652
"PrG_L_6_2",-0.066454052357378,-0.0253191357024944,0.0648524986025445,-0.648322208829392,-0.475928783194974,-0.0178594677690092
"PrG_R_6_2",-0.144230871047878,-0.0334850787183611,0.0193599776167565,-0.722638203858803,-0.469472615583808,-0.0884647740624559
"PrG_L_6_3",-0.0413127828230874,-0.000932924586811437,0.0941430382061103,-0.593392022872661,-0.42374113187403,0.0767711304096206
"PrG_R_6_3",-0.094909540803988,0.00869706570852533,0.0533041884679524,-0.736071921458399,-0.410957108237459,-0.0172085414721278
"PrG_L_6_4",-0.0211420746849103,0.0207792945710699,0.0193926309954384,-0.550149756926638,-0.255127386366637,-0.0251309871196965
"PrG_R_6_4",-0.0568198085982461,0.0374693999275582,0.0484480189793048,-0.622915548167307,-0.238819617655918,0.0157535229862716
"PrG_L_6_5",-0.0276878802021854,-0.0450984708452934,0.0348989197708496,-0.59012991043971,-0.551993568572608,-0.00195381422024916
"PrG_R_6_5",-0.0214710785201944,-0.0419289835745997,0.031884629633533,-0.570493453800628,-0.556744839133449,-0.000724985014490011
"PrG_L_6_6",-0.0624187312864494,-0.102556802658701,0.0286674695127078,-0.61811170593345,-0.563525015255914,-0.0498146316743436
"PrG_R_6_6",-0.0863631145693435,-0.105901137575674,0.0618562547646758,-0.647676503033942,-0.564497382338068,-0.0287265258824502
