"network","n_ROI","t","df","r","CI_low","CI_high","p","fdrp","Full_report","Full_report_FDR"
"aSalience",24,2.0420364324696,22,0.399174094203099,-0.00503306791747537,0.691260263232392,0.0533164791331327,0.145141819579624,"t(22) = 2.04, p = 0.053, r = 0.40, 95% CI [-0.01, 0.69]","t(22) = 2.04, p = 0.053, r = 0.40, 95% CI [-0.01, 0.69], FDR-corrected p = 0.145"
"LECN",8,-1.48256672160131,6,-0.517797777894406,-0.895662936778409,0.294235080892374,0.188707268166266,0.306649310770182,"t(6) = -1.48, p = 0.189, r = -0.52, 95% CI [-0.90, 0.29]","t(6) = -1.48, p = 0.189, r = -0.52, 95% CI [-0.90, 0.29], FDR-corrected p = 0.307"
"RECN",13,-2.13774314446116,11,-0.541766282474835,-0.841545752027385,0.0131419653268672,0.055823776761394,0.145141819579624,"t(11) = -2.14, p = 0.056, r = -0.54, 95% CI [-0.84, 0.01]","t(11) = -2.14, p = 0.056, r = -0.54, 95% CI [-0.84, 0.01], FDR-corrected p = 0.145"
"dDMN",23,4.00159839531846,21,0.657745052894297,0.336878779320405,0.841733204465231,0.000647238767649328,0.00841410397944126,"t(21) = 4.00, p = 6.47e-04, r = 0.66, 95% CI [0.34, 0.84]","t(21) = 4.00, p = 6.47e-04, r = 0.66, 95% CI [0.34, 0.84], FDR-corrected p = 0.008"
"Visuospatial",24,1.450065615666,22,0.295362186554263,-0.122647777006145,0.624366761588167,0.161148183089513,0.299275197166239,"t(22) = 1.45, p = 0.161, r = 0.30, 95% CI [-0.12, 0.62]","t(22) = 1.45, p = 0.161, r = 0.30, 95% CI [-0.12, 0.62], FDR-corrected p = 0.299"
"Language",19,-0.305712453205096,17,-0.0739431825270652,-0.510990505246671,0.393481445865002,0.763535449739925,0.763535449739925,"t(17) = -0.31, p = 0.764, r = -0.07, 95% CI [-0.51, 0.39]","t(17) = -0.31, p = 0.764, r = -0.07, 95% CI [-0.51, 0.39], FDR-corrected p = 0.764"
"Auditory",39,0.587315507693306,37,0.0961071255316247,-0.226271247550433,0.399509670466311,0.560559071865878,0.66247890311422,"t(37) = 0.59, p = 0.561, r = 0.10, 95% CI [-0.23, 0.40]","t(37) = 0.59, p = 0.561, r = 0.10, 95% CI [-0.23, 0.40], FDR-corrected p = 0.662"
"Sensorimotor",14,0.957828387279443,12,0.266501438771985,-0.307568280342539,0.698336079426742,0.357049894769287,0.476028289988084,"t(12) = 0.96, p = 0.357, r = 0.27, 95% CI [-0.31, 0.70]","t(12) = 0.96, p = 0.357, r = 0.27, 95% CI [-0.31, 0.70], FDR-corrected p = 0.476"
"vDMN",19,0.505607017597703,17,0.121715973435297,-0.351950742753717,0.545753534664182,0.619625182861855,0.67126061476701,"t(17) = 0.51, p = 0.620, r = 0.12, 95% CI [-0.35, 0.55]","t(17) = 0.51, p = 0.620, r = 0.12, 95% CI [-0.35, 0.55], FDR-corrected p = 0.671"
"pSalience",10,1.74544746099968,8,0.525161312841547,-0.156070555538624,0.867833727161559,0.11905432651468,0.257951040781807,"t(8) = 1.75, p = 0.119, r = 0.53, 95% CI [-0.16, 0.87]","t(8) = 1.75, p = 0.119, r = 0.53, 95% CI [-0.16, 0.87], FDR-corrected p = 0.258"
"high_Visual",14,3.72707769792044,12,0.732475540636787,0.330238950722628,0.909564911994806,0.00288929541785587,0.0187804202160632,"t(12) = 3.73, p = 0.003, r = 0.73, 95% CI [0.33, 0.91]","t(12) = 3.73, p = 0.003, r = 0.73, 95% CI [0.33, 0.91], FDR-corrected p = 0.019"
"Precuneus",5,5.05512481446708,3,0.94601108159612,0.385475761741624,0.996535380367922,0.0149362695140209,0.0647238345607573,"t(3) = 5.06, p = 0.015, r = 0.95, 95% CI [0.39, 1.00]","t(3) = 5.06, p = 0.015, r = 0.95, 95% CI [0.39, 1.00], FDR-corrected p = 0.065"
"prim_Visual",6,1.01815865651931,4,0.453674844435016,-0.566441756308703,0.924755191300818,0.366175607683141,0.476028289988084,"t(4) = 1.02, p = 0.366, r = 0.45, 95% CI [-0.57, 0.92]","t(4) = 1.02, p = 0.366, r = 0.45, 95% CI [-0.57, 0.92], FDR-corrected p = 0.476"
