"ROI","BN_ID","Shirer_network","bmap","NMDA"
45,45,"Auditory",0.596821782814678,6.96976617870342
46,46,"Auditory",0.649953704598416,6.754890595599
50,50,"Auditory",0.687245245173905,6.73506296806731
61,61,"Auditory",0.699078358786561,6.63052644817138
62,62,"Auditory",0.694073802255662,6.12771769513005
69,69,"Auditory",0.425303018559841,6.40852514795367
70,70,"Auditory",0.449483537472547,6.5841537214719
71,71,"Auditory",0.663877310814655,7.16224010704455
72,72,"Auditory",0.702005521728525,7.85851002984078
73,73,"Auditory",0.721097462675146,6.91290223370051
74,74,"Auditory",0.723330530959739,6.70516069121817
76,76,"Auditory",0.650513668820054,5.00547125639048
79,79,"Auditory",0.537385477211089,6.36441820744118
82,82,"Auditory",0.595452710920984,5.57073051449536
84,84,"Auditory",0.459500117741058,6.23374228747242
89,89,"Auditory",0.583523125647505,6.54137986977931
90,90,"Auditory",0.522115630396019,6.57170478425793
93,93,"Auditory",0.41030084107574,6.3664798141158
94,94,"Auditory",0.436107759587769,6.2022229426639
96,96,"Auditory",0.484154435462472,6.59689784746399
100,100,"Auditory",0.5425809785963,5.78507081087695
101,101,"Auditory",0.533566186008043,5.89688514604982
102,102,"Auditory",0.603076449247505,5.58510611826193
109,109,"Auditory",0.517040382166511,5.89812790283314
110,110,"Auditory",0.543344253029199,6.19278791848807
115,115,"Auditory",0.569053619713228,4.05440120426527
116,116,"Auditory",0.518675851207828,4.74711820172803
117,117,"Auditory",0.461021287155657,5.87078455343734
118,118,"Auditory",0.48371442162095,5.57604911974553
120,120,"Auditory",0.65749220977976,5.85773962488386
157,157,"Auditory",0.737420998968237,6.12307303574108
158,158,"Auditory",0.742062588150165,6.13693638056907
164,164,"Auditory",0.729796562176888,7.15240943977746
171,171,"Auditory",0.737835910388962,7.24505000292768
172,172,"Auditory",0.740811097870579,7.21893825063155
211,211,"Auditory",0.598120597908515,5.67012007115625
212,212,"Auditory",0.5905588412344,6.06860008201329
213,213,"Auditory",0.543602864062314,6.76232586943834
214,214,"Auditory",0.569084063760893,6.26408131322819
