"ROI","BN_ID","Shirer_network","bmap","NMDA"
33,33,"Language",0.581436936419565,6.21970109402163
35,35,"Language",0.49868089241903,6.31237905610453
36,36,"Language",0.54078546533783,5.87992893177974
39,39,"Language",0.6437826980293,6.36015207093087
43,43,"Language",0.55857931174905,6.5095425968104
51,51,"Language",0.581647970070339,6.72634416131585
75,75,"Language",0.589275012176256,5.74853593871906
80,80,"Language",0.645820152030659,6.82331743359478
83,83,"Language",0.434967665202389,6.29067801570962
85,85,"Language",0.455637465001956,5.50355068668195
86,86,"Language",0.51727296507199,5.30401520672249
87,87,"Language",0.527126590242509,6.9974111260659
88,88,"Language",0.618607956217179,6.97968947637097
121,121,"Language",0.523527121229425,7.31206594848163
122,122,"Language",0.553359081091953,7.32478891485492
123,123,"Language",0.477163557996984,7.20061188594252
124,124,"Language",0.563402554264474,7.07668571816933
143,143,"Language",0.451145256534695,6.56264788523068
144,144,"Language",0.490049643993407,6.38734277552143
