"ROI","BN_ID","Shirer_network","bmap","NMDA"
1,1,"aSalience",0.572368478631407,6.3340057439088
2,2,"aSalience",0.607003414521521,6.68193580212589
7,7,"aSalience",0.567922422553093,6.27619763271337
8,8,"aSalience",0.569711142953847,5.97259915621116
9,9,"aSalience",0.628161362021234,6.43167747942801
10,10,"aSalience",0.624967250047677,6.38878195211856
11,11,"aSalience",0.545587725553614,6.60151322055358
12,12,"aSalience",0.551922887140386,6.87882435413555
15,15,"aSalience",0.468423510146478,6.48880438426278
19,19,"aSalience",0.475529210705613,6.13116188447588
20,20,"aSalience",0.491557443059024,6.11439213065801
21,21,"aSalience",0.512121458417655,6.43559851679268
37,37,"aSalience",0.628365688316251,7.30717070457138
38,38,"aSalience",0.655152075750112,7.3256723810819
77,77,"aSalience",0.493471210795371,6.35331973030693
165,165,"aSalience",0.675944703343638,6.88277210621807
166,166,"aSalience",0.656103052129322,7.0631741604778
167,167,"aSalience",0.632794076975136,7.38095502351757
168,168,"aSalience",0.668729420194402,7.42104779641539
173,173,"aSalience",0.706622159438221,7.31799600812849
174,174,"aSalience",0.703548337565444,7.33063932149286
180,180,"aSalience",0.665625548758572,6.49618750020021
183,183,"aSalience",0.663541505001727,6.41477904901202
184,184,"aSalience",0.67541629110889,6.65453791125113
