"ROI","BN_ID","Shirer_network","bmap","NMDA"
66,66,"pSalience",0.752690051825641,6.41418950526017
78,78,"pSalience",0.531565268917625,6.24822883007979
131,131,"pSalience",0.565668662063489,6.36201232196665
132,132,"pSalience",0.600271032203906,5.99376739743433
141,141,"pSalience",0.43958029999963,5.65282875854815
145,145,"pSalience",0.671644807978807,6.60119794850838
146,146,"pSalience",0.667106094508542,6.46426084174151
163,163,"pSalience",0.740304614482304,7.07800112963362
169,169,"pSalience",0.68018924917093,6.98113961322057
170,170,"pSalience",0.673227908702153,6.85044509764993
