"ROI","BN_ID","Shirer_network","bmap","NMDA"
33,33,"Language",0.521217054550289,6.21970109402163
35,35,"Language",0.487956050072086,6.31237905610453
36,36,"Language",0.531859774706499,5.87992893177974
39,39,"Language",0.567622363786781,6.36015207093087
43,43,"Language",0.519890142055507,6.5095425968104
51,51,"Language",0.540678214034845,6.72634416131585
75,75,"Language",0.54536529660341,5.74853593871906
80,80,"Language",0.551565645285907,6.82331743359478
83,83,"Language",0.444367612570252,6.29067801570962
85,85,"Language",0.520023745193299,5.50355068668195
86,86,"Language",0.557109979307754,5.30401520672249
87,87,"Language",0.493505403062349,6.9974111260659
88,88,"Language",0.513753079163259,6.97968947637097
121,121,"Language",0.530254139423041,7.31206594848163
122,122,"Language",0.516293957934219,7.32478891485492
123,123,"Language",0.546757896902638,7.20061188594252
124,124,"Language",0.544839099750969,7.07668571816933
143,143,"Language",0.540846092514037,6.56264788523068
144,144,"Language",0.578336476802254,6.38734277552143
