"ROI","BN_ID","Shirer_network","bmap","NMDA"
4,4,"RECN",0.514014887184352,6.40966066512317
16,16,"RECN",0.453312960391348,6.60930031875471
18,18,"RECN",0.543576222408871,6.45987542780764
22,22,"RECN",0.525876822854443,6.2168892217859
24,24,"RECN",0.521990154468252,5.92578397777598
26,26,"RECN",0.56224380151517,6.44371939620481
28,28,"RECN",0.625573146094494,5.36427862854123
32,32,"RECN",0.51936020249349,6.36167015994687
34,34,"RECN",0.558216627606231,5.48057871881068
44,44,"RECN",0.541206432970384,6.18540936062179
52,52,"RECN",0.563889173297459,6.60019601688545
138,138,"RECN",0.549059163549247,6.25167742622979
142,142,"RECN",0.548280924218552,5.3498575484844
