"ROI","BN_ID","Shirer_network","bmap","NMDA"
25,25,"Visuospatial",0.545795481952899,6.5356464672857
29,29,"Visuospatial",0.55605569685477,6.7955886316221
30,30,"Visuospatial",0.564496337836939,6.86138871867372
31,31,"Visuospatial",0.514752242468231,6.43960701741268
40,40,"Visuospatial",0.598283814650198,6.4280632770542
63,63,"Visuospatial",0.634609040363034,6.50180320857678
64,64,"Visuospatial",0.643769128648443,6.40597198070481
91,91,"Visuospatial",0.553490709428071,6.30743010654652
92,92,"Visuospatial",0.468849438544038,5.34196452247571
97,97,"Visuospatial",0.55406593165306,6.31432068967732
98,98,"Visuospatial",0.537938523592942,6.16293812303266
107,107,"Visuospatial",0.616259524964193,6.78016966234663
108,108,"Visuospatial",0.541033677229297,6.6326384995715
128,128,"Visuospatial",0.513335540968717,5.9083394311765
129,129,"Visuospatial",0.574189771480757,6.46143435332536
130,130,"Visuospatial",0.574502682617207,6.11859769900602
133,133,"Visuospatial",0.552905411649572,6.57276598743075
134,134,"Visuospatial",0.574629707477316,6.33143653114921
139,139,"Visuospatial",0.574277360853851,6.3750306670115
140,140,"Visuospatial",0.583862761149508,6.39253368977396
159,159,"Visuospatial",0.604374819586119,6.17497035714132
160,160,"Visuospatial",0.651199992979908,5.97882076340086
209,209,"Visuospatial",0.545450181246138,6.73162611366936
210,210,"Visuospatial",0.565710841443228,6.52583311742698
