"ROI","BN_ID","Shirer_network","bmap","NMDA"
1,1,"aSalience",0.506988131800015,6.3340057439088
2,2,"aSalience",0.54450993302089,6.68193580212589
3,3,"LECN",0.521937495784623,6.62405013258503
4,4,"RECN",0.514014887184352,6.40966066512317
5,5,"dDMN",0.522738213159904,5.9678013530648
6,6,"dDMN",0.504239257919196,5.89787469413417
7,7,"aSalience",0.54043150707387,6.27619763271337
8,8,"aSalience",0.548993391073183,5.97259915621116
9,9,"aSalience",0.574947675250765,6.43167747942801
10,10,"aSalience",0.584101656336851,6.38878195211856
11,11,"aSalience",0.434870998438332,6.60151322055358
12,12,"aSalience",0.44508949035888,6.87882435413555
13,13,"dDMN",0.442979915394378,6.0093334464687
14,14,"dDMN",0.468779392285017,6.04668258649514
15,15,"aSalience",0.463463380519812,6.48880438426278
16,16,"RECN",0.453312960391348,6.60930031875471
17,17,"LECN",0.544614908239911,6.53964731618262
18,18,"RECN",0.543576222408871,6.45987542780764
19,19,"aSalience",0.472773506084986,6.13116188447588
20,20,"aSalience",0.486084519458636,6.11439213065801
21,21,"aSalience",0.5157346563538,6.43559851679268
22,22,"RECN",0.525876822854443,6.2168892217859
23,23,"LECN",0.515157190805031,6.48187969608236
24,24,"RECN",0.521990154468252,5.92578397777598
25,25,"Visuospatial",0.545795481952899,6.5356464672857
26,26,"RECN",0.56224380151517,6.44371939620481
27,27,"LECN",0.586424786544876,5.58042235279041
28,28,"RECN",0.625573146094494,5.36427862854123
29,29,"Visuospatial",0.55605569685477,6.7955886316221
30,30,"Visuospatial",0.564496337836939,6.86138871867372
31,31,"Visuospatial",0.514752242468231,6.43960701741268
32,32,"RECN",0.51936020249349,6.36167015994687
33,33,"Language",0.521217054550289,6.21970109402163
34,34,"RECN",0.558216627606231,5.48057871881068
35,35,"Language",0.487956050072086,6.31237905610453
36,36,"Language",0.531859774706499,5.87992893177974
37,37,"aSalience",0.5618475179882,7.30717070457138
38,38,"aSalience",0.576155016531639,7.3256723810819
39,39,"Language",0.567622363786781,6.36015207093087
40,40,"Visuospatial",0.598283814650198,6.4280632770542
41,41,"dDMN",0.596427703507829,6.42607215461028
42,42,"dDMN",0.611897569466792,6.8568432224059
43,43,"Language",0.519890142055507,6.5095425968104
44,44,"RECN",0.541206432970384,6.18540936062179
45,45,"Auditory",0.516231040679308,6.96976617870342
46,46,"Auditory",0.559535674839525,6.754890595599
47,47,"dDMN",0.54452649857475,5.92664752791084
48,48,"dDMN",0.610933713926273,5.56074139240767
49,49,"dDMN",0.494498477547012,6.49198070815198
50,50,"Auditory",0.481256046977762,6.73506296806731
51,51,"Language",0.540678214034845,6.72634416131585
52,52,"RECN",0.563889173297459,6.60019601688545
53,53,"Sensorimotor",0.66170589799219,6.48977441862597
54,54,"Sensorimotor",0.65797497505815,5.93515938964719
55,55,"Sensorimotor",0.578848871131662,6.52128203467282
56,56,"Sensorimotor",0.605335249140684,6.50487479431897
57,57,"Sensorimotor",0.60402697556399,6.3597928990998
58,58,"Sensorimotor",0.603727659040136,6.30924600400222
59,59,"Sensorimotor",0.480060445379917,6.10748302016422
60,60,"Sensorimotor",0.546702760173898,5.94218129549898
61,61,"Auditory",0.614235469799413,6.63052644817138
62,62,"Auditory",0.627765042267254,6.12771769513005
63,63,"Visuospatial",0.634609040363034,6.50180320857678
64,64,"Visuospatial",0.643769128648443,6.40597198070481
65,65,"vDMN",0.593475885306258,6.30235917892844
66,66,"pSalience",0.660496653573713,6.41418950526017
67,67,"Sensorimotor",0.604722855099299,6.43779086723156
68,68,"Sensorimotor",0.617276507262401,6.53809697821748
69,69,"Auditory",0.473904650533837,6.40852514795367
70,70,"Auditory",0.51349244465675,6.5841537214719
71,71,"Auditory",0.559183623317153,7.16224010704455
72,72,"Auditory",0.553975210025344,7.85851002984078
73,73,"Auditory",0.598766167282721,6.91290223370051
74,74,"Auditory",0.578501947165121,6.70516069121817
75,75,"Language",0.54536529660341,5.74853593871906
76,76,"Auditory",0.531727296374297,5.00547125639048
77,77,"aSalience",0.473697394774149,6.35331973030693
78,78,"pSalience",0.501079601076932,6.24822883007979
79,79,"Auditory",0.49857558348149,6.36441820744118
80,80,"Language",0.551565645285907,6.82331743359478
81,81,"LECN",0.512148584068231,5.69093169654409
82,82,"Auditory",0.516245758601031,5.57073051449536
83,83,"Language",0.444367612570252,6.29067801570962
84,84,"Auditory",0.480420834886676,6.23374228747242
85,85,"Language",0.520023745193299,5.50355068668195
86,86,"Language",0.557109979307754,5.30401520672249
87,87,"Language",0.493505403062349,6.9974111260659
88,88,"Language",0.513753079163259,6.97968947637097
89,89,"Auditory",0.57400569676014,6.54137986977931
90,90,"Auditory",0.540052526901823,6.57170478425793
91,91,"Visuospatial",0.553490709428071,6.30743010654652
92,92,"Visuospatial",0.468849438544038,5.34196452247571
93,93,"Auditory",0.448585423753578,6.3664798141158
94,94,"Auditory",0.492933844887817,6.2022229426639
95,95,"LECN",0.450172332666208,6.57720705810897
96,96,"Auditory",0.475602384015614,6.59689784746399
97,97,"Visuospatial",0.55406593165306,6.31432068967732
98,98,"Visuospatial",0.537938523592942,6.16293812303266
99,99,"LECN",0.531767494848012,6.50553278671256
100,100,"Auditory",0.490406829998972,5.78507081087695
101,101,"Auditory",0.529779886057843,5.89688514604982
102,102,"Auditory",0.528734392122396,5.58510611826193
103,103,"vDMN",0.59278639550362,6.58174008271942
104,104,"vDMN",0.617718758419719,6.2953035275284
105,105,"high_Visual",0.623938608456539,6.84816662387953
106,106,"high_Visual",0.525070847328559,6.67926949481623
107,107,"Visuospatial",0.616259524964193,6.78016966234663
108,108,"Visuospatial",0.541033677229297,6.6326384995715
109,109,"Auditory",0.541231020095016,5.89812790283314
110,110,"Auditory",0.581039285945519,6.19278791848807
111,111,"vDMN",0.550042684646812,4.74771635242502
112,112,"vDMN",0.545980497909968,5.18542420319724
113,113,"vDMN",0.59303317967351,6.31424114804879
114,114,"vDMN",0.527480054424686,6.43793952572459
115,115,"Auditory",0.553489720078164,4.05440120426527
116,116,"Auditory",0.528017218460786,4.74711820172803
117,117,"Auditory",0.513634927316423,5.87078455343734
