"ROI","BN_ID","Shirer_network","bmap","NMDA"
5,5,"dDMN",0.522738213159904,5.9678013530648
6,6,"dDMN",0.504239257919196,5.89787469413417
13,13,"dDMN",0.442979915394378,6.0093334464687
14,14,"dDMN",0.468779392285017,6.04668258649514
41,41,"dDMN",0.596427703507829,6.42607215461028
42,42,"dDMN",0.611897569466792,6.8568432224059
47,47,"dDMN",0.54452649857475,5.92664752791084
48,48,"dDMN",0.610933713926273,5.56074139240767
49,49,"dDMN",0.494498477547012,6.49198070815198
153,153,"dDMN",0.681884190651544,7.55854400453679
154,154,"dDMN",0.701216333780674,7.22290173818779
175,175,"dDMN",0.667211668316542,7.05779298662244
176,176,"dDMN",0.668872298421749,7.08845264330486
178,178,"dDMN",0.588929727652229,5.77941340436561
179,179,"dDMN",0.552496529858523,6.74072223629758
185,185,"dDMN",0.624989442661414,6.85656783320959
186,186,"dDMN",0.663768218623553,6.81578407732349
187,187,"dDMN",0.559871438097562,6.76545292069817
188,188,"dDMN",0.559103011076745,6.95890780393036
215,215,"dDMN",0.584066241532727,6.51238341112124
216,216,"dDMN",0.588295574057511,6.421866160121
217,217,"dDMN",0.606388122918992,6.99150969784844
218,218,"dDMN",0.612023783747789,6.97887076277491
