"ROI","BN_ID","Shirer_network","bmap","NMDA"
65,65,"vDMN",0.593475885306258,6.30235917892844
103,103,"vDMN",0.59278639550362,6.58174008271942
104,104,"vDMN",0.617718758419719,6.2953035275284
111,111,"vDMN",0.550042684646812,4.74771635242502
112,112,"vDMN",0.545980497909968,5.18542420319724
113,113,"vDMN",0.59303317967351,6.31424114804879
114,114,"vDMN",0.527480054424686,6.43793952572459
119,119,"vDMN",0.581132376509612,5.6935121527663
125,125,"vDMN",0.489503421473219,6.3750345262307
126,126,"vDMN",0.512000665259709,6.02337161592563
127,127,"vDMN",0.50131855428015,6.21501103233389
135,135,"vDMN",0.515326303814334,5.78238764755897
136,136,"vDMN",0.564132816841691,5.69539348405776
147,147,"vDMN",0.547596887683089,6.38226881506139
148,148,"vDMN",0.548896061494129,6.55698457866386
149,149,"vDMN",0.592870226563015,6.85594796162516
150,150,"vDMN",0.60793238106462,6.48102767689376
181,181,"vDMN",0.685783376497988,6.05285507068789
182,182,"vDMN",0.674109330469171,6.05458171630837
