analysis,network,n_ROI,t,df,r,CI_low,CI_high,p,fdrp,Full_report,Full_report_FDR
cmi_math,aSalience,24,3.963852879,22,0.645471391,0.327296477,0.832183341,0.000658678,0.00428141,"t(22) = 3.96, p = 6.59e-04, r = 0.65, 95% CI [0.33, 0.83]","t(22) = 3.96, p = 6.59e-04, r = 0.65, 95% CI [0.33, 0.83], FDR-corrected p = 0.004"
cmi_math,LECN,8,-0.443674844,6,-0.178229425,-0.784388318,0.602058052,0.672829371,0.795161984,"t(6) = -0.44, p = 0.673, r = -0.18, 95% CI [-0.78, 0.60]","t(6) = -0.44, p = 0.673, r = -0.18, 95% CI [-0.78, 0.60], FDR-corrected p = 0.795"
cmi_math,RECN,13,-0.139688845,11,-0.042080465,-0.579626706,0.520984231,0.891430677,0.891430677,"t(11) = -0.14, p = 0.891, r = -0.04, 95% CI [-0.58, 0.52]","t(11) = -0.14, p = 0.891, r = -0.04, 95% CI [-0.58, 0.52], FDR-corrected p = 0.891"
cmi_math,dDMN,23,5.179137469,21,0.748922571,0.487088173,0.887230137,3.93E-05,0.000511046,"t(21) = 5.18, p = 3.93e-05, r = 0.75, 95% CI [0.49, 0.89]","t(21) = 5.18, p = 3.93e-05, r = 0.75, 95% CI [0.49, 0.89], FDR-corrected p = 5.11e-04"
cmi_math,Visuospatial,24,1.749174537,22,0.349418568,-0.062835006,0.659811946,0.094200597,0.204101294,"t(22) = 1.75, p = 0.094, r = 0.35, 95% CI [-0.06, 0.66]","t(22) = 1.75, p = 0.094, r = 0.35, 95% CI [-0.06, 0.66], FDR-corrected p = 0.204"
cmi_math,Language,19,0.749973719,17,0.178958926,-0.29960358,0.585570248,0.463524285,0.602581571,"t(17) = 0.75, p = 0.464, r = 0.18, 95% CI [-0.30, 0.59]","t(17) = 0.75, p = 0.464, r = 0.18, 95% CI [-0.30, 0.59], FDR-corrected p = 0.603"
cmi_math,Auditory,39,2.167191187,37,0.335618809,0.022482508,0.588787153,0.03672934,0.095496285,"t(37) = 2.17, p = 0.037, r = 0.34, 95% CI [0.02, 0.59]","t(37) = 2.17, p = 0.037, r = 0.34, 95% CI [0.02, 0.59], FDR-corrected p = 0.095"
cmi_math,Sensorimotor,14,0.177743399,12,0.05124269,-0.492733407,0.566422126,0.861889596,0.891430677,"t(12) = 0.18, p = 0.862, r = 0.05, 95% CI [-0.49, 0.57]","t(12) = 0.18, p = 0.862, r = 0.05, 95% CI [-0.49, 0.57], FDR-corrected p = 0.891"
cmi_math,vDMN,19,1.238408913,17,0.287662674,-0.191578016,0.656141173,0.23239363,0.377639648,"t(17) = 1.24, p = 0.232, r = 0.29, 95% CI [-0.19, 0.66]","t(17) = 1.24, p = 0.232, r = 0.29, 95% CI [-0.19, 0.66], FDR-corrected p = 0.378"
cmi_math,pSalience,10,3.653828626,8,0.790759683,0.320908101,0.948262244,0.006458531,0.023015865,"t(8) = 3.65, p = 0.006, r = 0.79, 95% CI [0.32, 0.95]","t(8) = 3.65, p = 0.006, r = 0.79, 95% CI [0.32, 0.95], FDR-corrected p = 0.023"
cmi_math,high_Visual,14,3.240367866,12,0.683129772,0.23927752,0.890825445,0.007081805,0.023015865,"t(12) = 3.24, p = 0.007, r = 0.68, 95% CI [0.24, 0.89]","t(12) = 3.24, p = 0.007, r = 0.68, 95% CI [0.24, 0.89], FDR-corrected p = 0.023"
cmi_math,Precuneus,5,2.240691007,3,0.791181162,-0.301639371,0.985521486,0.110890486,0.205939473,"t(3) = 2.24, p = 0.111, r = 0.79, 95% CI [-0.30, 0.99]","t(3) = 2.24, p = 0.111, r = 0.79, 95% CI [-0.30, 0.99], FDR-corrected p = 0.206"
cmi_math,prim_Visual,6,0.816789556,4,0.378080711,-0.625364788,0.910322561,0.459901312,0.602581571,"t(4) = 0.82, p = 0.460, r = 0.38, 95% CI [-0.63, 0.91]","t(4) = 0.82, p = 0.460, r = 0.38, 95% CI [-0.63, 0.91], FDR-corrected p = 0.603"
cmi_reading,aSalience,24,2.042036432,22,0.399174094,-0.005033068,0.691260263,0.053316479,0.14514182,"t(22) = 2.04, p = 0.053, r = 0.40, 95% CI [-0.01, 0.69]","t(22) = 2.04, p = 0.053, r = 0.40, 95% CI [-0.01, 0.69], FDR-corrected p = 0.145"
cmi_reading,LECN,8,-1.482566722,6,-0.517797778,-0.895662937,0.294235081,0.188707268,0.306649311,"t(6) = -1.48, p = 0.189, r = -0.52, 95% CI [-0.90, 0.29]","t(6) = -1.48, p = 0.189, r = -0.52, 95% CI [-0.90, 0.29], FDR-corrected p = 0.307"
