"network","t","df","r","p","fdrp"
"aSalience",2.62546500125937,22,0.488437966999705,0.0154475460065635,0.0401636196170651
"LECN",-0.489790772316764,6,-0.196074879969869,0.641673633531937,0.75834156690138
"RECN",0.363840931566442,11,0.109047958471682,0.722873318956294,0.783112762202652
"dDMN",3.55786512864432,21,0.613257290139522,0.00186002665152726,0.00951996327348485
"Visuospatial",1.06968287733934,22,0.222348270587763,0.296358434714145,0.452758076666374
"Language",-0.126595706525282,17,-0.0306895062009438,0.900745664614584,0.900745664614584
"Auditory",4.17349159837349,37,0.565754643584811,0.000174416799389282,0.00226741839206067
"Sensorimotor",1.46861998713668,12,0.390324849558066,0.167656296529878,0.311361693555488
"vDMN",1.64285161462723,17,0.370149079777929,0.118780025266801,0.257356721411401
"pSalience",3.16006382957383,8,0.745123943868707,0.0133936789974293,0.0401636196170651
"high_Visual",3.8777248594514,12,0.745761136667435,0.00219691460157343,0.00951996327348485
"Precuneus",1.20842381693866,3,0.572186779822429,0.313447899230567,0.452758076666374
"prim_Visual",0.792973569513203,4,0.368573555186315,0.47217437461018,0.613826686993233
