"network","n_ROI","t","df","r","CI_low","CI_high","p","fdrp","Full_report","Full_report_FDR"
"aSalience",24,0.990079232673774,22,0.206534454299472,-0.21475460385654,0.563022744333727,0.332900546657365,0.432770710654574,"t(22) = 0.99, p = 0.333, r = 0.21, 95% CI [-0.21, 0.56]","t(22) = 0.99, p = 0.333, r = 0.21, 95% CI [-0.21, 0.56], FDR-corrected p = 0.433"
"LECN",8,-1.40869547911194,6,-0.498534655560799,-0.890404893872095,0.317773245655081,0.208579749023909,0.345896884326263,"t(6) = -1.41, p = 0.209, r = -0.50, 95% CI [-0.89, 0.32]","t(6) = -1.41, p = 0.209, r = -0.50, 95% CI [-0.89, 0.32], FDR-corrected p = 0.346"
"RECN",13,0.899679796493311,11,0.261802394863341,-0.337928905676985,0.710323980159878,0.387562114546191,0.458027953554589,"t(11) = 0.90, p = 0.388, r = 0.26, 95% CI [-0.34, 0.71]","t(11) = 0.90, p = 0.388, r = 0.26, 95% CI [-0.34, 0.71], FDR-corrected p = 0.458"
"dDMN",23,1.28478290485587,21,0.269953679027662,-0.160059159268026,0.613849454070851,0.212859621123854,0.345896884326263,"t(21) = 1.28, p = 0.213, r = 0.27, 95% CI [-0.16, 0.61]","t(21) = 1.28, p = 0.213, r = 0.27, 95% CI [-0.16, 0.61], FDR-corrected p = 0.346"
"Visuospatial",24,1.28967185952647,22,0.265119697476177,-0.154836533968527,0.603927336622644,0.210558257650111,0.345896884326263,"t(22) = 1.29, p = 0.211, r = 0.27, 95% CI [-0.15, 0.60]","t(22) = 1.29, p = 0.211, r = 0.27, 95% CI [-0.15, 0.60], FDR-corrected p = 0.346"
"Language",19,-0.462357700117342,17,-0.111439726682386,-0.538396994622249,0.361044536100698,0.64968745972982,0.703828081373972,"t(17) = -0.46, p = 0.650, r = -0.11, 95% CI [-0.54, 0.36]","t(17) = -0.46, p = 0.650, r = -0.11, 95% CI [-0.54, 0.36], FDR-corrected p = 0.704"
"Auditory",39,2.65074198631737,37,0.399494409741016,0.0960891343029217,0.634974625066348,0.0117500959383656,0.150435598783206,"t(37) = 2.65, p = 0.012, r = 0.40, 95% CI [0.10, 0.63]","t(37) = 2.65, p = 0.012, r = 0.40, 95% CI [0.10, 0.63], FDR-corrected p = 0.150"
"Sensorimotor",14,1.75963244643311,12,0.45288361793562,-0.10227055426976,0.792929487535435,0.103914133393443,0.345896884326263,"t(12) = 1.76, p = 0.104, r = 0.45, 95% CI [-0.10, 0.79]","t(12) = 1.76, p = 0.104, r = 0.45, 95% CI [-0.10, 0.79], FDR-corrected p = 0.346"
"vDMN",19,1.51062042311871,17,0.344016762751956,-0.130599414624872,0.690354315609501,0.149249189590341,0.345896884326263,"t(17) = 1.51, p = 0.149, r = 0.34, 95% CI [-0.13, 0.69]","t(17) = 1.51, p = 0.149, r = 0.34, 95% CI [-0.13, 0.69], FDR-corrected p = 0.346"
"pSalience",10,1.58047757337488,8,0.487794532678572,-0.204701333517357,0.85486700985026,0.152652779787522,0.345896884326263,"t(8) = 1.58, p = 0.153, r = 0.49, 95% CI [-0.20, 0.85]","t(8) = 1.58, p = 0.153, r = 0.49, 95% CI [-0.20, 0.85], FDR-corrected p = 0.346"
"high_Visual",14,2.60191790856816,12,0.600567356053314,0.10271919422288,0.857807567466512,0.0231439382743393,0.150435598783206,"t(12) = 2.60, p = 0.023, r = 0.60, 95% CI [0.10, 0.86]","t(12) = 2.60, p = 0.023, r = 0.60, 95% CI [0.10, 0.86], FDR-corrected p = 0.150"
"Precuneus",5,1.19314574526343,3,0.567290787333799,-0.630583897806953,0.966048418933009,0.318570962332314,0.432770710654574,"t(3) = 1.19, p = 0.319, r = 0.57, 95% CI [-0.63, 0.97]","t(3) = 1.19, p = 0.319, r = 0.57, 95% CI [-0.63, 0.97], FDR-corrected p = 0.433"
"prim_Visual",6,0.360369823082524,4,0.177329265316454,-0.740850441577498,0.864480126683314,0.736794220657171,0.736794220657171,"t(4) = 0.36, p = 0.737, r = 0.18, 95% CI [-0.74, 0.86]","t(4) = 0.36, p = 0.737, r = 0.18, 95% CI [-0.74, 0.86], FDR-corrected p = 0.737"
