"ROI","BN_ID","Shirer_network","bmap","NMDA"
33,33,"Language",0.590870981126992,6.21970109402163
35,35,"Language",0.634114727921523,6.31237905610453
36,36,"Language",0.619263570649496,5.87992893177974
39,39,"Language",0.620725912231626,6.36015207093087
43,43,"Language",0.589463956966486,6.5095425968104
51,51,"Language",0.609348818954291,6.72634416131585
75,75,"Language",0.523733078304851,5.74853593871906
80,80,"Language",0.443260113431334,6.82331743359478
83,83,"Language",0.302494889387551,6.29067801570962
85,85,"Language",0.429339639606035,5.50355068668195
86,86,"Language",0.47034324168555,5.30401520672249
87,87,"Language",0.394722489566528,6.9974111260659
88,88,"Language",0.443892494285109,6.97968947637097
121,121,"Language",0.485988212078034,7.31206594848163
122,122,"Language",0.539372942367646,7.32478891485492
123,123,"Language",0.483406156152681,7.20061188594252
124,124,"Language",0.59183525516913,7.07668571816933
143,143,"Language",0.530582546787985,6.56264788523068
144,144,"Language",0.586114461423888,6.38734277552143
