"ROI","BN_ID","Shirer_network","bmap","NMDA"
4,4,"RECN",0.453508235032238,6.40966066512317
16,16,"RECN",0.492828162015735,6.60930031875471
18,18,"RECN",0.520187071482778,6.45987542780764
22,22,"RECN",0.598862827485096,6.2168892217859
24,24,"RECN",0.50486046777318,5.92578397777598
26,26,"RECN",0.477714658281588,6.44371939620481
28,28,"RECN",0.460587447388292,5.36427862854123
32,32,"RECN",0.616184258077425,6.36167015994687
34,34,"RECN",0.607983259169823,5.48057871881068
44,44,"RECN",0.57422471975443,6.18540936062179
52,52,"RECN",0.591561044945919,6.60019601688545
138,138,"RECN",0.402394030148588,6.25167742622979
142,142,"RECN",0.464218746649664,5.3498575484844
