"ROI","BN_ID","Shirer_network","bmap","NMDA"
1,1,"aSalience",0.372917231700155,6.3340057439088
2,2,"aSalience",0.381571367900262,6.68193580212589
7,7,"aSalience",0.384620790727726,6.27619763271337
8,8,"aSalience",0.373379174586547,5.97259915621116
9,9,"aSalience",0.382219496356173,6.43167747942801
10,10,"aSalience",0.374584660507594,6.38878195211856
11,11,"aSalience",0.278693893462883,6.60151322055358
12,12,"aSalience",0.318291401998819,6.87882435413555
15,15,"aSalience",0.529984020707677,6.48880438426278
19,19,"aSalience",0.55066778259761,6.13116188447588
20,20,"aSalience",0.51217889027422,6.11439213065801
21,21,"aSalience",0.619608824783912,6.43559851679268
37,37,"aSalience",0.575749451352828,7.30717070457138
38,38,"aSalience",0.546161126052361,7.3256723810819
77,77,"aSalience",0.38236274844882,6.35331973030693
165,165,"aSalience",0.536227947469341,6.88277210621807
166,166,"aSalience",0.514737887095667,7.0631741604778
167,167,"aSalience",0.585873538838063,7.38095502351757
168,168,"aSalience",0.549079977647072,7.42104779641539
173,173,"aSalience",0.60366500020465,7.31799600812849
174,174,"aSalience",0.56665561795143,7.33063932149286
180,180,"aSalience",0.457785104600188,6.49618750020021
183,183,"aSalience",0.502572814794998,6.41477904901202
184,184,"aSalience",0.527326287918521,6.65453791125113
