"ROI","BN_ID","Shirer_network","bmap","NMDA"
1,1,"aSalience",0.372917231700155,6.3340057439088
2,2,"aSalience",0.381571367900262,6.68193580212589
3,3,"LECN",0.426780043812889,6.62405013258503
4,4,"RECN",0.453508235032238,6.40966066512317
5,5,"dDMN",0.346588971275197,5.9678013530648
6,6,"dDMN",0.392418645703155,5.89787469413417
7,7,"aSalience",0.384620790727726,6.27619763271337
8,8,"aSalience",0.373379174586547,5.97259915621116
9,9,"aSalience",0.382219496356173,6.43167747942801
10,10,"aSalience",0.374584660507594,6.38878195211856
11,11,"aSalience",0.278693893462883,6.60151322055358
12,12,"aSalience",0.318291401998819,6.87882435413555
13,13,"dDMN",0.247566582894171,6.0093334464687
14,14,"dDMN",0.196861402432283,6.04668258649514
15,15,"aSalience",0.529984020707677,6.48880438426278
16,16,"RECN",0.492828162015735,6.60930031875471
17,17,"LECN",0.546929063065636,6.53964731618262
18,18,"RECN",0.520187071482778,6.45987542780764
19,19,"aSalience",0.55066778259761,6.13116188447588
20,20,"aSalience",0.51217889027422,6.11439213065801
21,21,"aSalience",0.619608824783912,6.43559851679268
22,22,"RECN",0.598862827485096,6.2168892217859
23,23,"LECN",0.484729581862936,6.48187969608236
24,24,"RECN",0.50486046777318,5.92578397777598
25,25,"Visuospatial",0.470535133184137,6.5356464672857
26,26,"RECN",0.477714658281588,6.44371939620481
27,27,"LECN",0.491344900352232,5.58042235279041
28,28,"RECN",0.460587447388292,5.36427862854123
29,29,"Visuospatial",0.569330765867713,6.7955886316221
30,30,"Visuospatial",0.560790641122333,6.86138871867372
31,31,"Visuospatial",0.61203811756999,6.43960701741268
32,32,"RECN",0.616184258077425,6.36167015994687
33,33,"Language",0.590870981126992,6.21970109402163
34,34,"RECN",0.607983259169823,5.48057871881068
35,35,"Language",0.634114727921523,6.31237905610453
36,36,"Language",0.619263570649496,5.87992893177974
37,37,"aSalience",0.575749451352828,7.30717070457138
38,38,"aSalience",0.546161126052361,7.3256723810819
39,39,"Language",0.620725912231626,6.36015207093087
40,40,"Visuospatial",0.580939037005946,6.4280632770542
41,41,"dDMN",0.381459632430523,6.42607215461028
42,42,"dDMN",0.336905259221084,6.8568432224059
43,43,"Language",0.589463956966486,6.5095425968104
44,44,"RECN",0.57422471975443,6.18540936062179
45,45,"Auditory",0.651459850875817,6.96976617870342
46,46,"Auditory",0.62882839823099,6.754890595599
47,47,"dDMN",0.379286223756018,5.92664752791084
48,48,"dDMN",0.341723402929185,5.56074139240767
49,49,"dDMN",0.612994231480786,6.49198070815198
50,50,"Auditory",0.580993763682302,6.73506296806731
51,51,"Language",0.609348818954291,6.72634416131585
52,52,"RECN",0.591561044945919,6.60019601688545
53,53,"Sensorimotor",0.535155670882248,6.48977441862597
54,54,"Sensorimotor",0.54845523933395,5.93515938964719
55,55,"Sensorimotor",0.475928783194974,6.52128203467282
56,56,"Sensorimotor",0.469472615583808,6.50487479431897
57,57,"Sensorimotor",0.42374113187403,6.3597928990998
58,58,"Sensorimotor",0.410957108237459,6.30924600400222
59,59,"Sensorimotor",0.255127386366637,6.10748302016422
60,60,"Sensorimotor",0.238819617655918,5.94218129549898
61,61,"Auditory",0.551993568572608,6.63052644817138
62,62,"Auditory",0.556744839133449,6.12771769513005
63,63,"Visuospatial",0.563525015255914,6.50180320857678
64,64,"Visuospatial",0.564497382338068,6.40597198070481
65,65,"vDMN",0.371211384063522,6.30235917892844
66,66,"pSalience",0.424508510813713,6.41418950526017
67,67,"Sensorimotor",0.345555818995955,6.43779086723156
68,68,"Sensorimotor",0.320277694704533,6.53809697821748
69,69,"Auditory",0.30509758422751,6.40852514795367
70,70,"Auditory",0.317346695138809,6.5841537214719
71,71,"Auditory",0.542971216012973,7.16224010704455
72,72,"Auditory",0.594825775574639,7.85851002984078
73,73,"Auditory",0.592636186632218,6.91290223370051
74,74,"Auditory",0.497780749259928,6.70516069121817
75,75,"Language",0.523733078304851,5.74853593871906
76,76,"Auditory",0.423488391070804,5.00547125639048
77,77,"aSalience",0.38236274844882,6.35331973030693
78,78,"pSalience",0.380850562904385,6.24822883007979
79,79,"Auditory",0.415641737584466,6.36441820744118
80,80,"Language",0.443260113431334,6.82331743359478
81,81,"LECN",0.400165079814267,5.69093169654409
82,82,"Auditory",0.440853209413653,5.57073051449536
83,83,"Language",0.302494889387551,6.29067801570962
84,84,"Auditory",0.274508044915059,6.23374228747242
85,85,"Language",0.429339639606035,5.50355068668195
86,86,"Language",0.47034324168555,5.30401520672249
87,87,"Language",0.394722489566528,6.9974111260659
88,88,"Language",0.443892494285109,6.97968947637097
89,89,"Auditory",0.39305085550673,6.54137986977931
90,90,"Auditory",0.257784927409446,6.57170478425793
91,91,"Visuospatial",0.383977462546151,6.30743010654652
92,92,"Visuospatial",0.437471426606665,5.34196452247571
93,93,"Auditory",0.277608500053794,6.3664798141158
94,94,"Auditory",0.244655698983163,6.2022229426639
95,95,"LECN",0.281456462169026,6.57720705810897
96,96,"Auditory",0.220431575362445,6.59689784746399
97,97,"Visuospatial",0.431997001629889,6.31432068967732
98,98,"Visuospatial",0.46593861625993,6.16293812303266
99,99,"LECN",0.367373978870012,6.50553278671256
100,100,"Auditory",0.436905455416586,5.78507081087695
101,101,"Auditory",0.319868839995465,5.89688514604982
102,102,"Auditory",0.389248385662108,5.58510611826193
103,103,"vDMN",0.413610007903255,6.58174008271942
104,104,"vDMN",0.390403075264104,6.2953035275284
105,105,"high_Visual",0.607771437952721,6.84816662387953
106,106,"high_Visual",0.619526490966543,6.67926949481623
107,107,"Visuospatial",0.535084405142661,6.78016966234663
108,108,"Visuospatial",0.602784799200333,6.6326384995715
109,109,"Auditory",0.289231886286434,5.89812790283314
110,110,"Auditory",0.221705180110185,6.19278791848807
111,111,"vDMN",0.357838348429825,4.74771635242502
112,112,"vDMN",0.272076332927531,5.18542420319724
113,113,"vDMN",0.556912390871911,6.31424114804879
114,114,"vDMN",0.485998555963979,6.43793952572459
115,115,"Auditory",0.278747936029901,4.05440120426527
116,116,"Auditory",0.157108250554015,4.74711820172803
117,117,"Auditory",0.330214679872741,5.87078455343734
118,118,"Auditory",0.274186088217028,5.57604911974553
119,119,"vDMN",0.550389041744227,5.6935121527663
120,120,"Auditory",0.550799778983007,5.85773962488386
121,121,"Language",0.485988212078034,7.31206594848163
122,122,"Language",0.539372942367646,7.32478891485492
123,123,"Language",0.483406156152681,7.20061188594252
124,124,"Language",0.59183525516913,7.07668571816933
125,125,"vDMN",0.345454995586439,6.3750345262307
126,126,"vDMN",0.291393989737653,6.02337161592563
127,127,"vDMN",0.327474235837934,6.21501103233389
128,128,"Visuospatial",0.33152734342751,5.9083394311765
129,129,"Visuospatial",0.47968425276107,6.46143435332536
130,130,"Visuospatial",0.442821050642867,6.11859769900602
131,131,"pSalience",0.314754446104481,6.36201232196665
132,132,"pSalience",0.275665469088805,5.99376739743433
133,133,"Visuospatial",0.445040773947566,6.57276598743075
134,134,"Visuospatial",0.483457914707461,6.33143653114921
135,135,"vDMN",0.307061674471628,5.78238764755897
136,136,"vDMN",0.468057198605817,5.69539348405776
137,137,"LECN",0.406588783684559,6.53512091636996
138,138,"RECN",0.402394030148588,6.25167742622979
139,139,"Visuospatial",0.401767984555355,6.3750306670115
140,140,"Visuospatial",0.442954867826956,6.39253368977396
141,141,"pSalience",0.445390261280216,5.65282875854815
142,142,"RECN",0.464218746649664,5.3498575484844
143,143,"Language",0.530582546787985,6.56264788523068
144,144,"Language",0.586114461423888,6.38734277552143
145,145,"pSalience",0.510243807881618,6.60119794850838
146,146,"pSalience",0.537223431248643,6.46426084174151
147,147,"vDMN",0.524431402203278,6.38226881506139
148,148,"vDMN",0.472342764997243,6.55698457866386
149,149,"vDMN",0.481423799685842,6.85594796162516
150,150,"vDMN",0.437365445591345,6.48102767689376
151,151,"Precuneus",0.507098841801937,7.49189630101321
152,152,"Precuneus",0.46626717903801,7.14394375477373
153,153,"dDMN",0.620979984664607,7.55854400453679
154,154,"dDMN",0.615069058699039,7.22290173818779
155,155,"Sensorimotor",0.491170624811085,6.30035876916041
156,156,"Sensorimotor",0.469843392726922,5.9945465611831
157,157,"Auditory",0.51334994671569,6.12307303574108
158,158,"Auditory",0.485328838980534,6.13693638056907
159,159,"Visuospatial",0.458198829796415,6.17497035714132
160,160,"Visuospatial",0.446829680530545,5.97882076340086
161,161,"Sensorimotor",0.264739476079059,6.00985974917567
162,162,"Sensorimotor",0.165915109395543,5.97159168795598
163,163,"pSalience",0.655312724778188,7.07800112963362
164,164,"Auditory",0.673176273952957,7.15240943977746
165,165,"aSalience",0.536227947469341,6.88277210621807
166,166,"aSalience",0.514737887095667,7.0631741604778
167,167,"aSalience",0.585873538838063,7.38095502351757
168,168,"aSalience",0.549079977647072,7.42104779641539
169,169,"pSalience",0.568444194140783,6.98113961322057
170,170,"pSalience",0.58661225571557,6.85044509764993
171,171,"Auditory",0.628023153311179,7.24505000292768
172,172,"Auditory",0.610979203232099,7.21893825063155
173,173,"aSalience",0.60366500020465,7.31799600812849
174,174,"aSalience",0.56665561795143,7.33063932149286
175,175,"dDMN",0.601427063273771,7.05779298662244
176,176,"dDMN",0.598125760141816,7.08845264330486
177,177,"Precuneus",0.525420786286163,5.52543804084392
178,178,"dDMN",0.630905206683685,5.77941340436561
179,179,"dDMN",0.490008453515594,6.74072223629758
180,180,"aSalience",0.457785104600188,6.49618750020021
181,181,"vDMN",0.470946529319338,6.05285507068789
182,182,"vDMN",0.465344179447501,6.05458171630837
183,183,"aSalience",0.502572814794998,6.41477904901202
184,184,"aSalience",0.527326287918521,6.65453791125113
185,185,"dDMN",0.504353117493574,6.85656783320959
186,186,"dDMN",0.551694983960215,6.81578407732349
187,187,"dDMN",0.677822340228831,6.76545292069817
188,188,"dDMN",0.587291269371008,6.95890780393036
189,189,"high_Visual",0.404584248051453,6.83930980325749
190,190,"high_Visual",0.266341082062611,6.72705795846263
191,191,"prim_Visual",0.350481176515637,7.13875130075493
192,192,"prim_Visual",0.40158547498732,7.21443042087159
