"ROI","BN_ID","Shirer_network","bmap","NMDA"
5,5,"dDMN",0.346588971275197,5.9678013530648
6,6,"dDMN",0.392418645703155,5.89787469413417
13,13,"dDMN",0.247566582894171,6.0093334464687
14,14,"dDMN",0.196861402432283,6.04668258649514
41,41,"dDMN",0.381459632430523,6.42607215461028
42,42,"dDMN",0.336905259221084,6.8568432224059
47,47,"dDMN",0.379286223756018,5.92664752791084
48,48,"dDMN",0.341723402929185,5.56074139240767
49,49,"dDMN",0.612994231480786,6.49198070815198
153,153,"dDMN",0.620979984664607,7.55854400453679
154,154,"dDMN",0.615069058699039,7.22290173818779
175,175,"dDMN",0.601427063273771,7.05779298662244
176,176,"dDMN",0.598125760141816,7.08845264330486
178,178,"dDMN",0.630905206683685,5.77941340436561
179,179,"dDMN",0.490008453515594,6.74072223629758
185,185,"dDMN",0.504353117493574,6.85656783320959
186,186,"dDMN",0.551694983960215,6.81578407732349
187,187,"dDMN",0.677822340228831,6.76545292069817
188,188,"dDMN",0.587291269371008,6.95890780393036
215,215,"dDMN",0.443756680711046,6.51238341112124
216,216,"dDMN",0.320282280548358,6.421866160121
217,217,"dDMN",0.542157050570902,6.99150969784844
218,218,"dDMN",0.508715958317972,6.97887076277491
