"ROI","BN_ID","Shirer_network","bmap","NMDA"
45,45,"Auditory",0.663712272768238,6.96976617870342
46,46,"Auditory",0.647835068534888,6.754890595599
50,50,"Auditory",0.521150286085059,6.73506296806731
61,61,"Auditory",0.498348292765475,6.63052644817138
62,62,"Auditory",0.478651853294176,6.12771769513005
69,69,"Auditory",0.331531314551196,6.40852514795367
70,70,"Auditory",0.352018729830062,6.5841537214719
71,71,"Auditory",0.422094734927247,7.16224010704455
72,72,"Auditory",0.380512152318171,7.85851002984078
73,73,"Auditory",0.483292483830977,6.91290223370051
74,74,"Auditory",0.37752877048103,6.70516069121817
76,76,"Auditory",0.263877403251028,5.00547125639048
79,79,"Auditory",0.406261786620758,6.36441820744118
82,82,"Auditory",0.410682551368289,5.57073051449536
84,84,"Auditory",0.288806562757255,6.23374228747242
89,89,"Auditory",0.373306989529644,6.54137986977931
90,90,"Auditory",0.197566059766595,6.57170478425793
93,93,"Auditory",0.311783996195375,6.3664798141158
94,94,"Auditory",0.234825148784603,6.2022229426639
96,96,"Auditory",0.181406925834071,6.59689784746399
100,100,"Auditory",0.398722468455514,5.78507081087695
101,101,"Auditory",0.373405263870307,5.89688514604982
102,102,"Auditory",0.369115266684243,5.58510611826193
109,109,"Auditory",0.333614161001512,5.89812790283314
110,110,"Auditory",0.227757407762576,6.19278791848807
115,115,"Auditory",0.324323507221042,4.05440120426527
116,116,"Auditory",0.158312525596955,4.74711820172803
117,117,"Auditory",0.388068406536992,5.87078455343734
118,118,"Auditory",0.285324510403374,5.57604911974553
120,120,"Auditory",0.531389090896172,5.85773962488386
157,157,"Auditory",0.387962222051336,6.12307303574108
158,158,"Auditory",0.326015893653681,6.13693638056907
164,164,"Auditory",0.468484378738681,7.15240943977746
171,171,"Auditory",0.449713742831969,7.24505000292768
172,172,"Auditory",0.419983680422563,7.21893825063155
211,211,"Auditory",0.379894283597245,5.67012007115625
212,212,"Auditory",0.332824342074014,6.06860008201329
213,213,"Auditory",0.397936509880139,6.76232586943834
214,214,"Auditory",0.283193972954706,6.26408131322819
