"ROI","BN_ID","Shirer_network","bmap","NMDA"
33,33,"Language",0.524829743709174,6.21970109402163
35,35,"Language",0.572356880897732,6.31237905610453
36,36,"Language",0.522982023878001,5.87992893177974
39,39,"Language",0.560658461137815,6.36015207093087
43,43,"Language",0.565425871997809,6.5095425968104
51,51,"Language",0.54784675438444,6.72634416131585
75,75,"Language",0.494328229376178,5.74853593871906
80,80,"Language",0.364215720312342,6.82331743359478
83,83,"Language",0.353344966473293,6.29067801570962
85,85,"Language",0.472110009458718,5.50355068668195
86,86,"Language",0.473451016570475,5.30401520672249
87,87,"Language",0.42136310372923,6.9974111260659
88,88,"Language",0.417275241539498,6.97968947637097
121,121,"Language",0.466621412760399,7.31206594848163
122,122,"Language",0.514023592656981,7.32478891485492
123,123,"Language",0.482852468586468,7.20061188594252
124,124,"Language",0.521137168878579,7.07668571816933
143,143,"Language",0.556304722248157,6.56264788523068
144,144,"Language",0.576450050294019,6.38734277552143
