"ROI","BN_ID","Shirer_network","bmap","NMDA"
53,53,"Sensorimotor",0.516184811035025,6.48977441862597
54,54,"Sensorimotor",0.51941491844636,5.93515938964719
55,55,"Sensorimotor",0.492356023055864,6.52128203467282
56,56,"Sensorimotor",0.517505113582788,6.50487479431897
57,57,"Sensorimotor",0.444493286813772,6.3597928990998
58,58,"Sensorimotor",0.453887494847163,6.30924600400222
59,59,"Sensorimotor",0.312294683345035,6.10748302016422
60,60,"Sensorimotor",0.27804207313507,5.94218129549898
67,67,"Sensorimotor",0.350072239745729,6.43779086723156
68,68,"Sensorimotor",0.327441470233254,6.53809697821748
155,155,"Sensorimotor",0.47385981318899,6.30035876916041
156,156,"Sensorimotor",0.44019508713536,5.9945465611831
161,161,"Sensorimotor",0.301774181739501,6.00985974917567
162,162,"Sensorimotor",0.173079206914921,5.97159168795598
