"ROI","BN_ID","Shirer_network","bmap","NMDA"
25,25,"Visuospatial",0.483817720445118,6.5356464672857
29,29,"Visuospatial",0.542048583800332,6.7955886316221
30,30,"Visuospatial",0.545837567685237,6.86138871867372
31,31,"Visuospatial",0.547901518189857,6.43960701741268
40,40,"Visuospatial",0.50374019591409,6.4280632770542
63,63,"Visuospatial",0.537385363180748,6.50180320857678
64,64,"Visuospatial",0.5496586804231,6.40597198070481
91,91,"Visuospatial",0.376465041467252,6.30743010654652
92,92,"Visuospatial",0.428893865174938,5.34196452247571
97,97,"Visuospatial",0.432341804754231,6.31432068967732
98,98,"Visuospatial",0.449513295062605,6.16293812303266
107,107,"Visuospatial",0.495484371747837,6.78016966234663
108,108,"Visuospatial",0.570566736562462,6.6326384995715
128,128,"Visuospatial",0.369683180980794,5.9083394311765
129,129,"Visuospatial",0.479322702959701,6.46143435332536
130,130,"Visuospatial",0.4199777203722,6.11859769900602
133,133,"Visuospatial",0.467959703648835,6.57276598743075
134,134,"Visuospatial",0.463134686664889,6.33143653114921
139,139,"Visuospatial",0.398539960896116,6.3750306670115
140,140,"Visuospatial",0.414756295663025,6.39253368977396
159,159,"Visuospatial",0.462658145400799,6.17497035714132
160,160,"Visuospatial",0.417510889802289,5.97882076340086
209,209,"Visuospatial",0.250799949106031,6.73162611366936
210,210,"Visuospatial",0.308414826905917,6.52583311742698
