"ROI","BN_ID","Shirer_network","bmap","NMDA"
5,5,"dDMN",0.381082004659033,5.9678013530648
6,6,"dDMN",0.42659067168116,5.89787469413417
13,13,"dDMN",0.38195051185342,6.0093334464687
14,14,"dDMN",0.353765435745749,6.04668258649514
41,41,"dDMN",0.466983446936066,6.42607215461028
42,42,"dDMN",0.409353454663153,6.8568432224059
47,47,"dDMN",0.454489039245345,5.92664752791084
48,48,"dDMN",0.46245838996705,5.56074139240767
49,49,"dDMN",0.560810395544763,6.49198070815198
153,153,"dDMN",0.516105599605738,7.55854400453679
154,154,"dDMN",0.535335022375925,7.22290173818779
175,175,"dDMN",0.525423180390415,7.05779298662244
176,176,"dDMN",0.550928311196893,7.08845264330486
178,178,"dDMN",0.523530454350505,5.77941340436561
179,179,"dDMN",0.384555343147832,6.74072223629758
185,185,"dDMN",0.423811744834777,6.85656783320959
186,186,"dDMN",0.49478363963638,6.81578407732349
187,187,"dDMN",0.585786847664953,6.76545292069817
188,188,"dDMN",0.488154789375317,6.95890780393036
215,215,"dDMN",0.33885044191037,6.51238341112124
216,216,"dDMN",0.225531557483155,6.421866160121
217,217,"dDMN",0.39302091082654,6.99150969784844
218,218,"dDMN",0.366451831394406,6.97887076277491
