receptor_set,brain_map,adj_r2,moran_p
D1,xcoef_std_m2_read_gmv,0.017657533183000007,0.275744851029794
D1,xloading_m2_read_gmv,0.054274504323259976,0.1865626874625075
D2,xcoef_std_m2_read_gmv,0.04310184510823234,0.11157768446310738
D2,xloading_m2_read_gmv,0.0073727228220503704,0.4979004199160168
DAT,xcoef_std_m2_read_gmv,-0.00461706841045717,0.978004399120176
DAT,xloading_m2_read_gmv,0.04540602107544367,0.22155568886222757
mGluR5,xcoef_std_m2_read_gmv,0.001900413315643612,0.28334333133373324
mGluR5,xloading_m2_read_gmv,0.015487836177027092,0.3017396520695861
NMDA,xcoef_std_m2_read_gmv,0.05543169782729862,0.0023995200959808036
NMDA,xloading_m2_read_gmv,0.08828624975896937,0.001999600079984003
GABAa,xcoef_std_m2_read_gmv,0.039258776355527214,0.026794641071785644
GABAa,xloading_m2_read_gmv,0.026295717735388302,0.2533493301339732
5HT1a,xcoef_std_m2_read_gmv,0.006603201196942687,0.5790841831633673
5HT1a,xloading_m2_read_gmv,-0.004162107211553634,0.9124175164967007
5HT1b,xcoef_std_m2_read_gmv,0.006853939182189794,0.17876424715056988
5HT1b,xloading_m2_read_gmv,-0.004556907879354144,0.9550089982003599
5HT2a,xcoef_std_m2_read_gmv,-0.0043861591413068,0.9188162367526495
5HT2a,xloading_m2_read_gmv,0.01989356741226156,0.2969406118776245
5HT4,xcoef_std_m2_read_gmv,0.014522025761714463,0.4375124975004999
5HT4,xloading_m2_read_gmv,0.019601638726223558,0.3809238152369526
5HT6,xcoef_std_m2_read_gmv,-0.003488168871148334,0.8244351129774046
5HT6,xloading_m2_read_gmv,-0.00431568608612265,0.8956208758248351
5HTT,xcoef_std_m2_read_gmv,-0.003588379856604984,0.8464307138572286
5HTT,xloading_m2_read_gmv,0.03525444047337756,0.28394321135772843
A4B2,xcoef_std_m2_read_gmv,0.002549874257424367,0.15796840631873627
A4B2,xloading_m2_read_gmv,0.014021005692565813,0.07038592281543692
M1,xcoef_std_m2_read_gmv,-0.004562390212800249,0.9504099180163967
M1,xloading_m2_read_gmv,0.002728302857365472,0.5096980603879224
VAChT,xcoef_std_m2_read_gmv,-0.004202356679750441,0.9176164767046591
VAChT,xloading_m2_read_gmv,0.08081164331881907,0.14877024595080984
NET,xcoef_std_m2_read_gmv,0.0012344843360517777,0.4941011797640472
NET,xloading_m2_read_gmv,0.03239810405460963,0.08878224355128975
CB1,xcoef_std_m2_read_gmv,0.029358903124255264,0.2591481703659268
CB1,xloading_m2_read_gmv,0.02382105731132622,0.3301339732053589
H3,xcoef_std_m2_read_gmv,-0.0011532428781888537,0.6300739852029594
H3,xloading_m2_read_gmv,0.004224267280408811,0.4917016596680664
MOR,xcoef_std_m2_read_gmv,0.019667441292287258,0.3719256148770246
MOR,xloading_m2_read_gmv,-0.0017338483857378684,0.8202359528094381
