receptor_set,brain_map,adj_r2,moran_p
D1,xstdcoef_m2_read_gmv,0.09548765480336252,0.007398520295940812
D1,xloading_m2_read_gmv,0.13613857373069815,0.01279744051189762
D2,xstdcoef_m2_read_gmv,-0.0015062660899449742,0.7488502299540092
D2,xloading_m2_read_gmv,0.0060332370534932345,0.6172765446910617
DAT,xstdcoef_m2_read_gmv,0.012294737299007541,0.41211757648470304
DAT,xloading_m2_read_gmv,0.01397350917088025,0.5238952209558089
mGluR5,xstdcoef_m2_read_gmv,0.05761215054001523,0.002999400119976005
mGluR5,xloading_m2_read_gmv,0.19560716628478103,0.001999600079984003
NMDA,xstdcoef_m2_read_gmv,0.045651654593900526,0.013997200559888023
NMDA,xloading_m2_read_gmv,0.08410780952472674,0.0015996800639872025
GABAa,xstdcoef_m2_read_gmv,0.020717383507144915,0.11497700459908018
GABAa,xloading_m2_read_gmv,0.07015840454743272,0.0673865226954609
5HT1a,xstdcoef_m2_read_gmv,0.0169852080885613,0.39992001599680066
5HT1a,xloading_m2_read_gmv,0.011995874714109012,0.5508898220355929
5HT1b,xstdcoef_m2_read_gmv,0.004660392447409567,0.3087382523495301
5HT1b,xloading_m2_read_gmv,0.05666329817092208,0.16956608678264348
5HT2a,xstdcoef_m2_read_gmv,0.02823680693781394,0.10137972405518897
5HT2a,xloading_m2_read_gmv,0.08773970595743985,0.04319136172765447
5HT4,xstdcoef_m2_read_gmv,0.04909611460611629,0.10277944411117776
5HT4,xloading_m2_read_gmv,0.09698351303048725,0.0653869226154769
5HT6,xstdcoef_m2_read_gmv,0.011738832745820105,0.17696460707858427
5HT6,xloading_m2_read_gmv,0.09389602762705662,0.01759648070385923
5HTT,xstdcoef_m2_read_gmv,-0.0028548982381060295,0.7926414717056589
5HTT,xloading_m2_read_gmv,-0.0020370506713323078,0.7928414317136573
A4B2,xstdcoef_m2_read_gmv,0.07298726809911671,0.001999600079984003
A4B2,xloading_m2_read_gmv,0.27280081813256696,0.0001999600079984003
M1,xstdcoef_m2_read_gmv,-0.00420297008609416,0.8742251549690062
M1,xloading_m2_read_gmv,0.00295774087994205,0.5702859428114377
VAChT,xstdcoef_m2_read_gmv,0.006360144742956209,0.41611677664467106
VAChT,xloading_m2_read_gmv,0.030008497746125795,0.1911617676464707
NET,xstdcoef_m2_read_gmv,-0.004523524913011334,0.937612477504499
NET,xloading_m2_read_gmv,0.02752776919185651,0.45710857828434315
CB1,xstdcoef_m2_read_gmv,0.06258055552002506,0.057588482303539294
CB1,xloading_m2_read_gmv,0.14330708910501733,0.01279744051189762
H3,xstdcoef_m2_read_gmv,0.019744807408935916,0.23435312937412517
H3,xloading_m2_read_gmv,0.09915600969738725,0.14757048590281943
MOR,xstdcoef_m2_read_gmv,0.09692525197975199,0.007398520295940812
MOR,xloading_m2_read_gmv,0.2289980717570823,0.0013997200559888023
