"bmap","receptor","BF10","agbin"
"read_gmv","D1",72.3433198840045,"Full"
"read_gmv","D2",0.502760249163911,"Full"
"read_gmv","DAT",27.6348120513333,"Full"
"read_gmv","mGluR5",1.16305954963712,"Full"
"read_gmv","NMDA",3207.73617936034,"Full"
"read_gmv","GABAa",3.60253833265336,"Full"
"read_gmv","5HT1a",0.154927998328567,"Full"
"read_gmv","5HT1b",0.14885612973226,"Full"
"read_gmv","5HT2a",1.84051698699408,"Full"
"read_gmv","5HT4",1.78524069571485,"Full"
"read_gmv","5HT6",0.152536757452684,"Full"
"read_gmv","5HTT",9.305771001239,"Full"
"read_gmv","A4B2",0.998811713665,"Full"
"read_gmv","M1",0.31232117225337,"Full"
"read_gmv","VAChT",1374.76105421474,"Full"
"read_gmv","NET",6.86813216148884,"Full"
"read_gmv","CB1",2.77706673762831,"Full"
"read_gmv","H3",0.36396827610185,"Full"
"read_gmv","MOR",0.198207234767559,"Full"
