"receptor_set","brain_map","adj_r2","moran_p","regression_coef","fdrp"
"D1","Full",0.215133636484778,0.023995200959808,0.467707742259179,0.0823168699593415
"D1","7-8.9y",0.155503979511186,0.0439912017596481,0.399243868132686,0.208958208358328
"D1","9-10.9y",0.172717637784557,0.0899820035992801,0.420154732093733,0.21370725854829
"D1","11-13.9y",0.200521695712719,0.0427914417116577,0.451891499731641,0.124832176421858
"D2","Full",0.00396069525834986,0.527694461107778,0.0924702013480194,0.626637172565487
"D2","7-8.9y",-0.00435926349277005,0.934813037392522,0.016404883722895,0.934813037392522
"D2","9-10.9y",0.00256847730536247,0.579084183163367,0.0846459445885679,0.656151122716633
"D2","11-13.9y",0.00619175587585286,0.39752049590082,0.103785920863636,0.569614648498872
"DAT","Full",0.177718290309299,0.025994801039792,0.426037095736767,0.0823168699593415
"DAT","7-8.9y",0.112128771870813,0.130373925214957,0.340911050496566,0.275233842120465
"DAT","9-10.9y",0.176044719762872,0.0197960407918416,0.424077526761389,0.0752249550089982
"DAT","11-13.9y",0.144123290293995,0.0263947210557888,0.384795299603292,0.100299940011998
"mGluR5","Full",0.116491429486792,0.0889822035592881,0.347221683587982,0.187851318625164
"mGluR5","7-8.9y",0.111318658976565,0.117776444711058,0.339726308512554,0.275233842120465
"mGluR5","9-10.9y",0.0932889971096569,0.131973605278944,0.31219767588508,0.278610944477771
"mGluR5","11-13.9y",0.0830291066515917,0.143171365726855,0.2953891991444,0.34003199360128
"NMDA","Full",0.147546199098941,0.001999600079984,0.389197324796098,0.0126641338398987
"NMDA","7-8.9y",0.141265341415803,0.001999600079984,0.38108088903791,0.0126641338398987
"NMDA","9-10.9y",0.121488694869834,0.00899820035992801,0.354312198581959,0.0569886022795441
"NMDA","11-13.9y",0.127735150840879,0.00799840031993601,0.362980446475619,0.0506565353595947
"GABAa","Full",0.0516791942863013,0.406518696260748,0.236747410224727,0.514923681930281
"GABAa","7-8.9y",0.0447943681048051,0.330733853229354,0.221802248356981,0.514797040591882
"GABAa","9-10.9y",0.0399217590307337,0.488102379524095,0.210585096153162,0.656151122716633
"GABAa","11-13.9y",0.0510626301675313,0.419716056788642,0.23544768726545,0.569614648498872
"5HT1a","Full",0.0156331868580053,0.37872425514897,0.142019151712472,0.514923681930281
"5HT1a","7-8.9y",0.000872621659268269,0.734453109378124,0.0740060490242232,0.85461796529583
"5HT1a","9-10.9y",0.0172060426260529,0.369726054789042,0.147428108032065,0.585716190095314
