"receptor_set","brain_map","adj_r2","moran_p","regression_coef","fdrp"
"D1","Full",0.054274504091879,0.186562687462508,0.242141871845148,0.570231408263802
"D1","7-8.9y",0.0263209840719204,0.237352529494101,0.175522033218971,0.600625329479559
"D1","9-10.9y",0.0525167476506544,0.221955608878224,0.238501635045852,0.619656068786243
"D1","11-13.9y",0.0231077463812559,0.441911617676465,0.166161228936292,0.699693394654402
"D2","Full",0.00737272296777025,0.497900419916017,-0.109302526122532,0.645617543158035
"D2","7-8.9y",0.021863433797901,0.266346730653869,-0.162391427044763,0.600625329479559
"D2","9-10.9y",0.00122689460335634,0.716056788642272,-0.0763513958094427,0.898282843431314
"D2","11-13.9y",0.0202349491084911,0.405118976204759,-0.157321312688279,0.699693394654402
"DAT","Full",0.045406020782343,0.221555688862228,0.223170498448644,0.570231408263802
"DAT","7-8.9y",0.0136589374707771,0.414917016596681,0.134923267042216,0.606417178102841
"DAT","9-10.9y",0.0534989698554057,0.237752449510098,0.240542565369811,0.619656068786243
"DAT","11-13.9y",0.0235768491027506,0.403919216156769,0.167560421816789,0.699693394654402
"mGluR5","Full",0.015487836181943,0.301739652069586,0.141508864018658,0.570231408263802
"mGluR5","7-8.9y",0.00847136899516554,0.347730453909218,0.114195557528491,0.600625329479559
"mGluR5","9-10.9y",0.0204253742748485,0.263947210557888,0.157922585645602,0.619656068786243
"mGluR5","11-13.9y",-0.00273027900674139,0.762647470505899,0.0434810056811144,0.805016774422893
"NMDA","Full",0.0882862496036012,0.001999600079984,0.304117897299654,0.0379924015196961
"NMDA","7-8.9y",0.0739512514608234,0.001999600079984,0.279676164902303,0.0379924015196961
"NMDA","9-10.9y",0.0878975620076144,0.0031993601279744,0.303481134585091,0.0607878424315137
"NMDA","11-13.9y",0.0534383948741781,0.028994201159768,0.240417199719239,0.550889822035593
"GABAa","Full",0.0262957177821076,0.253349330133973,0.175450375576754,0.570231408263802
"GABAa","7-8.9y",0.0120752015460012,0.341131773645271,0.128949022434459,0.600625329479559
"GABAa","9-10.9y",0.044236701476853,0.163167366526695,0.220547365979632,0.619656068786243
"GABAa","11-13.9y",0.0101328079814651,0.520295940811838,0.121220493088768,0.76043252887884
"5HT1a","Full",-0.00416210719375365,0.912417516496701,-0.0215723887088405,0.95500899820036
"5HT1a","7-8.9y",-0.00359808748172941,0.83003399320136,-0.0320435406509479,0.931037321947375
"5HT1a","9-10.9y",-0.0031965805071501,0.890621875624875,-0.0377683095924635,0.940100868715146
"5HT1a","11-13.9y",0.00472025091714923,0.722055588882224,-0.0964717240420774,0.805016774422893
"5HT1b","Full",-0.00455690788204177,0.95500899820036,-0.00850803292934335,0.95500899820036
"5HT1b","7-8.9y",-0.00394128204604294,0.833033393321336,0.0261758567177168,0.931037321947375
"5HT1b","9-10.9y",-0.0045338750740207,0.948410317936413,-0.00976285257373171,0.948410317936413
"5HT1b","11-13.9y",-0.000587194523029577,0.634873025394921,-0.0634334799091959,0.804172498833567
"5HT2a","Full",0.0198935674557613,0.296940611877624,-0.156237597781628,0.570231408263802
"5HT2a","7-8.9y",0.0127422661040204,0.4125174965007,-0.131498444533011,0.606417178102841
"5HT2a","9-10.9y",0.0154189554692586,0.326134773045391,-0.141266398360706,0.619656068786243
