"receptor_set","brain_map","adj_r2","moran_p","regression_coef","fdrp"
"D1","xloading_m2",0.208304090747606,0.0245950809838032,0.460382948199657,0.0778844231153769
"D2","xloading_m2",0.000819864473322718,0.566486702659468,0.0736503986880058,0.672702959408118
"DAT","xloading_m2",0.177066127857962,0.0157968406318736,0.425274558196702,0.0630673865226955
"mGluR5","xloading_m2",0.0899754934287137,0.132773445310938,0.306869931321592,0.280299495656424
"NMDA","xloading_m2",0.154034695960451,0.0011997600479904,0.397408044184757,0.0101313070719189
"GABAa","xloading_m2",0.0488871713278267,0.407918416316737,0.230803335666727,0.596188454616769
"5HT1a","xloading_m2",0.0139732369867324,0.341331733653269,0.136077695161384,0.540441911617676
"5HT1b","xloading_m2",-0.00132023427831407,0.773645270945811,-0.0573946398324283,0.816625563776134
"5HT2a","xloading_m2",0.0243543062547602,0.296540691861628,-0.16985396480382,0.512206649579175
"5HT4","xloading_m2",0.00546798064125142,0.556688662267547,-0.100255062239552,0.672702959408118
"5HT6","xloading_m2",0.0088486662803875,0.50129974005199,0.115828251939235,0.672702959408118
"5HTT","xloading_m2",0.131981736870083,0.0165966806638672,0.368757130143909,0.0630673865226955
"A4B2","xloading_m2",0.0373078215980956,0.0795840831833633,0.20431395224952,0.189012197560488
"M1","xloading_m2",-0.00387652393953908,0.82743451309738,-0.0273794659728279,0.82743451309738
"VAChT","xloading_m2",0.302174155904635,0.0015996800639872,0.552620976080907,0.0101313070719189
"NET","xloading_m2",0.0605247433511678,0.0379924015196961,0.254664725500149,0.103122232696318
"CB1","xloading_m2",-0.00293124405341061,0.679864027194561,0.0411164068782497,0.759848030393921
"H3","xloading_m2",0.164110552662712,0.000399920015996801,0.409832377644385,0.00759848030393921
"MOR","xloading_m2",0.0144297276529305,0.268546290741852,0.137737163260355,0.510237952409518
