"network","t","df","r","p","fdrp"
"aSalience",2.04203644337627,22,0.399174095995402,0.0533164779640822,0.145141819916299
"LECN",-1.48256672651604,6,-0.517797779150692,0.188707266904508,0.306649308719826
"RECN",-2.13774314312604,11,-0.541766282235788,0.0558237768908841,0.145141819916299
"dDMN",4.00159838939102,21,0.657745052341508,0.000647238776815368,0.00841410409859978
"Visuospatial",1.45006560222472,22,0.29536218405527,0.161148186801056,0.299275204059104
"Language",-0.305712458842761,17,-0.073943183883201,0.763535445520758,0.763535445520758
"Auditory",0.587315521225656,37,0.0961071277255776,0.560559062874868,0.66247889248848
"Sensorimotor",0.957828391960262,12,0.266501439981855,0.357049892503304,0.476028291767423
"vDMN",0.505607011142878,17,0.121715971904432,0.61962518729899,0.671260619573905
"pSalience",1.74544745768982,8,0.525161312120345,0.119054327113906,0.25795104208013
"high_Visual",3.72707768929504,12,0.732475539851127,0.0028892954633422,0.0187804205117243
"Precuneus",5.05512481820917,3,0.946011081669694,0.0149362694836566,0.0647238344291787
"prim_Visual",1.01815865327249,4,0.453674843286054,0.366175609051864,0.476028291767423
