receptor_set,brain_map,adj_r2,moran_p,regression_coef
D1,Full,0.25360171345387805,0.0001999600079984003,0.5069924426401061
D1,7-8.9y,0.2756759419522573,0.0001999600079984003,0.5282176074661555
D1,9-10.9y,0.11384713875476882,0.006998600279944011,0.34341053055086357
D1,11-13.9y,0.043500123387773204,0.08058388322335533,0.21887886357652026
D2,Full,0.01998141320023583,0.378124375124975,0.15651718080117602
D2,7-8.9y,0.04894629034052478,0.2881423715256949,0.2309307825512612
D2,9-10.9y,-0.004510137964739869,0.9266146770645871,0.010906008071517745
D2,11-13.9y,-0.004612107584288205,0.979004199160168,-0.004176278078634691
DAT,Full,0.1343687105715624,0.02519496100779844,0.37196477636281955
DAT,7-8.9y,0.15314211469269423,0.039192161567686463,0.396288639242569
DAT,9-10.9y,0.054889720076809145,0.04359128174365127,0.2434030956847041
DAT,11-13.9y,-0.004011243466927938,0.8844231153769246,0.02481000719231058
mGluR5,Full,0.256089758746305,0.0021995600879824036,0.5094290103047726
mGluR5,7-8.9y,0.26217889568967423,0.001799640071985603,0.515343567869591
mGluR5,9-10.9y,0.14275359534331167,0.00599880023995201,0.38301963344507906
mGluR5,11-13.9y,0.20173130562951846,0.010197960407918417,0.45322175941503845
NMDA,Full,0.19702607919295456,0.0001999600079984003,0.4480250214461621
NMDA,7-8.9y,0.2204664781147977,0.0001999600079984003,0.47334849581692756
NMDA,9-10.9y,0.0907524846837987,0.0011997600479904018,0.30812751483686435
NMDA,11-13.9y,0.06727434725123715,0.0065986802639472104,0.26753060039684634
GABAa,Full,0.1856462349479201,0.005198960207958408,0.43519997389171294
GABAa,7-8.9y,0.1483893933417143,0.022595480903819236,0.3902740910993919
GABAa,9-10.9y,0.1666658555821514,0.0033993201359728054,0.4129238490273933
GABAa,11-13.9y,0.10691677389022325,0.03959208158368326,0.333215192921864
5HT1a,Full,0.007687190630118357,0.6162767446510697,0.11072515847529547
5HT1a,7-8.9y,0.0241429571713212,0.5468906218756249,0.16923354937791688
5HT1a,9-10.9y,-0.004399583957002129,0.8732253549290142,-0.01513226864418632
5HT1a,11-13.9y,-0.004214864647270389,0.8898220355928814,-0.020318799742942567
5HT1b,Full,0.06859697426832334,0.04359128174365127,0.26997991427216067
5HT1b,7-8.9y,0.061569872850410046,0.10517896420715857,0.2566991150127601
5HT1b,9-10.9y,0.07523648200762956,0.01779644071185763,0.2819540122783362
5HT1b,11-13.9y,0.1329223082647023,0.047190561887622474,0.3700244018929042
5HT2a,Full,0.050121734774715265,0.14917016596680663,0.23345032441463906
5HT2a,7-8.9y,0.03682445436593562,0.1983603279344131,0.2031330877784906
5HT2a,9-10.9y,0.06340818446678342,0.1279744051189762,0.26023888214985197
5HT2a,11-13.9y,0.15291787491432285,0.020795840831833633,0.3960069180928412
5HT4,Full,0.04991024429550617,0.17536492701459708,0.23299900879745167
5HT4,7-8.9y,0.04521455926948481,0.21435712857428516,0.22274310803272038
5HT4,9-10.9y,0.040543192342632484,0.16516696660667868,0.21204870262690473
5HT4,11-13.9y,0.07337147487693796,0.122375524895021,0.2786425172368143
5HT6,Full,0.1286391956036591,0.017996400719856028,0.364217906179147
5HT6,7-8.9y,0.15145215880429397,0.007598480303939212,0.3941605225279179
5HT6,9-10.9y,0.05359968586898611,0.09738052389522095,0.2407508621774289
5HT6,11-13.9y,0.128392696745526,0.02579484103179364,0.36388091494722313
5HTT,Full,0.016624598376106303,0.3967206558688262,0.14545199295491257
5HTT,7-8.9y,0.025264825406580926,0.383123375324935,0.17250128280858032
5HTT,9-10.9y,0.0021224433984003976,0.5778844231153769,0.0819814459748115
5HTT,11-13.9y,0.02264479963148658,0.34293141371725655,-0.16476874899995314
A4B2,Full,0.23552583701573127,0.0001999600079984003,0.48892612880249703
A4B2,7-8.9y,0.26876165871297475,0.0001999600079984003,0.5216621710018745
A4B2,9-10.9y,0.10875681845215823,0.0009998000399920016,0.3359522732291925
A4B2,11-13.9y,0.2708176947193104,0.0005998800239952009,0.5236200739471509
M1,Full,0.012873600729502388,0.4283143371325735,0.13199458440175954
M1,7-8.9y,0.014880262874907846,0.3867226554689062,0.13935560686892529
M1,9-10.9y,0.0005720038889549528,0.6324735052989402,0.07195597860642544
M1,11-13.9y,0.031108534102065266,0.28114377124575085,0.18860930977269244
VAChT,Full,0.16256617929849293,0.0027994401119776045,0.4079525969146104
VAChT,7-8.9y,0.1899301178012247,0.0009998000399920016,0.44007176543492954
VAChT,9-10.9y,0.06566171448304892,0.041191761647670466,0.26451355516857566
VAChT,11-13.9y,-0.004281603648937038,0.8778244351129774,0.01861241989453271
NET,Full,0.05579427029945616,0.16596680663867228,0.24524569063968785
NET,7-8.9y,0.057251477640034576,0.23415316936612676,0.2481852954482129
NET,9-10.9y,0.027665343740835513,0.1857628474305139,0.1792934706239726
NET,11-13.9y,0.06258123023203066,0.2943411317736453,0.25865253216788847
CB1,Full,0.10029742290116106,0.027594481103779243,0.3231772234030425
CB1,7-8.9y,0.15348151171221702,0.011397720455908818,0.3967146563598138
CB1,9-10.9y,0.013177384251570667,0.17216556688662268,0.1331350964599395
CB1,11-13.9y,0.09318474556336609,0.04599080183963208,0.31203143704381403
H3,Full,0.14537132617761417,0.007998400319936013,0.38640614276039903
H3,7-8.9y,0.20582353545516863,0.003199360127974405,0.4576934944162422
H3,9-10.9y,0.03239572139704805,0.07178564287142572,0.19197585079698845
H3,11-13.9y,0.06126526792872233,0.21295740851829634,0.25610785703676436
MOR,Full,0.12474736616176374,0.007398520295940812,0.35886040243737477
MOR,7-8.9y,0.200199993029627,0.0021995600879824036,0.4515370498059517
MOR,9-10.9y,0.02043474718068139,0.125374925014997,0.15795212176387247
MOR,11-13.9y,0.10123405097810168,0.051789642071585686,0.32461643449619537
