receptor_set,brain_map,adj_r2,moran_p,regression_coef
D1,Full,0.13613857367549742,0.01279744051189762,0.3743253957553604
D1,7-8.9y,0.15639532875395412,0.007998400319936013,0.4003534786711852
D1,9-10.9y,0.050768230395672465,0.03059388122375525,0.23482455226778573
D1,11-13.9y,-0.001636124081696666,0.6830633873225355,0.05458672541461387
D2,Full,0.006033237018546411,0.6172765446910617,0.1030229538202638
D2,7-8.9y,0.02334429958638018,0.5220955808838232,0.1668682627098577
D2,9-10.9y,-0.004431856259382361,0.9176164767046591,-0.014030750950209338
D2,11-13.9y,0.002107531973241872,0.6848630273945211,-0.08189087113474869
DAT,Full,0.01397350911894002,0.5238952209558089,0.13607869046465879
DAT,7-8.9y,0.02994316102954686,0.47810437912417514,0.18550867646348812
DAT,9-10.9y,-0.004625698677050982,0.9896020795840832,0.0019780893785641867
DAT,11-13.9y,0.02495410166392842,0.3997200559888022,-0.17160244967541163
mGluR5,Full,0.1956071663897453,0.001999600079984003,0.4464460166776092
mGluR5,7-8.9y,0.19092190326301883,0.001799640071985603,0.4411919919432964
mGluR5,9-10.9y,0.11350395978522965,0.003999200159968006,0.3429128096084956
mGluR5,11-13.9y,0.1080148117285562,0.02579484103179364,0.33485122450139415
NMDA,Full,0.08410780934068685,0.0015996800639872025,0.29720112832916806
NMDA,7-8.9y,0.10266655438781791,0.0001999600079984003,0.3268053419951046
NMDA,9-10.9y,0.02221990521852124,0.09298140371925614,0.16348028710769175
NMDA,11-13.9y,0.011612505374480997,0.13797240551889622,0.1271506447317677
GABAa,Full,0.07015840460313694,0.0673865226954609,0.2728431580848636
GABAa,7-8.9y,0.05073921134556958,0.14797040591881624,0.23476304016178576
GABAa,9-10.9y,0.05230335897241567,0.051989602079584085,0.23805592746090218
GABAa,11-13.9y,0.027206859689105856,0.23775244951009797,0.178016227873727
5HT1a,Full,0.011995874673274787,0.5508898220355929,0.12864248550032775
5HT1a,7-8.9y,0.027955043183934714,0.504499100179964,0.1800958440137136
5HT1a,9-10.9y,-0.004166224932522944,0.8598280343931214,0.021477178389851737
5HT1a,11-13.9y,-0.004505676189799024,0.9254149170165967,-0.011107755210757141
5HT1b,Full,0.0566632982807489,0.16956608678264348,0.2470029797824116
5HT1b,7-8.9y,0.05588638407122304,0.27114577084583086,0.24543255297877134
5HT1b,9-10.9y,0.0407645669465071,0.10557888422315537,0.21256765212553744
5HT1b,11-13.9y,0.0772764885299625,0.130373925214957,0.28553225844109065
5HT2a,Full,0.08773970601009806,0.04319136172765447,0.30322214711087686
5HT2a,7-8.9y,0.057646291800328875,0.09198160367926415,0.24897577315256253
5HT2a,9-10.9y,0.1061311602938183,0.022195560887822437,0.33203971379445424
5HT2a,11-13.9y,0.17309923155546092,0.01219756048790242,0.4206065075281413
5HT4,Full,0.09698351302547936,0.0653869226154769,0.31803282743280015
5HT4,7-8.9y,0.06840539961447534,0.1331733653269346,0.26962652371208257
5HT4,9-10.9y,0.10501010001963351,0.03659268146370726,0.3303550778161244
5HT4,11-13.9y,0.10514320529468568,0.05558888222355529,0.3305555465055533
5HT6,Full,0.09389602769617933,0.01759648070385923,0.3131638900617269
5HT6,7-8.9y,0.10825133768634376,0.007598480303939212,0.33520259325741836
5HT6,9-10.9y,0.03430763434446871,0.10117976404719056,0.19687008299359413
5HT6,11-13.9y,0.07261394274404143,0.054989002199560086,0.27728615401901874
5HTT,Full,-0.0020370506613811568,0.7928414317136573,-0.05079991732012308
5HTT,7-8.9y,-0.004625255201800238,0.9918016396720656,0.002086688566736868
5HTT,9-10.9y,0.005889260496563686,0.5040991801639672,-0.10232505058950857
5HTT,11-13.9y,0.1243350629541885,0.04899020195960808,-0.35828813159902684
A4B2,Full,0.2728008183806975,0.0001999600079984003,0.5255016333781377
A4B2,7-8.9y,0.3092702969129386,0.0001999600079984003,0.5589752973989811
A4B2,9-10.9y,0.11391698285576068,0.003999200159968006,0.34351173885618685
A4B2,11-13.9y,0.23879416288698274,0.0007998400319936012,0.49224183475960576
M1,Full,0.0029577409003095356,0.5702859428114377,0.08690457806575566
M1,7-8.9y,0.002800414505606641,0.5414917016596681,0.08599886220474429
M1,9-10.9y,-0.0012688423276747685,0.6570685862827434,0.05783856674284891
M1,11-13.9y,0.006501142966221507,0.490501899620076,0.10525910275563033
VAChT,Full,0.030008497714101412,0.1911617676464707,0.18568388362234903
VAChT,7-8.9y,0.05216040172648462,0.09558088382323535,0.23775686350238276
VAChT,9-10.9y,-0.0028100238731672,0.73625274945011,0.04255843602011642
VAChT,11-13.9y,0.028738551740028595,0.23555288942211558,-0.1822482124702451
NET,Full,0.027527769249950818,0.45710857828434315,0.17891117377439975
NET,7-8.9y,0.027050921934229866,0.5326934613077384,0.17757972361359126
NET,9-10.9y,0.010330563650914781,0.41311737652469505,0.12202971891176576
NET,11-13.9y,0.020582117524599597,0.5778844231153769,0.15841579462799776
CB1,Full,0.14330708917283264,0.01279744051189762,0.38373816955199314
CB1,7-8.9y,0.20174015676481527,0.005398920215956809,0.45323147899711985
CB1,9-10.9y,0.035497388348731396,0.07538492301539693,0.19985519969422796
CB1,11-13.9y,0.06663613401101476,0.08038392321535692,0.2663406652828558
H3,Full,0.09915600974914007,0.14757048590281943,0.3214146302565002
