receptor_set,brain_map,adj_r2,moran_p,regression_coef
D1,xloading_m2,0.22092153876504406,0.0021995600879824036,0.4738267215857581
D2,xloading_m2,0.015118709007333031,0.48930213957208557,0.14020460929701406
DAT,xloading_m2,0.07989565741456572,0.1279744051189762,0.29006166515480614
mGluR5,xloading_m2,0.2467802327726697,0.001799640071985603,0.5002512284920637
NMDA,xloading_m2,0.15476215949734518,0.0001999600079984003,0.3983180447244611
GABAa,xloading_m2,0.13660537285612906,0.01859628074385123,0.3749455292969116
5HT1a,xloading_m2,0.012152096560009595,0.5920815836832634,0.12924546818325244
5HT1b,xloading_m2,0.06340204062564259,0.08078384323135374,0.2602271320483237
5HT2a,xloading_m2,0.06503660282141521,0.07918416316736653,0.2633347487613202
5HT4,xloading_m2,0.07277665020902968,0.09538092381523695,0.27757804104730716
5HT6,xloading_m2,0.11834956990424628,0.016196760647870425,0.3498749421036903
5HTT,xloading_m2,0.0006063799868187836,0.6980603879224155,0.07219335523353186
A4B2,xloading_m2,0.26955548514767014,0.0001999600079984003,0.5224189783141017
M1,xloading_m2,0.007594824872547257,0.5048990201959608,0.11030920455910047
VAChT,xloading_m2,0.10835668915065877,0.018196360727854428,0.33535897855908786
NET,xloading_m2,0.045421898998852406,0.2663467306538692,0.22320590588696498
CB1,xloading_m2,0.12692603489680798,0.014397120575884824,0.361869337226121
H3,xloading_m2,0.13737524630592235,0.03579284143171366,0.37596605642746334
MOR,xloading_m2,0.18090344672234315,0.002599480103979204,0.4297418820835484
